Blocks with IP
   2.00
11
10
   1.00
Type of measurement (0=app. resistivity,1=resistance)
0
530
1
1
Chargability
msec
0.10,1.00
3    16.0000,0.0     22.0000,0.0     24.0000,0.0      84.0143    13.8126
3    18.0000,0.0     24.0000,0.0     26.0000,0.0      87.4886     2.7356
3    20.0000,0.0     26.0000,0.0     28.0000,0.0      87.7223    -1.8315
3    22.0000,0.0     28.0000,0.0     30.0000,0.0     120.5592     4.4362
3    24.0000,0.0     30.0000,0.0     32.0000,0.0     152.1236    12.7282
3    26.0000,0.0     32.0000,0.0     34.0000,0.0     196.0966    30.5297
3    28.0000,0.0     34.0000,0.0     36.0000,0.0     190.7869    39.0331
3    30.0000,0.0     36.0000,0.0     38.0000,0.0     164.8719    28.5598
3    32.0000,0.0     38.0000,0.0     40.0000,0.0     146.4573    15.9989
3    34.0000,0.0     40.0000,0.0     42.0000,0.0     134.4798     6.0664
3    36.0000,0.0     42.0000,0.0     44.0000,0.0     141.5688    -5.0703
3    38.0000,0.0     44.0000,0.0     46.0000,0.0      19.5452    90.1220
3    40.0000,0.0     46.0000,0.0     48.0000,0.0     106.0284    18.4500
3    42.0000,0.0     48.0000,0.0     50.0000,0.0      99.5531    15.3300
3    44.0000,0.0     50.0000,0.0     52.0000,0.0      99.1186    16.0403
3    46.0000,0.0     52.0000,0.0     54.0000,0.0      68.2781    21.8835
3    48.0000,0.0     54.0000,0.0     56.0000,0.0      94.2275     4.2472
3    50.0000,0.0     56.0000,0.0     58.0000,0.0      98.5890     1.5586
3    52.0000,0.0     58.0000,0.0     60.0000,0.0      99.8315     0.7381
3    54.0000,0.0     60.0000,0.0     62.0000,0.0     100.3293     0.4049
3    56.0000,0.0     62.0000,0.0     64.0000,0.0     100.6547     0.2450
3     0.0000,0.0      8.0000,0.0     10.0000,0.0     116.9595   -16.7435
3     2.0000,0.0     10.0000,0.0     12.0000,0.0      55.4984    47.4671
3     4.0000,0.0     12.0000,0.0     14.0000,0.0      34.0450   115.5775
3     6.0000,0.0     14.0000,0.0     16.0000,0.0      73.8806    50.2528
3     8.0000,0.0     16.0000,0.0     18.0000,0.0      86.5974    41.9644
3    10.0000,0.0     18.0000,0.0     20.0000,0.0      82.5223    42.4998
3    12.0000,0.0     20.0000,0.0     22.0000,0.0      67.8242    50.2133
3    14.0000,0.0     22.0000,0.0     24.0000,0.0      65.6891    42.3397
3    16.0000,0.0     24.0000,0.0     26.0000,0.0      78.5648    12.4452
3    18.0000,0.0     26.0000,0.0     28.0000,0.0      84.4321     2.5440
3    20.0000,0.0     28.0000,0.0     30.0000,0.0     121.8678     7.9032
3    22.0000,0.0     30.0000,0.0     32.0000,0.0     150.2068    13.5089
3    24.0000,0.0     32.0000,0.0     34.0000,0.0     180.4929    26.8930
3    26.0000,0.0     34.0000,0.0     36.0000,0.0     147.9389    27.2837
3    28.0000,0.0     36.0000,0.0     38.0000,0.0     128.9284    21.2373
3    30.0000,0.0     38.0000,0.0     40.0000,0.0     140.2245    19.2489
3    32.0000,0.0     40.0000,0.0     42.0000,0.0     142.2303    10.5249
3    34.0000,0.0     42.0000,0.0     44.0000,0.0     159.9731    -1.1906
3    36.0000,0.0     44.0000,0.0     46.0000,0.0      20.6497    92.6199
3    38.0000,0.0     46.0000,0.0     48.0000,0.0     111.7799    16.9613
3    40.0000,0.0     48.0000,0.0     50.0000,0.0     101.6838    13.2383
3    42.0000,0.0     50.0000,0.0     52.0000,0.0      99.1495    12.2593
3    44.0000,0.0     52.0000,0.0     54.0000,0.0     100.1644    13.1999
3    46.0000,0.0     54.0000,0.0     56.0000,0.0      73.8924    18.0175
3    48.0000,0.0     56.0000,0.0     58.0000,0.0      94.4474     4.3728
3    50.0000,0.0     58.0000,0.0     60.0000,0.0      98.5272     1.7631
3    52.0000,0.0     60.0000,0.0     62.0000,0.0      99.8272     0.8882
3    54.0000,0.0     62.0000,0.0     64.0000,0.0     100.4440     0.5095
3     0.0000,0.0     10.0000,0.0     12.0000,0.0      53.6162    49.7655
3     2.0000,0.0     12.0000,0.0     14.0000,0.0      34.5368   113.5097
3     4.0000,0.0     14.0000,0.0     16.0000,0.0      77.8386    44.6432
3     6.0000,0.0     16.0000,0.0     18.0000,0.0      91.0068    36.2553
3     8.0000,0.0     18.0000,0.0     20.0000,0.0      90.9212    34.9102
3    10.0000,0.0     20.0000,0.0     22.0000,0.0      85.1244    35.9820
3    12.0000,0.0     22.0000,0.0     24.0000,0.0      69.7062    42.5165
3    14.0000,0.0     24.0000,0.0     26.0000,0.0      63.9609    36.1877
3    16.0000,0.0     26.0000,0.0     28.0000,0.0      77.7997    12.5333
3    18.0000,0.0     28.0000,0.0     30.0000,0.0     120.1039    13.2306
3    20.0000,0.0     30.0000,0.0     32.0000,0.0     147.5403    15.5854
3    22.0000,0.0     32.0000,0.0     34.0000,0.0     171.5083    25.6979
3    24.0000,0.0     34.0000,0.0     36.0000,0.0     131.0988    21.6337
