Fault and block model
   1.00
3
432
1
1
Chargeability
msec
0.1,1.0
     10.50	 1.00 5      26.12    48.0447
     11.50	 1.00 5      26.75    49.3432
     12.50	 1.00 5      27.77    51.3054
     13.50	 1.00 5      28.51    53.3332
     14.50	 1.00 5      23.47    44.0611
     15.50	 1.00 5      18.11    27.0368
     16.50	 1.00 5      15.52    15.1065
     17.50	 1.00 5      13.99     6.3283
     18.50	 1.00 5      12.89    -1.3490
     19.50	 1.00 5      11.74    -9.8767
     20.50	 1.00 5      10.14   -18.5671
     21.50	 1.00 5       6.40    19.4840
     22.50	 1.00 5       3.89    83.2635
     23.50	 1.00 5       5.51    68.4686
     24.50	 1.00 5       6.72    60.7687
     25.50	 1.00 5       6.79    61.1092
     26.50	 1.00 5       5.69    69.5393
     27.50	 1.00 5       4.12    85.9007
     28.50	 1.00 5       7.01    24.0644
     29.50	 1.00 5      11.34   -13.2220
     30.50	 1.00 5      11.12    -9.8132
      4.00	 1.00 6      27.22    51.0621
      5.00	 1.00 6      27.25    51.3030
      6.00	 1.00 6      27.33    51.6048
      7.00	 1.00 6      27.47    51.9990
      8.00	 1.00 6      27.69    52.5358
      9.00	 1.00 6      28.01    53.2274
     10.00	 1.00 6      28.50    54.1973
     11.00	 1.00 6      29.25    55.5438
     12.00	 1.00 6      30.41    57.4974
     13.00	 1.00 6      31.09    59.4477
     14.00	 1.00 6      25.25    49.8435
     15.00	 1.00 6      19.42    32.2612
     16.00	 1.00 6      16.71    19.8519
     17.00	 1.00 6      15.20    10.5823
     18.00	 1.00 6      14.28     2.1570
     19.00	 1.00 6      13.72    -6.9183
     20.00	 1.00 6      12.12   -13.7516
     21.00	 1.00 6       6.04    20.0927
     22.00	 1.00 6       3.64    82.2006
     23.00	 1.00 6       5.61    61.3736
     24.00	 1.00 6       7.06    53.1517
     25.00	 1.00 6       7.46    52.1460
     26.00	 1.00 6       7.28    54.3022
     27.00	 1.00 6       6.02    64.0318
     28.00	 1.00 6       4.06    87.2824
     29.00	 1.00 6       6.78    25.3563
     30.00	 1.00 6      11.38   -14.6241
      3.00	 2.00	1.0000	    18.07    27.0198
      4.00	 2.00	1.0000	    18.06    27.0540
      5.00	 2.00	1.0000	    18.06    27.0984
      6.00	 2.00	1.0000	    18.07    27.1645
      7.00	 2.00	1.0000	    18.08    27.2621
      8.00	 2.00	1.0000	    18.11    27.4086
      9.00	 2.00	1.0000	    18.16    27.6213
     10.00	 2.00	1.0000	    18.23    27.9392
     11.00	 2.00	1.0000	    18.35    28.4243
     12.00	 2.00	1.0000	    18.56    29.1991
     13.00	 2.00	1.0000	    18.94    30.4976
     14.00	 2.00	1.0000	    19.48    32.3175
     15.00	 2.00	1.0000	    18.85    30.5311
     16.00	 2.00	1.0000	    15.88    20.5118
     17.00	 2.00	1.0000	    12.83     7.2248
     18.00	 2.00	1.0000	    10.93    -0.8464
     19.00	 2.00	1.0000	     9.87    -4.6682
     20.00	 2.00	1.0000	     9.85    -6.1991
     21.00	 2.00	1.0000	    10.36    -7.6967
     22.00	 2.00	1.0000	     9.74    -1.7166
     23.00	 2.00	1.0000	     6.85    28.7726
     24.00	 2.00	1.0000	     4.90    66.6421
     25.00	 2.00	1.0000	     4.84    72.2795
     26.00	 2.00	1.0000	     4.92    66.8547
     27.00	 2.00	1.0000	     6.91    29.2160
     28.00	 2.00	1.0000	     9.92    -1.0105
     29.00	 2.00	1.0000	    10.75    -6.2773
     30.00	 2.00	1.0000	    10.44    -3.5150
     31.00	 2.00	1.0000	    10.25    -1.7167
      4.00	 2.00	2.0000	    24.39    43.6451
      5.00	 2.00	2.0000	    24.40    43.8058
      6.00	 2.00	2.0000	    24.45    44.0139
      7.00	 2.00	2.0000	    24.53    44.2879
      8.00	 2.00	2.0000	    24.66    44.6667
      9.00	 2.00	2.0000	    24.85    45.1913
     10.00	 2.00	2.0000	    25.14    45.9271
     11.00	 2.00	2.0000	    25.60    46.9795
     12.00	 2.00	2.0000	    26.34    48.5553
     13.00	 2.00	2.0000	    27.18    50.4948
     14.00	 2.00	2.0000	    25.66    48.0452
     15.00	 2.00	2.0000	    20.79    36.3489
     16.00	 2.00	2.0000	    16.68    21.0738
     17.00	 2.00	2.0000	    14.54    10.3938
     18.00	 2.00	2.0000	    13.17     2.2049
     19.00	 2.00	2.0000	    11.97    -5.5298
     20.00	 2.00	2.0000	    10.69   -13.5766
     21.00	 2.00	2.0000	     8.80    -6.5319
     22.00	 2.00	2.0000	     5.67    36.4664
     23.00	 2.00	2.0000	     4.60    74.8057
     24.00	 2.00	2.0000	     5.88    66.4101
     25.00	 2.00	2.0000	     6.54    63.0207
     26.00	 2.00	2.0000	     5.99    67.0150
     27.00	 2.00	2.0000	     4.79    76.4294
     28.00	 2.00	2.0000	     6.04    39.7826
     29.00	 2.00	2.0000	     9.67    -2.1160
     30.00	 2.00	2.0000	    11.14   -10.6105
      5.00	 2.00	3.0000	    28.73    55.6103
      6.00	 2.00	3.0000	    28.85    56.0072
      7.00	 2.00	3.0000	    29.05    56.5070
      8.00	 2.00	3.0000	    29.36    57.1627
      9.00	 2.00	3.0000	    29.81    58.0211
     10.00	 2.00	3.0000	    30.48    59.1847
     11.00	 2.00	3.0000	    31.48    60.7907
     12.00	 2.00	3.0000	    32.41    62.6453
     13.00	 2.00	3.0000	    30.04    59.7931
     14.00	 2.00	3.0000	    23.82    47.1675
     15.00	 2.00	3.0000	    19.11    30.8640
     16.00	 2.00	3.0000	    16.87    19.3006
     17.00	 2.00	3.0000	    15.66    10.0119
     18.00	 2.00	3.0000	    15.02     0.8810
     19.00	 2.00	3.0000	    14.31    -7.2704
     20.00	 2.00	3.0000	    10.66     0.0822
     21.00	 2.00	3.0000	     5.44    43.0197
     22.00	 2.00	3.0000	     4.44    67.3740
     23.00	 2.00	3.0000	     6.16    51.6171
     24.00	 2.00	3.0000	     7.29    47.1475
     25.00	 2.00	3.0000	     7.67    46.9771
     26.00	 2.00	3.0000	     7.61    48.8837
     27.00	 2.00	3.0000	     6.75    55.4165
     28.00	 2.00	3.0000	     4.98    72.3724
     29.00	 2.00	3.0000	     5.63    44.5018
      6.00	 2.00	4.0000	    32.32    65.3712
      7.00	 2.00	4.0000	    32.71    66.1151
      8.00	 2.00	4.0000	    33.28    67.0411
      9.00	 2.00	4.0000	    34.11    68.2158
     10.00	 2.00	4.0000	    35.26    69.7807
     11.00	 2.00	4.0000	    36.15    71.5266
     12.00	 2.00	4.0000	    33.03    68.4075
     13.00	 2.00	4.0000	    25.83    55.1494
     14.00	 2.00	4.0000	    20.72    38.1728
     15.00	 2.00	4.0000	    18.43    26.0685
     16.00	 2.00	4.0000	    17.30    16.2740
     17.00	 2.00	4.0000	    16.86     6.6589
     18.00	 2.00	4.0000	    16.32    -1.6290
     19.00	 2.00	4.0000	    12.49     6.9737
     20.00	 2.00	4.0000	     6.92    54.3590
     21.00	 2.00	4.0000	     6.15    71.2280
     22.00	 2.00	4.0000	     7.22    46.7405
     23.00	 2.00	4.0000	     7.22    35.5667
     24.00	 2.00	4.0000	     7.50    34.0727
     25.00	 2.00	4.0000	     7.86    35.5035
     26.00	 2.00	4.0000	     8.05    37.5274
     27.00	 2.00	4.0000	     7.98    40.5040
     28.00	 2.00	4.0000	     7.13    47.5118
      7.00	 2.00	5.0000	    36.06    73.9300
      8.00	 2.00	5.0000	    36.98    75.1078
      9.00	 2.00	5.0000	    38.20    76.6221
     10.00	 2.00	5.0000	    38.97    78.2721
     11.00	 2.00	5.0000	    35.18    74.9454
     12.00	 2.00	5.0000	    27.23    61.2280
     13.00	 2.00	5.0000	    21.85    43.7441
     14.00	 2.00	5.0000	    19.54    31.2918
     15.00	 2.00	5.0000	    18.47    21.2215
     16.00	 2.00	5.0000	    18.12    11.4815
     17.00	 2.00	5.0000	    17.58     3.5689
     18.00	 2.00	5.0000	    13.37    13.4866
     19.00	 2.00	5.0000	     7.54    61.4922
     20.00	 2.00	5.0000	     7.49    71.3901
     21.00	 2.00	5.0000	    10.06    48.5075
     22.00	 2.00	5.0000	    10.26    40.4835
     23.00	 2.00	5.0000	     8.73    32.9855
     24.00	 2.00	5.0000	     7.60    25.9621
     25.00	 2.00	5.0000	     7.60    25.6238
     26.00	 2.00	5.0000	     7.91    28.1719
     27.00	 2.00	5.0000	     8.13    31.0347
      8.00	 2.00	6.0000	    40.59    81.9134
      9.00	 2.00	6.0000	    41.18    83.5110
     10.00	 2.00	6.0000	    36.79    80.0376
     11.00	 2.00	6.0000	    28.24    65.9553
     12.00	 2.00	6.0000	    22.67    48.0882
     13.00	 2.00	6.0000	    20.34    35.3745
     14.00	 2.00	6.0000	    19.31    25.1346
     15.00	 2.00	6.0000	    19.01    15.4087
