LANDFILL SURVEY
3.0
1
334
1
0
    4.50   3.0     84.9	
    7.50   3.0     62.8  
   10.50   3.0     49.2  
   13.50   3.0     41.3  
   16.50   3.0     34.9  
   19.50   3.0     31.6  
   22.50   3.0     25.2  
   25.50   3.0     27.0  
   28.50   3.0     22.4  
   31.50   3.0     23.7  
   34.50   3.0     23.1  
   37.50   3.0     25.1  
   40.50   3.0     25.8  
   43.50   3.0     26.1  
   46.50   3.0     25.4  
   49.50   3.0     26.5  
   52.50   3.0     26.2  
   55.50   3.0     28.9  
   58.50   3.0     25.4  
   61.50   3.0     26.9  
   64.50   3.0     23.4  
   67.50   3.0     23.8  
   70.50   3.0     22.5  
   73.50   3.0     29.3  
   76.50   3.0     29.2  
   79.50   3.0     38.1  
   82.50   3.0     45.4  
   85.50   3.0     54.7  
   88.50   3.0     61.5  
   91.50   3.0     63.1  
   94.50   3.0     67.4  
   97.50   3.0     60.7  
  100.50   3.0     61.5  
  103.50   3.0     58.3  
  106.50   3.0     60.1  
  109.50   3.0     54.6  
  112.50   3.0     57.6  
  115.50   3.0     53.7  
  118.50   3.0     51.1  
  121.50   3.0     46.0  
  124.50   3.0     43.3  
  127.50   3.0     42.1  
  130.50   3.0     41.7  
  133.50   3.0     42.1  
  136.50   3.0     37.9  
  139.50   3.0     39.7  
  142.50   3.0     28.8  
    9.00   6.0     54.5  
   12.00   6.0     58.4  
   15.00   6.0     50.5  
   18.00   6.0     41.6  
   21.00   6.0     34.5  
   24.00   6.0     32.2  
   27.00   6.0     32.4  
   30.00   6.0     27.6  
   33.00   6.0     24.7  
   36.00   6.0     25.8  
   39.00   6.0     26.4  
   42.00   6.0     24.9  
   45.00   6.0     25.3  
   48.00   6.0     23.1  
   51.00   6.0     25.1  
   54.00   6.0     25.2  
   57.00   6.0     24.6  
   60.00   6.0     24.4  
   63.00   6.0     26.1  
   66.00   6.0     25.7  
   69.00   6.0     25.2  
   72.00   6.0     27.5  
   75.00   6.0     29.4  
   78.00   6.0     31.3  
   81.00   6.0     35.2  
   84.00   6.0     40.0  
   87.00   6.0     40.3  
   90.00   6.0     42.6  
   93.00   6.0     45.8  
   96.00   6.0     46.8  
   99.00   6.0     45.7  
  102.00   6.0     48.4  
  105.00   6.0     48.2  
  108.00   6.0     45.5  
  111.00   6.0     46.2  
  114.00   6.0     48.5  
  117.00   6.0     48.1  
  120.00   6.0     43.7  
  123.00   6.0     41.3  
  126.00   6.0     41.4  
  129.00   6.0     43.7  
  132.00   6.0     42.0  
  135.00   6.0     41.5  
   13.50   9.0     51.7  
   16.50   9.0     54.0  
   19.50   9.0     46.5  
   22.50   9.0     41.7  
   25.50   9.0     39.2  
   28.50   9.0     37.0  
   31.50   9.0     33.4  
   34.50   9.0     31.8  
   37.50   9.0     30.8  
   40.50   9.0     32.2  
   43.50   9.0     30.9  
   46.50   9.0     30.5  
   49.50   9.0     29.3  
   52.50   9.0     30.4  
   55.50   9.0     29.2  
   58.50   9.0     29.9  
   61.50   9.0     29.0  
   64.50   9.0     30.6  
   67.50   9.0     29.4  
   70.50   9.0     29.1  
   73.50   9.0     29.5  
   76.50   9.0     32.3  
   79.50   9.0     34.8  
   82.50   9.0     38.6  
   85.50   9.0     39.4  
   88.50   9.0     40.3  
   91.50   9.0     41.3  
   94.50   9.0     41.7  
   97.50   9.0     43.1  
  100.50   9.0     42.8  
  103.50   9.0     43.2  
  106.50   9.0     43.7  
  109.50   9.0     45.7  
  112.50   9.0     46.5  
  115.50   9.0     47.6  
  118.50   9.0     45.2  
  121.50   9.0     41.8  
  124.50   9.0     40.7  
  127.50   9.0     41.4  
  130.50   9.0     45.4  
  133.50   9.0     45.4  
   18.00  12.0     48.6  
   21.00  12.0     50.1  
   24.00  12.0     47.2  
   27.00  12.0     42.3  
   30.00  12.0     40.1  
   33.00  12.0     39.1  
   36.00  12.0     36.6  
   39.00  12.0     37.2  
   42.00  12.0     36.6  
   45.00  12.0     35.0  
   48.00  12.0     35.1  
   51.00  12.0     34.8  
   54.00  12.0     33.9  
   57.00  12.0     34.5  
   60.00  12.0     33.6  
   63.00  12.0     32.7  
   66.00  12.0     33.2  
   69.00  12.0     32.9  
   72.00  12.0     31.2  
   75.00  12.0     33.6  
   78.00  12.0     36.3  
   81.00  12.0     38.3  
   84.00  12.0     40.3  
   87.00  12.0     41.6  
   90.00  12.0     41.5  
   93.00  12.0     41.5  
   96.00  12.0     40.6  
   99.00  12.0     41.2  
  102.00  12.0     41.3  
  105.00  12.0     42.8  
  108.00  12.0     44.8  
  111.00  12.0     46.2  
  114.00  12.0     47.2  
  117.00  12.0     45.8  
  120.00  12.0     43.1  
  123.00  12.0     41.8  
  126.00  12.0     42.8  
  129.00  12.0     43.1  
   22.50  15.0     46.5  
   25.50  15.0     47.5  
   28.50  15.0     44.3  
   31.50  15.0     44.1  
   34.50  15.0     42.1  
   37.50  15.0     41.2  
   40.50  15.0     41.0  
   43.50  15.0     40.6  
   46.50  15.0     39.2  
   49.50  15.0     39.7  
   52.50  15.0     38.5  
   55.50  15.0     38.9  
   58.50  15.0     38.3  
   61.50  15.0     37.8  
   64.50  15.0     35.1  
   67.50  15.0     36.1  
   70.50  15.0     35.3  
   73.50  15.0     36.0  
   76.50  15.0     37.3  
   79.50  15.0     40.2  
   82.50  15.0     41.0  
   85.50  15.0     42.9  
   88.50  15.0     44.4  
   91.50  15.0     43.8  
   94.50  15.0     41.6  
   97.50  15.0     41.6  
  100.50  15.0     42.3  
  103.50  15.0     42.2  
  106.50  15.0     44.1  
  109.50  15.0     45.5  
  112.50  15.0     45.7  
  115.50  15.0     45.1  
  118.50  15.0     44.7  
  121.50  15.0     44.4  
  124.50  15.0     43.0  
   27.00  18.0     43.9  
   30.00  18.0     46.6  
   33.00  18.0     45.9  
   36.00  18.0     45.0  
   39.00  18.0     43.9  
   42.00  18.0     44.2  
   45.00  18.0     44.8  
   48.00  18.0     44.2  
   51.00  18.0     43.4  
   54.00  18.0     42.8  
   57.00  18.0     41.7  
   60.00  18.0     40.7  
   63.00  18.0     38.8  
   66.00  18.0     38.3  
   69.00  18.0     38.1  
   72.00  18.0     37.9  
   75.00  18.0     36.0  
   78.00  18.0     41.2  
   81.00  18.0     42.4  
   84.00  18.0     43.7  
   87.00  18.0     45.1  
   90.00  18.0     45.6  
   93.00  18.0     45.2  
   96.00  18.0     44.6  
   99.00  18.0     44.2  
  102.00  18.0     44.2  
  105.00  18.0     44.0  
  108.00  18.0     44.4  
  111.00  18.0     45.2  
  114.00  18.0     45.1  
  117.00  18.0     45.0  
  120.00  18.0     44.6  
   31.50  21.0     44.3  
   34.50  21.0     47.9  
   37.50  21.0     47.2  
   40.50  21.0     46.2  
   43.50  21.0     47.2  
   46.50  21.0     49.1  
   52.50  21.0     47.0  
   55.50  21.0     45.1  
   58.50  21.0     43.9  
   61.50  21.0     42.8  
   64.50  21.0     41.2  
   67.50  21.0     39.1  
   70.50  21.0     40.8  
   73.50  21.0     40.9  
   76.50  21.0     41.4  
   79.50  21.0     43.5  
   82.50  21.0     45.3  
   85.50  21.0     45.8  
   88.50  21.0     46.8  
   91.50  21.0     47.6  
   94.50  21.0     49.0  
   97.50  21.0     47.2  
  100.50  21.0     46.6  
  103.50  21.0     46.0  
  106.50  21.0     45.0  
  109.50  21.0     45.4  
  112.50  21.0     46.2  
  115.50  21.0     45.1  
   36.00  24.0     46.1  
   39.00  24.0     48.3  
   42.00  24.0     48.9  
   45.00  24.0     50.4  
   48.00  24.0     49.5  
   51.00  24.0     48.7  
   54.00  24.0     48.7  
   57.00  24.0     46.6  
   60.00  24.0     45.5  
   63.00  24.0     44.9  
   66.00  24.0     42.8  
   69.00  24.0     43.1  
   72.00  24.0     42.7  
   75.00  24.0     44.6  
   78.00  24.0     44.6  
   81.00  24.0     45.7  
   84.00  24.0     47.4  
   87.00  24.0     47.8  
   90.00  24.0     49.3  
   93.00  24.0     49.9  
   96.00  24.0     48.9  
   99.00  24.0     48.7  
  102.00  24.0     48.4  
  105.00  24.0     48.1  
  108.00  24.0     47.4  
  111.00  24.0     46.6  
   45.00  30.0     47.5  
   48.00  30.0     50.5  
   51.00  30.0     51.1  
   54.00  30.0     50.0  
   57.00  30.0     49.2  
   60.00  30.0     48.4  
   63.00  30.0     48.1  
   66.00  30.0     47.9  
   69.00  30.0     47.3  
   72.00  30.0     47.7  
   75.00  30.0     48.3  
   78.00  30.0     48.3  
   81.00  30.0     49.6  
   84.00  30.0     50.1  
   87.00  30.0     50.5  
   90.00  30.0     51.6  
