Dufuya - St.Joseph
  5.00
1
1202
0
0
   4900.0,      5.0,   2824.3
   4905.0,      5.0,   2441.0
   4910.0,      5.0,   2287.1
   4915.0,      5.0,   2513.3
   4920.0,      5.0,   1955.6
   4925.0,      5.0,   1881.8
   4930.0,      5.0,   1749.9
   4935.0,      5.0,   2249.4
   4940.0,      5.0,   2211.7
   4945.0,      5.0,   2950.0
   4950.0,      5.0,   2613.8
   4955.0,      5.0,   2906.0
   4960.0,      5.0,   2463.0
   4965.0,      5.0,   2507.0
   4970.0,      5.0,   2123.7
   4975.0,      5.0,   1853.5
   4980.0,      5.0,   1680.8
   4995.0,      5.0,   1932.1
   5000.0,      5.0,   2390.8
   5005.0,      5.0,   3342.7
   5010.0,      5.0,   3333.2
   5015.0,      5.0,   3524.9
   5020.0,      5.0,   3502.9
   5025.0,      5.0,   2862.0
   5030.0,      5.0,   2437.9
   5035.0,      5.0,   2032.6
   5040.0,      5.0,   1705.9
   5045.0,      5.0,   1869.2
   5050.0,      5.0,   1998.1
   5055.0,      5.0,   1910.1
   5060.0,      5.0,   2324.8
   5065.0,      5.0,   1957.2
   5070.0,      5.0,   2287.1
   5075.0,      5.0,   2708.1
   5080.0,      5.0,   2475.6
   5085.0,      5.0,   2664.1
   5200.0,      5.0,   2038.9
   5205.0,      5.0,   1687.0
   5210.0,      5.0,   1847.3
   5215.0,      5.0,   1976.1
   5220.0,      5.0,   1762.4
   5225.0,      5.0,   1797.0
   5230.0,      5.0,   1504.8
   5235.0,      5.0,   1712.2
   5240.0,      5.0,   1407.4
   5245.0,      5.0,   1366.6
   5250.0,      5.0,   1394.9
   5255.0,      5.0,   1080.7
   5260.0,      5.0,   1548.8
   5265.0,      5.0,   1014.7
   5270.0,      5.0,   1162.4
   5275.0,      5.0,    892.2
   5280.0,      5.0,    983.3
   5285.0,      5.0,    813.7
   5290.0,      5.0,    945.6
   5295.0,      5.0,   1275.5
   5300.0,      5.0,   1146.7
   5305.0,      5.0,   1885.0
   5310.0,      5.0,   1800.1
   5315.0,      5.0,   1917.9
   5320.0,      5.0,   2208.5
