Mixed array ws
 1.0
 11
7
Type of measurement (0=app. resistivity,1=resistance)
 0
230
1
0
4      20.00 0.00      25.00 0.00      22.00 0.00      23.00 0.00     10.371
4      21.00 0.00      26.00 0.00      23.00 0.00      24.00 0.00     10.173
4      22.00 0.00      27.00 0.00      24.00 0.00      25.00 0.00     10.108
4      23.00 0.00      28.00 0.00      25.00 0.00      26.00 0.00     10.084
4      24.00 0.00      29.00 0.00      26.00 0.00      27.00 0.00     10.074
4      25.00 0.00      30.00 0.00      27.00 0.00      28.00 0.00     10.070
4      26.00 0.00      31.00 0.00      28.00 0.00      29.00 0.00     10.069
4      27.00 0.00      32.00 0.00      29.00 0.00      30.00 0.00     10.068
4      28.00 0.00      33.00 0.00      30.00 0.00      31.00 0.00     10.069
4      29.00 0.00      34.00 0.00      31.00 0.00      32.00 0.00     10.068
4       0.00 0.00       7.00 0.00       3.00 0.00       4.00 0.00     10.116
4       1.00 0.00       8.00 0.00       4.00 0.00       5.00 0.00     10.117
4       2.00 0.00       9.00 0.00       5.00 0.00       6.00 0.00     10.120
4       3.00 0.00      10.00 0.00       6.00 0.00       7.00 0.00     10.126
4       4.00 0.00      11.00 0.00       7.00 0.00       8.00 0.00     10.141
4       5.00 0.00      12.00 0.00       8.00 0.00       9.00 0.00     10.175
4       6.00 0.00      13.00 0.00       9.00 0.00      10.00 0.00     10.260
4       7.00 0.00      14.00 0.00      10.00 0.00      11.00 0.00     10.488
4       8.00 0.00      15.00 0.00      11.00 0.00      12.00 0.00     11.068
4       9.00 0.00      16.00 0.00      12.00 0.00      13.00 0.00     11.935
4      10.00 0.00      17.00 0.00      13.00 0.00      14.00 0.00     13.258
4      11.00 0.00      18.00 0.00      14.00 0.00      15.00 0.00     15.721
4      12.00 0.00      19.00 0.00      15.00 0.00      16.00 0.00     16.459
4      13.00 0.00      20.00 0.00      16.00 0.00      17.00 0.00     14.677
4      14.00 0.00      21.00 0.00      17.00 0.00      18.00 0.00     14.674
4      15.00 0.00      22.00 0.00      18.00 0.00      19.00 0.00     16.457
4      16.00 0.00      23.00 0.00      19.00 0.00      20.00 0.00     15.717
4      17.00 0.00      24.00 0.00      20.00 0.00      21.00 0.00     13.257
4      18.00 0.00      25.00 0.00      21.00 0.00      22.00 0.00     11.939
4      19.00 0.00      26.00 0.00      22.00 0.00      23.00 0.00     11.070
4      20.00 0.00      27.00 0.00      23.00 0.00      24.00 0.00     10.489
4      21.00 0.00      28.00 0.00      24.00 0.00      25.00 0.00     10.260
4      22.00 0.00      29.00 0.00      25.00 0.00      26.00 0.00     10.176
4      23.00 0.00      30.00 0.00      26.00 0.00      27.00 0.00     10.142
4      24.00 0.00      31.00 0.00      27.00 0.00      28.00 0.00     10.128
4      25.00 0.00      32.00 0.00      28.00 0.00      29.00 0.00     10.122
4      26.00 0.00      33.00 0.00      29.00 0.00      30.00 0.00     10.119
4      27.00 0.00      34.00 0.00      30.00 0.00      31.00 0.00     10.119
4       0.00 0.00       9.00 0.00       4.00 0.00       5.00 0.00     10.173
4       1.00 0.00      10.00 0.00       5.00 0.00       6.00 0.00     10.181
4       2.00 0.00      11.00 0.00       6.00 0.00       7.00 0.00     10.198
4       3.00 0.00      12.00 0.00       7.00 0.00       8.00 0.00     10.238
4       4.00 0.00      13.00 0.00       8.00 0.00       9.00 0.00     10.330
4       5.00 0.00      14.00 0.00       9.00 0.00      10.00 0.00     10.560
4       6.00 0.00      15.00 0.00      10.00 0.00      11.00 0.00     11.057
4       7.00 0.00      16.00 0.00      11.00 0.00      12.00 0.00     11.624
4       8.00 0.00      17.00 0.00      12.00 0.00      13.00 0.00     12.251
4       9.00 0.00      18.00 0.00      13.00 0.00      14.00 0.00     13.053
4      10.00 0.00      19.00 0.00      14.00 0.00      15.00 0.00     14.187
4      11.00 0.00      20.00 0.00      15.00 0.00      16.00 0.00     15.005
4      12.00 0.00      21.00 0.00      16.00 0.00      17.00 0.00     14.263
4      13.00 0.00      22.00 0.00      17.00 0.00      18.00 0.00     14.260
4      14.00 0.00      23.00 0.00      18.00 0.00      19.00 0.00     15.002
4      15.00 0.00      24.00 0.00      19.00 0.00      20.00 0.00     14.183
4      16.00 0.00      25.00 0.00      20.00 0.00      21.00 0.00     13.054
4      17.00 0.00      26.00 0.00      21.00 0.00      22.00 0.00     12.260
4      18.00 0.00      27.00 0.00      22.00 0.00      23.00 0.00     11.630
4      19.00 0.00      28.00 0.00      23.00 0.00      24.00 0.00     11.060
4      20.00 0.00      29.00 0.00      24.00 0.00      25.00 0.00     10.562
4      21.00 0.00      30.00 0.00      25.00 0.00      26.00 0.00     10.332
4      22.00 0.00      31.00 0.00      26.00 0.00      27.00 0.00     10.240
4      23.00 0.00      32.00 0.00      27.00 0.00      28.00 0.00     10.201
4      24.00 0.00      33.00 0.00      28.00 0.00      29.00 0.00     10.184
4      25.00 0.00      34.00 0.00      29.00 0.00      30.00 0.00     10.177
4       0.00 0.00      11.00 0.00       5.00 0.00       6.00 0.00     10.284
4       1.00 0.00      12.00 0.00       6.00 0.00       7.00 0.00     10.326
4       2.00 0.00      13.00 0.00       7.00 0.00       8.00 0.00     10.420
4       3.00 0.00      14.00 0.00       8.00 0.00       9.00 0.00     10.640
4       4.00 0.00      15.00 0.00       9.00 0.00      10.00 0.00     11.061
4       5.00 0.00      16.00 0.00      10.00 0.00      11.00 0.00     11.438
4       8.00 0.00      29.00 0.00      18.00 0.00      19.00 0.00     14.330
4       9.00 0.00      30.00 0.00      19.00 0.00      20.00 0.00     11.356
4      10.00 0.00      31.00 0.00      20.00 0.00      21.00 0.00     10.036
4      11.00 0.00      32.00 0.00      21.00 0.00      22.00 0.00     10.046
4      12.00 0.00      33.00 0.00      22.00 0.00      23.00 0.00     10.203
4      13.00 0.00      34.00 0.00      23.00 0.00      24.00 0.00     10.343
4       0.00 0.00       3.00 0.00       1.00 0.00       2.00 0.00     10.172
4       1.00 0.00       4.00 0.00       2.00 0.00       3.00 0.00     10.174
4       2.00 0.00       5.00 0.00       3.00 0.00       4.00 0.00     10.173
4       3.00 0.00       6.00 0.00       4.00 0.00       5.00 0.00     10.173
4       6.00 0.00      17.00 0.00      11.00 0.00      12.00 0.00     11.732
4       7.00 0.00      18.00 0.00      12.00 0.00      13.00 0.00     11.892
4       8.00 0.00      19.00 0.00      13.00 0.00      14.00 0.00     11.706
4       9.00 0.00      20.00 0.00      14.00 0.00      15.00 0.00     12.522
4      10.00 0.00      21.00 0.00      15.00 0.00      16.00 0.00     14.331
4      11.00 0.00      22.00 0.00      16.00 0.00      17.00 0.00     14.105
4      12.00 0.00      23.00 0.00      17.00 0.00      18.00 0.00     14.107
4      13.00 0.00      24.00 0.00      18.00 0.00      19.00 0.00     14.327
4      14.00 0.00      25.00 0.00      19.00 0.00      20.00 0.00     12.518
4      15.00 0.00      26.00 0.00      20.00 0.00      21.00 0.00     11.708
4      16.00 0.00      27.00 0.00      21.00 0.00      22.00 0.00     11.896
4      17.00 0.00      28.00 0.00      22.00 0.00      23.00 0.00     11.736
4      18.00 0.00      29.00 0.00      23.00 0.00      24.00 0.00     11.442
4      19.00 0.00      30.00 0.00      24.00 0.00      25.00 0.00     11.066
4      20.00 0.00      31.00 0.00      25.00 0.00      26.00 0.00     10.643
4      21.00 0.00      32.00 0.00      26.00 0.00      27.00 0.00     10.424
4      22.00 0.00      33.00 0.00      27.00 0.00      28.00 0.00     10.330
4      23.00 0.00      34.00 0.00      28.00 0.00      29.00 0.00     10.290
4       0.00 0.00      13.00 0.00       6.00 0.00       7.00 0.00     10.527
4       1.00 0.00      14.00 0.00       7.00 0.00       8.00 0.00     10.731
4       2.00 0.00      15.00 0.00       8.00 0.00       9.00 0.00     11.085
4       3.00 0.00      16.00 0.00       9.00 0.00      10.00 0.00     11.336
4       4.00 0.00      17.00 0.00      10.00 0.00      11.00 0.00     11.458
4       5.00 0.00      18.00 0.00      11.00 0.00      12.00 0.00     11.379
4       6.00 0.00      19.00 0.00      12.00 0.00      13.00 0.00     10.870
4       7.00 0.00      20.00 0.00      13.00 0.00      14.00 0.00     10.578
4       8.00 0.00      21.00 0.00      14.00 0.00      15.00 0.00     11.764
4       9.00 0.00      22.00 0.00      15.00 0.00      16.00 0.00     14.054
4      10.00 0.00      23.00 0.00      16.00 0.00      17.00 0.00     14.093
4      11.00 0.00      24.00 0.00      17.00 0.00      18.00 0.00     14.094
4      12.00 0.00      25.00 0.00      18.00 0.00      19.00 0.00     14.051
4      13.00 0.00      26.00 0.00      19.00 0.00      20.00 0.00     11.761
4      14.00 0.00      27.00 0.00      20.00 0.00      21.00 0.00     10.578
4      15.00 0.00      28.00 0.00      21.00 0.00      22.00 0.00     10.873
4      16.00 0.00      29.00 0.00      22.00 0.00      23.00 0.00     11.383
4      17.00 0.00      30.00 0.00      23.00 0.00      24.00 0.00     11.462
4      18.00 0.00      31.00 0.00      24.00 0.00      25.00 0.00     11.342
4      19.00 0.00      32.00 0.00      25.00 0.00      26.00 0.00     11.091
4      20.00 0.00      33.00 0.00      26.00 0.00      27.00 0.00     10.736
4      21.00 0.00      34.00 0.00      27.00 0.00      28.00 0.00     10.534
4       0.00 0.00      15.00 0.00       7.00 0.00       8.00 0.00     11.150
4       1.00 0.00      16.00 0.00       8.00 0.00       9.00 0.00     11.313
4       2.00 0.00      17.00 0.00       9.00 0.00      10.00 0.00     11.334
4       3.00 0.00      18.00 0.00      10.00 0.00      11.00 0.00     11.155
4       4.00 0.00      19.00 0.00      11.00 0.00      12.00 0.00     10.606
4       5.00 0.00      20.00 0.00      12.00 0.00      13.00 0.00     10.150
4       6.00 0.00      21.00 0.00      13.00 0.00      14.00 0.00     10.134
4       7.00 0.00      22.00 0.00      14.00 0.00      15.00 0.00     11.429
4       8.00 0.00      23.00 0.00      15.00 0.00      16.00 0.00     13.979
4       9.00 0.00      24.00 0.00      16.00 0.00      17.00 0.00     14.173
4      10.00 0.00      25.00 0.00      17.00 0.00      18.00 0.00     14.173
4      11.00 0.00      26.00 0.00      18.00 0.00      19.00 0.00     13.977
4      12.00 0.00      27.00 0.00      19.00 0.00      20.00 0.00     11.426
4      13.00 0.00      28.00 0.00      20.00 0.00      21.00 0.00     10.135
4      14.00 0.00      29.00 0.00      21.00 0.00      22.00 0.00     10.153
