Time lapse data - general array format
   1.00
11
0
Type of measurements (0=app.resistivity,1=resistance)
0
368
1
0
Time sequence data
Number of time sections
3
Time unit
Hours
Second time section interval
1.0
Second time section interval
2.0
4      29.00 0.00      34.00 0.00      31.00 0.00      32.00 0.00     10.035  10.087  10.183
4      30.00 0.00      35.00 0.00      32.00 0.00      33.00 0.00     10.033  10.058  10.098
4      31.00 0.00      36.00 0.00      33.00 0.00      34.00 0.00     10.032  10.044  10.063
4      32.00 0.00      37.00 0.00      34.00 0.00      35.00 0.00     10.031  10.038  10.047
4      33.00 0.00      38.00 0.00      35.00 0.00      36.00 0.00     10.030  10.034  10.039
4      34.00 0.00      39.00 0.00      36.00 0.00      37.00 0.00     10.028  10.031  10.034
4      35.00 0.00      40.00 0.00      37.00 0.00      38.00 0.00     10.025  10.027  10.029
4       0.00 0.00       7.00 0.00       3.00 0.00       4.00 0.00     22.164  22.164  22.165
4       1.00 0.00       8.00 0.00       4.00 0.00       5.00 0.00     22.142  22.143  22.143
4       2.00 0.00       9.00 0.00       5.00 0.00       6.00 0.00     22.110  22.111  22.112
4       3.00 0.00      10.00 0.00       6.00 0.00       7.00 0.00     22.067  22.068  22.069
4       4.00 0.00      11.00 0.00       7.00 0.00       8.00 0.00     22.008  22.009  22.010
4       5.00 0.00      12.00 0.00       8.00 0.00       9.00 0.00     21.924  21.925  21.927
4       6.00 0.00      13.00 0.00       9.00 0.00      10.00 0.00     21.801  21.802  21.804
4       7.00 0.00      14.00 0.00      10.00 0.00      11.00 0.00     21.609  21.612  21.615
4       8.00 0.00      15.00 0.00      11.00 0.00      12.00 0.00     21.293  21.296  21.299
4       9.00 0.00      16.00 0.00      12.00 0.00      13.00 0.00     20.727  20.731  20.735
4      10.00 0.00      17.00 0.00      13.00 0.00      14.00 0.00     19.770  19.776  19.782
4      11.00 0.00      18.00 0.00      14.00 0.00      15.00 0.00     18.933  18.940  18.948
4      12.00 0.00      19.00 0.00      15.00 0.00      16.00 0.00     18.520  18.529  18.540
4      13.00 0.00      20.00 0.00      16.00 0.00      17.00 0.00     17.929  17.942  17.958
4      14.00 0.00      21.00 0.00      17.00 0.00      18.00 0.00     15.488  15.506  15.530
4      15.00 0.00      22.00 0.00      18.00 0.00      19.00 0.00     13.220  13.251  13.301
4      16.00 0.00      23.00 0.00      19.00 0.00      20.00 0.00     11.981  12.049  12.162
4      17.00 0.00      24.00 0.00      20.00 0.00      21.00 0.00     11.191  11.342  11.584
4      18.00 0.00      25.00 0.00      21.00 0.00      22.00 0.00     10.675  10.997  11.337
4      19.00 0.00      26.00 0.00      22.00 0.00      23.00 0.00     10.414  10.887  11.378
4      20.00 0.00      27.00 0.00      23.00 0.00      24.00 0.00     10.281  10.796  11.715
4      21.00 0.00      28.00 0.00      24.00 0.00      25.00 0.00     10.207  10.945  12.093
4      22.00 0.00      29.00 0.00      25.00 0.00      26.00 0.00     10.163  11.389  12.034
4      23.00 0.00      30.00 0.00      26.00 0.00      27.00 0.00     10.135  11.358  12.003
4      24.00 0.00      31.00 0.00      27.00 0.00      28.00 0.00     10.116  10.853  11.997
