Thick dike (pole-pole, pole-dipole, dipole-dipole)
   5.00
 11
0
Type of measurement (0=app. resistivity,1=resistance)
 0
5477
1
0
2   250.0000,0.0    260.0000,0.0     496.4089
2   255.0000,0.0    265.0000,0.0     497.5958
2   260.0000,0.0    270.0000,0.0     498.6707
2   265.0000,0.0    275.0000,0.0     499.6400
2   270.0000,0.0    280.0000,0.0     500.5026
2   275.0000,0.0    285.0000,0.0     501.2431
2   280.0000,0.0    290.0000,0.0     501.8089
2   285.0000,0.0    295.0000,0.0     501.9491
2     0.0000,0.0     15.0000,0.0     575.2466
2     5.0000,0.0     20.0000,0.0     574.6299
2    10.0000,0.0     25.0000,0.0     573.6432
2    15.0000,0.0     30.0000,0.0     572.4460
2    20.0000,0.0     35.0000,0.0     571.0815
2    25.0000,0.0     40.0000,0.0     569.5602
2    30.0000,0.0     45.0000,0.0     567.8773
2    35.0000,0.0     50.0000,0.0     566.0193
2    40.0000,0.0     55.0000,0.0     563.9650
2    45.0000,0.0     60.0000,0.0     561.6854
2    50.0000,0.0     65.0000,0.0     559.1435
2    55.0000,0.0     70.0000,0.0     556.2921
2    60.0000,0.0     75.0000,0.0     553.0709
2    65.0000,0.0     80.0000,0.0     549.4033
2    70.0000,0.0     85.0000,0.0     545.1902
2    75.0000,0.0     90.0000,0.0     540.3026
2    80.0000,0.0     95.0000,0.0     534.5685
2    85.0000,0.0    100.0000,0.0     527.7553
2    90.0000,0.0    105.0000,0.0     519.5403
2    95.0000,0.0    110.0000,0.0     509.4640
2   100.0000,0.0    115.0000,0.0     496.8539
2   105.0000,0.0    120.0000,0.0     480.7023
2   110.0000,0.0    125.0000,0.0     459.4882
2   115.0000,0.0    130.0000,0.0     431.0645
2   120.0000,0.0    135.0000,0.0     393.4920
2   125.0000,0.0    140.0000,0.0     349.8618
2   130.0000,0.0    145.0000,0.0     313.3108
2   135.0000,0.0    150.0000,0.0     292.4261
2   140.0000,0.0    155.0000,0.0     286.0822
2   145.0000,0.0    160.0000,0.0     292.4282
