Thick dike (pole-pole, pole-dipole, dipole-dipole)
   5.00
 11
0
Type of measurement (0=app. resistivity,1=resistance)
 0
5477
1
0
3   190.0000,0.0    210.0000,0.0    220.0000,0.0     450.8382
3   195.0000,0.0    215.0000,0.0    225.0000,0.0     455.8588
3   200.0000,0.0    220.0000,0.0    230.0000,0.0     459.7601
3   205.0000,0.0    225.0000,0.0    235.0000,0.0     462.8465
3   210.0000,0.0    230.0000,0.0    240.0000,0.0     465.3264
3   215.0000,0.0    235.0000,0.0    245.0000,0.0     467.3462
3   220.0000,0.0    240.0000,0.0    250.0000,0.0     469.0117
3   225.0000,0.0    245.0000,0.0    255.0000,0.0     470.4012
3   230.0000,0.0    250.0000,0.0    260.0000,0.0     471.5741
3   235.0000,0.0    255.0000,0.0    265.0000,0.0     472.5766
3   240.0000,0.0    260.0000,0.0    270.0000,0.0     473.4459
3   245.0000,0.0    265.0000,0.0    275.0000,0.0     474.2139
3   250.0000,0.0    270.0000,0.0    280.0000,0.0     474.9103
3   255.0000,0.0    275.0000,0.0    285.0000,0.0     475.5683
3   260.0000,0.0    280.0000,0.0    290.0000,0.0     476.2340
3   265.0000,0.0    285.0000,0.0    295.0000,0.0     476.9928
3     0.0000,0.0     20.0000,0.0     40.0000,0.0     517.6962
3     5.0000,0.0     25.0000,0.0     45.0000,0.0     518.8531
3    10.0000,0.0     30.0000,0.0     50.0000,0.0     519.7336
3    15.0000,0.0     35.0000,0.0     55.0000,0.0     520.5464
3    20.0000,0.0     40.0000,0.0     60.0000,0.0     521.3776
3    25.0000,0.0     45.0000,0.0     65.0000,0.0     522.2783
3    30.0000,0.0     50.0000,0.0     70.0000,0.0     523.2888
3    35.0000,0.0     55.0000,0.0     75.0000,0.0     524.4486
3    40.0000,0.0     60.0000,0.0     80.0000,0.0     525.8014
3    45.0000,0.0     65.0000,0.0     85.0000,0.0     527.3995
3    50.0000,0.0     70.0000,0.0     90.0000,0.0     529.3087
3    55.0000,0.0     75.0000,0.0     95.0000,0.0     531.6138
3    60.0000,0.0     80.0000,0.0    100.0000,0.0     534.4271
3    65.0000,0.0     85.0000,0.0    105.0000,0.0     537.8995
3    70.0000,0.0     90.0000,0.0    110.0000,0.0     542.2376
3    75.0000,0.0     95.0000,0.0    115.0000,0.0     547.7253
3    80.0000,0.0    100.0000,0.0    120.0000,0.0     554.7451
3    85.0000,0.0    105.0000,0.0    125.0000,0.0     563.7550
3    90.0000,0.0    110.0000,0.0    130.0000,0.0     574.9979
3    95.0000,0.0    115.0000,0.0    135.0000,0.0     587.0335
3   100.0000,0.0    120.0000,0.0    140.0000,0.0     592.2338
3   105.0000,0.0    125.0000,0.0    145.0000,0.0     575.3892
3   110.0000,0.0    130.0000,0.0    150.0000,0.0     528.1453
3   115.0000,0.0    135.0000,0.0    155.0000,0.0     452.3042
3   120.0000,0.0    140.0000,0.0    160.0000,0.0     361.6743
3   125.0000,0.0    145.0000,0.0    165.0000,0.0     286.1887
3   130.0000,0.0    150.0000,0.0    170.0000,0.0     241.7358
3   135.0000,0.0    155.0000,0.0    175.0000,0.0     223.1411
3   140.0000,0.0    160.0000,0.0    180.0000,0.0     221.4651
3   145.0000,0.0    165.0000,0.0    185.0000,0.0     233.5588
3   150.0000,0.0    170.0000,0.0    190.0000,0.0     261.5097
3   155.0000,0.0    175.0000,0.0    195.0000,0.0     305.5918
3   160.0000,0.0    180.0000,0.0    200.0000,0.0     354.9937
3   165.0000,0.0    185.0000,0.0    205.0000,0.0     395.0399
3   170.0000,0.0    190.0000,0.0    210.0000,0.0     423.4147
3   175.0000,0.0    195.0000,0.0    215.0000,0.0     443.2033
3   180.0000,0.0    200.0000,0.0    220.0000,0.0     457.2893
3   185.0000,0.0    205.0000,0.0    225.0000,0.0     467.5921
3   190.0000,0.0    210.0000,0.0    230.0000,0.0     475.3253
3   195.0000,0.0    215.0000,0.0    235.0000,0.0     481.2633
3   200.0000,0.0    220.0000,0.0    240.0000,0.0     485.9129
3   205.0000,0.0    225.0000,0.0    245.0000,0.0     489.6152
3   210.0000,0.0    230.0000,0.0    250.0000,0.0     492.6065
3   215.0000,0.0    235.0000,0.0    255.0000,0.0     495.0552
3   220.0000,0.0    240.0000,0.0    260.0000,0.0     497.0840
3   225.0000,0.0    245.0000,0.0    265.0000,0.0     498.7845
3   230.0000,0.0    250.0000,0.0    270.0000,0.0     500.2274
3   235.0000,0.0    255.0000,0.0    275.0000,0.0     501.4683
3   240.0000,0.0    260.0000,0.0    280.0000,0.0     502.5531
3   245.0000,0.0    265.0000,0.0    285.0000,0.0     503.5232
3   250.0000,0.0    270.0000,0.0    290.0000,0.0     504.4206
3   255.0000,0.0    275.0000,0.0    295.0000,0.0     505.2975
3     0.0000,0.0     25.0000,0.0     30.0000,0.0     516.5997
3     5.0000,0.0     30.0000,0.0     35.0000,0.0     517.7135
3    10.0000,0.0     35.0000,0.0     40.0000,0.0     518.5461
3    15.0000,0.0     40.0000,0.0     45.0000,0.0     519.3006
3    20.0000,0.0     45.0000,0.0     50.0000,0.0     520.0623
3    25.0000,0.0     50.0000,0.0     55.0000,0.0     520.8805
3    30.0000,0.0     55.0000,0.0     60.0000,0.0     521.7934
3    35.0000,0.0     60.0000,0.0     65.0000,0.0     522.8369
3    40.0000,0.0     65.0000,0.0     70.0000,0.0     524.0502
3    45.0000,0.0     70.0000,0.0     75.0000,0.0     525.4798
3    50.0000,0.0     75.0000,0.0     80.0000,0.0     527.1835
3    55.0000,0.0     80.0000,0.0     85.0000,0.0     529.2355
3    60.0000,0.0     85.0000,0.0     90.0000,0.0     531.7338
3    65.0000,0.0     90.0000,0.0     95.0000,0.0     534.8101
3    70.0000,0.0     95.0000,0.0    100.0000,0.0     538.6452
3    75.0000,0.0    100.0000,0.0    105.0000,0.0     543.4919
3    80.0000,0.0    105.0000,0.0    110.0000,0.0     549.7076
3    85.0000,0.0    110.0000,0.0    115.0000,0.0     557.7970
3    90.0000,0.0    115.0000,0.0    120.0000,0.0     568.4349
3    95.0000,0.0    120.0000,0.0    125.0000,0.0     582.2930
3   100.0000,0.0    125.0000,0.0    130.0000,0.0     598.7645
3   105.0000,0.0    130.0000,0.0    135.0000,0.0     609.9026
3   110.0000,0.0    135.0000,0.0    140.0000,0.0     583.8646
3   115.0000,0.0    140.0000,0.0    145.0000,0.0     482.8150
3   120.0000,0.0    145.0000,0.0    150.0000,0.0     358.5016
3   125.0000,0.0    150.0000,0.0    155.0000,0.0     271.3811
3   130.0000,0.0    155.0000,0.0    160.0000,0.0     229.2017
3   135.0000,0.0    160.0000,0.0    165.0000,0.0     215.5721
3   140.0000,0.0    165.0000,0.0    170.0000,0.0     216.7161
3   145.0000,0.0    170.0000,0.0    175.0000,0.0     230.4452
3   150.0000,0.0    175.0000,0.0    180.0000,0.0     259.6198
3   155.0000,0.0    180.0000,0.0    185.0000,0.0     304.7274
3   160.0000,0.0    185.0000,0.0    190.0000,0.0     354.9095
3   165.0000,0.0    190.0000,0.0    195.0000,0.0     395.4003
3   170.0000,0.0    195.0000,0.0    200.0000,0.0     423.9592
3   175.0000,0.0    200.0000,0.0    205.0000,0.0     443.7841
3   180.0000,0.0    205.0000,0.0    210.0000,0.0     457.8333
3   185.0000,0.0    210.0000,0.0    215.0000,0.0     468.0679
3   190.0000,0.0    215.0000,0.0    220.0000,0.0     475.7224
3   195.0000,0.0    220.0000,0.0    225.0000,0.0     481.5815
3   200.0000,0.0    225.0000,0.0    230.0000,0.0     486.1565
3   205.0000,0.0    230.0000,0.0    235.0000,0.0     489.7903
3   210.0000,0.0    235.0000,0.0    240.0000,0.0     492.7198
3   215.0000,0.0    240.0000,0.0    245.0000,0.0     495.1125
3   220.0000,0.0    245.0000,0.0    250.0000,0.0     497.0908
3   225.0000,0.0    250.0000,0.0    255.0000,0.0     498.7454
3   230.0000,0.0    255.0000,0.0    260.0000,0.0     500.1458
3   235.0000,0.0    260.0000,0.0    265.0000,0.0     501.3461
3   240.0000,0.0    265.0000,0.0    270.0000,0.0     502.3909
3   245.0000,0.0    270.0000,0.0    275.0000,0.0     503.3188
3   250.0000,0.0    275.0000,0.0    280.0000,0.0     504.1670
3   255.0000,0.0    280.0000,0.0    285.0000,0.0     504.9791
3   260.0000,0.0    285.0000,0.0    290.0000,0.0     505.8196
3   265.0000,0.0    290.0000,0.0    295.0000,0.0     506.8148
3     0.0000,0.0     30.0000,0.0     35.0000,0.0     564.9902
3     5.0000,0.0     35.0000,0.0     40.0000,0.0     566.3037
3    10.0000,0.0     40.0000,0.0     45.0000,0.0     567.4005
3    15.0000,0.0     45.0000,0.0     50.0000,0.0     568.4571
3    20.0000,0.0     50.0000,0.0     55.0000,0.0     569.5613
3    25.0000,0.0     55.0000,0.0     60.0000,0.0     570.7720
3    30.0000,0.0     60.0000,0.0     65.0000,0.0     572.1397
3    35.0000,0.0     65.0000,0.0     70.0000,0.0     573.7157
3    40.0000,0.0     70.0000,0.0     75.0000,0.0     575.5588
3    45.0000,0.0     75.0000,0.0     80.0000,0.0     577.7406
3    50.0000,0.0     80.0000,0.0     85.0000,0.0     580.3510
3    55.0000,0.0     85.0000,0.0     90.0000,0.0     583.5075
3    60.0000,0.0     90.0000,0.0     95.0000,0.0     587.3655
3    65.0000,0.0     95.0000,0.0    100.0000,0.0     592.1353
3    70.0000,0.0    100.0000,0.0    105.0000,0.0     598.1058
3    75.0000,0.0    105.0000,0.0    110.0000,0.0     605.6768
3    80.0000,0.0    110.0000,0.0    115.0000,0.0     615.3976
3    85.0000,0.0    115.0000,0.0    120.0000,0.0     627.9696
3    90.0000,0.0    120.0000,0.0    125.0000,0.0     643.9933
3    95.0000,0.0    125.0000,0.0    130.0000,0.0     662.3871
3   100.0000,0.0    130.0000,0.0    135.0000,0.0     673.3081
3   105.0000,0.0    135.0000,0.0    140.0000,0.0     639.9436
3   110.0000,0.0    140.0000,0.0    145.0000,0.0     521.8719
3   115.0000,0.0    145.0000,0.0    150.0000,0.0     381.1567
3   120.0000,0.0    150.0000,0.0    155.0000,0.0     285.3537
3   125.0000,0.0    155.0000,0.0    160.0000,0.0     240.8222
3   130.0000,0.0    160.0000,0.0    165.0000,0.0     226.0478
3   135.0000,0.0    165.0000,0.0    170.0000,0.0     223.3423
3   140.0000,0.0    170.0000,0.0    175.0000,0.0     228.0434
3   145.0000,0.0    175.0000,0.0    180.0000,0.0     242.7222
3   150.0000,0.0    180.0000,0.0    185.0000,0.0     272.5493
3   155.0000,0.0    185.0000,0.0    190.0000,0.0     319.4065
3   160.0000,0.0    190.0000,0.0    195.0000,0.0     373.0050
3   165.0000,0.0    195.0000,0.0    200.0000,0.0     417.6599
3   170.0000,0.0    200.0000,0.0    205.0000,0.0     450.0811
3   175.0000,0.0    205.0000,0.0    210.0000,0.0     473.1275
3   180.0000,0.0    210.0000,0.0    215.0000,0.0     489.7770
3   185.0000,0.0    215.0000,0.0    220.0000,0.0     502.0977
3   190.0000,0.0    220.0000,0.0    225.0000,0.0     511.4313
3   195.0000,0.0    225.0000,0.0    230.0000,0.0     518.6511
3   200.0000,0.0    230.0000,0.0    235.0000,0.0     524.3378
3   205.0000,0.0    235.0000,0.0    240.0000,0.0     528.8878
3   210.0000,0.0    240.0000,0.0    245.0000,0.0     532.5789
3   215.0000,0.0    245.0000,0.0    250.0000,0.0     535.6108
3   220.0000,0.0    250.0000,0.0    255.0000,0.0     538.1307
3   225.0000,0.0    255.0000,0.0    260.0000,0.0     540.2493
3   230.0000,0.0    260.0000,0.0    265.0000,0.0     542.0524
3   235.0000,0.0    265.0000,0.0    270.0000,0.0     543.6084
3   240.0000,0.0    270.0000,0.0    275.0000,0.0     544.9746
3   245.0000,0.0    275.0000,0.0    280.0000,0.0     546.2036
3   250.0000,0.0    280.0000,0.0    285.0000,0.0     547.3502
3   255.0000,0.0    285.0000,0.0    290.0000,0.0     548.4864
3   260.0000,0.0    290.0000,0.0    295.0000,0.0     549.7317
3     0.0000,0.0     25.0000,0.0     50.0000,0.0     581.3483
3     5.0000,0.0     30.0000,0.0     55.0000,0.0     582.8293
3    10.0000,0.0     35.0000,0.0     60.0000,0.0     584.1304
3    15.0000,0.0     40.0000,0.0     65.0000,0.0     585.4270
3    20.0000,0.0     45.0000,0.0     70.0000,0.0     586.8117
3    25.0000,0.0     50.0000,0.0     75.0000,0.0     588.3512
3    30.0000,0.0     55.0000,0.0     80.0000,0.0     590.1066
3    35.0000,0.0     60.0000,0.0     85.0000,0.0     592.1433
3    40.0000,0.0     65.0000,0.0     90.0000,0.0     594.5385
3    45.0000,0.0     70.0000,0.0     95.0000,0.0     597.3872
3    50.0000,0.0     75.0000,0.0    100.0000,0.0     600.8109
3    55.0000,0.0     80.0000,0.0    105.0000,0.0     604.9679
3    60.0000,0.0     85.0000,0.0    110.0000,0.0     610.0670
3    65.0000,0.0     90.0000,0.0    115.0000,0.0     616.3844
3    70.0000,0.0     95.0000,0.0    120.0000,0.0     624.2757
3    75.0000,0.0    100.0000,0.0    125.0000,0.0     634.1359
3    80.0000,0.0    105.0000,0.0    130.0000,0.0     646.1003
3    85.0000,0.0    110.0000,0.0    135.0000,0.0     658.6734
3    90.0000,0.0    115.0000,0.0    140.0000,0.0     664.8029
3    95.0000,0.0    120.0000,0.0    145.0000,0.0     651.3705
3   100.0000,0.0    125.0000,0.0    150.0000,0.0     612.2883
3   105.0000,0.0    130.0000,0.0    155.0000,0.0     548.9327
3   110.0000,0.0    135.0000,0.0    160.0000,0.0     464.8460
3   115.0000,0.0    140.0000,0.0    165.0000,0.0     371.9322
3   120.0000,0.0    145.0000,0.0    170.0000,0.0     297.5389
3   125.0000,0.0    150.0000,0.0    175.0000,0.0     254.8535
3   130.0000,0.0    155.0000,0.0    180.0000,0.0     236.6267
3   135.0000,0.0    160.0000,0.0    185.0000,0.0     231.9516
3   140.0000,0.0    165.0000,0.0    190.0000,0.0     235.5838
3   145.0000,0.0    170.0000,0.0    195.0000,0.0     249.3732
3   150.0000,0.0    175.0000,0.0    200.0000,0.0     278.3631
3   155.0000,0.0    180.0000,0.0    205.0000,0.0     324.6435
3   160.0000,0.0    185.0000,0.0    210.0000,0.0     378.2386
3   165.0000,0.0    190.0000,0.0    215.0000,0.0     423.4500
3   170.0000,0.0    195.0000,0.0    220.0000,0.0     456.6837
3   175.0000,0.0    200.0000,0.0    225.0000,0.0     480.5802
3   180.0000,0.0    205.0000,0.0    230.0000,0.0     498.0214
3   185.0000,0.0    210.0000,0.0    235.0000,0.0     511.0439
3   190.0000,0.0    215.0000,0.0    240.0000,0.0     520.9860
3   195.0000,0.0    220.0000,0.0    245.0000,0.0     528.7286
3   200.0000,0.0    225.0000,0.0    250.0000,0.0     534.8630
3   205.0000,0.0    230.0000,0.0    255.0000,0.0     539.7972
3   210.0000,0.0    235.0000,0.0    260.0000,0.0     543.8195
3   215.0000,0.0    240.0000,0.0    265.0000,0.0     547.1388
3   220.0000,0.0    245.0000,0.0    270.0000,0.0     549.9105
3   225.0000,0.0    250.0000,0.0    275.0000,0.0     552.2528
3   230.0000,0.0    255.0000,0.0    280.0000,0.0     554.2584
3   235.0000,0.0    260.0000,0.0    285.0000,0.0     556.0031
3   240.0000,0.0    265.0000,0.0    290.0000,0.0     557.5532
3   245.0000,0.0    270.0000,0.0    295.0000,0.0     558.9736
3     0.0000,0.0     30.0000,0.0     40.0000,0.0     583.6565
3     5.0000,0.0     35.0000,0.0     45.0000,0.0     585.0797
3    10.0000,0.0     40.0000,0.0     50.0000,0.0     586.3155
3    15.0000,0.0     45.0000,0.0     55.0000,0.0     587.5333
3    20.0000,0.0     50.0000,0.0     60.0000,0.0     588.8231
3    25.0000,0.0     55.0000,0.0     65.0000,0.0     590.2488
3    30.0000,0.0     60.0000,0.0     70.0000,0.0     591.8676
3    35.0000,0.0     65.0000,0.0     75.0000,0.0     593.7396
3    40.0000,0.0     70.0000,0.0     80.0000,0.0     595.9349
3    45.0000,0.0     75.0000,0.0     85.0000,0.0     598.5394
3    50.0000,0.0     80.0000,0.0     90.0000,0.0     601.6621
3    55.0000,0.0     85.0000,0.0     95.0000,0.0     605.4456
3    60.0000,0.0     90.0000,0.0    100.0000,0.0     610.0792
3    65.0000,0.0     95.0000,0.0    105.0000,0.0     615.8187
3    70.0000,0.0    100.0000,0.0    110.0000,0.0     623.0131
3    75.0000,0.0    105.0000,0.0    115.0000,0.0     632.1364
3    80.0000,0.0    110.0000,0.0    120.0000,0.0     643.8011
3    85.0000,0.0    115.0000,0.0    125.0000,0.0     658.6172
3    90.0000,0.0    120.0000,0.0    130.0000,0.0     676.2495
3    95.0000,0.0    125.0000,0.0    135.0000,0.0     691.1094
3   100.0000,0.0    130.0000,0.0    140.0000,0.0     679.9770
3   105.0000,0.0    135.0000,0.0    145.0000,0.0     603.8065
3   110.0000,0.0    140.0000,0.0    150.0000,0.0     470.1483
3   115.0000,0.0    145.0000,0.0    155.0000,0.0     345.9606
3   120.0000,0.0    150.0000,0.0    160.0000,0.0     271.8831
3   125.0000,0.0    155.0000,0.0    165.0000,0.0     240.3550
3   130.0000,0.0    160.0000,0.0    170.0000,0.0     230.3665
3   135.0000,0.0    165.0000,0.0    175.0000,0.0     229.1459
3   140.0000,0.0    170.0000,0.0    180.0000,0.0     234.1065
3   145.0000,0.0    175.0000,0.0    185.0000,0.0     248.5728
3   150.0000,0.0    180.0000,0.0    190.0000,0.0     278.1725
3   155.0000,0.0    185.0000,0.0    195.0000,0.0     325.2112
3   160.0000,0.0    190.0000,0.0    200.0000,0.0     379.6637
3   165.0000,0.0    195.0000,0.0    205.0000,0.0     425.5984
3   170.0000,0.0    200.0000,0.0    210.0000,0.0     459.3290
3   175.0000,0.0    205.0000,0.0    215.0000,0.0     483.5368
3   180.0000,0.0    210.0000,0.0    220.0000,0.0     501.1652
3   185.0000,0.0    215.0000,0.0    225.0000,0.0     514.2968
3   190.0000,0.0    220.0000,0.0    230.0000,0.0     524.2995
3   195.0000,0.0    225.0000,0.0    235.0000,0.0     532.0724
3   200.0000,0.0    230.0000,0.0    240.0000,0.0     538.2186
3   205.0000,0.0    235.0000,0.0    245.0000,0.0     543.1525
3   210.0000,0.0    240.0000,0.0    250.0000,0.0     547.1668
3   215.0000,0.0    245.0000,0.0    255.0000,0.0     550.4733
3   220.0000,0.0    250.0000,0.0    260.0000,0.0     553.2284
3   225.0000,0.0    255.0000,0.0    265.0000,0.0     555.5511
3   230.0000,0.0    260.0000,0.0    270.0000,0.0     557.5340
3   235.0000,0.0    265.0000,0.0    275.0000,0.0     559.2515
3   240.0000,0.0    270.0000,0.0    280.0000,0.0     560.7674
3   245.0000,0.0    275.0000,0.0    285.0000,0.0     562.1418
3   250.0000,0.0    280.0000,0.0    290.0000,0.0     563.4410
3   255.0000,0.0    285.0000,0.0    295.0000,0.0     564.7559
3     0.0000,0.0     30.0000,0.0     45.0000,0.0     599.7131
3     5.0000,0.0     35.0000,0.0     50.0000,0.0     601.2532
3    10.0000,0.0     40.0000,0.0     55.0000,0.0     602.6347
3    15.0000,0.0     45.0000,0.0     60.0000,0.0     604.0225
3    20.0000,0.0     50.0000,0.0     65.0000,0.0     605.5092
3    25.0000,0.0     55.0000,0.0     70.0000,0.0     607.1642
3    30.0000,0.0     60.0000,0.0     75.0000,0.0     609.0520
3    35.0000,0.0     65.0000,0.0     80.0000,0.0     611.2425
3    40.0000,0.0     70.0000,0.0     85.0000,0.0     613.8179
3    45.0000,0.0     75.0000,0.0     90.0000,0.0     616.8801
3    50.0000,0.0     80.0000,0.0     95.0000,0.0     620.5594
3    55.0000,0.0     85.0000,0.0    100.0000,0.0     625.0259
3    60.0000,0.0     90.0000,0.0    105.0000,0.0     630.5059
3    65.0000,0.0     95.0000,0.0    110.0000,0.0     637.3029
3    70.0000,0.0    100.0000,0.0    115.0000,0.0     645.8235
3    75.0000,0.0    105.0000,0.0    120.0000,0.0     656.5906
3    80.0000,0.0    110.0000,0.0    125.0000,0.0     670.1499
3    85.0000,0.0    115.0000,0.0    130.0000,0.0     686.4370
3    90.0000,0.0    120.0000,0.0    135.0000,0.0     701.9003
3    95.0000,0.0    125.0000,0.0    140.0000,0.0     701.1816
3   100.0000,0.0    130.0000,0.0    145.0000,0.0     656.1373
3   105.0000,0.0    135.0000,0.0    150.0000,0.0     557.4954
3   110.0000,0.0    140.0000,0.0    155.0000,0.0     430.5319
3   115.0000,0.0    145.0000,0.0    160.0000,0.0     326.2039
3   120.0000,0.0    150.0000,0.0    165.0000,0.0     267.4112
3   125.0000,0.0    155.0000,0.0    170.0000,0.0     242.9370
3   130.0000,0.0    160.0000,0.0    175.0000,0.0     235.3583
3   135.0000,0.0    165.0000,0.0    180.0000,0.0     234.8219
3   140.0000,0.0    170.0000,0.0    185.0000,0.0     239.7887
3   145.0000,0.0    175.0000,0.0    190.0000,0.0     253.9408
3   150.0000,0.0    180.0000,0.0    195.0000,0.0     283.2107
3   155.0000,0.0    185.0000,0.0    200.0000,0.0     330.2244
3   160.0000,0.0    190.0000,0.0    205.0000,0.0     385.2109
3   165.0000,0.0    195.0000,0.0    210.0000,0.0     432.0879
3   170.0000,0.0    200.0000,0.0    215.0000,0.0     466.8466
3   175.0000,0.0    205.0000,0.0    220.0000,0.0     492.0014
3   180.0000,0.0    210.0000,0.0    225.0000,0.0     510.4491
3   185.0000,0.0    215.0000,0.0    230.0000,0.0     524.2725
3   190.0000,0.0    220.0000,0.0    235.0000,0.0     534.8547
3   195.0000,0.0    225.0000,0.0    240.0000,0.0     543.1125
3   200.0000,0.0    230.0000,0.0    245.0000,0.0     549.6654
3   205.0000,0.0    235.0000,0.0    250.0000,0.0     554.9423
3   210.0000,0.0    240.0000,0.0    255.0000,0.0     559.2479
3   215.0000,0.0    245.0000,0.0    260.0000,0.0     562.8035
3   220.0000,0.0    250.0000,0.0    265.0000,0.0     565.7740
3   225.0000,0.0    255.0000,0.0    270.0000,0.0     568.2853
3   230.0000,0.0    260.0000,0.0    275.0000,0.0     570.4359
3   235.0000,0.0    265.0000,0.0    280.0000,0.0     572.3065
3   240.0000,0.0    270.0000,0.0    285.0000,0.0     573.9672
3   245.0000,0.0    275.0000,0.0    290.0000,0.0     575.4868
3   250.0000,0.0    280.0000,0.0    295.0000,0.0     576.9446
3     0.0000,0.0     30.0000,0.0     60.0000,0.0     637.1878
3     5.0000,0.0     35.0000,0.0     65.0000,0.0     639.1285
3    10.0000,0.0     40.0000,0.0     70.0000,0.0     640.9996
3    15.0000,0.0     45.0000,0.0     75.0000,0.0     642.9622
3    20.0000,0.0     50.0000,0.0     80.0000,0.0     645.1209
3    25.0000,0.0     55.0000,0.0     85.0000,0.0     647.5648
3    30.0000,0.0     60.0000,0.0     90.0000,0.0     650.3855
3    35.0000,0.0     65.0000,0.0     95.0000,0.0     653.6871
3    40.0000,0.0     70.0000,0.0    100.0000,0.0     657.5967
3    45.0000,0.0     75.0000,0.0    105.0000,0.0     662.2731
3    50.0000,0.0     80.0000,0.0    110.0000,0.0     667.9190
3    55.0000,0.0     85.0000,0.0    115.0000,0.0     674.7928
3    60.0000,0.0     90.0000,0.0    120.0000,0.0     683.2118
3    65.0000,0.0     95.0000,0.0    125.0000,0.0     693.5016
3    70.0000,0.0    100.0000,0.0    130.0000,0.0     705.6980
3    75.0000,0.0    105.0000,0.0    135.0000,0.0     718.2814
3    80.0000,0.0    110.0000,0.0    140.0000,0.0     724.7509
3    85.0000,0.0    115.0000,0.0    145.0000,0.0     713.7097
3    90.0000,0.0    120.0000,0.0    150.0000,0.0     680.8815
3    95.0000,0.0    125.0000,0.0    155.0000,0.0     628.6607
3   100.0000,0.0    130.0000,0.0    160.0000,0.0     559.1119
3   105.0000,0.0    135.0000,0.0    165.0000,0.0     473.2388
3   110.0000,0.0    140.0000,0.0    170.0000,0.0     381.5805
3   115.0000,0.0    145.0000,0.0    175.0000,0.0     310.3089
3   120.0000,0.0    150.0000,0.0    180.0000,0.0     270.7562
3   125.0000,0.0    155.0000,0.0    185.0000,0.0     254.4185
3   130.0000,0.0    160.0000,0.0    190.0000,0.0     249.5005
3   135.0000,0.0    165.0000,0.0    195.0000,0.0     249.5729
3   140.0000,0.0    170.0000,0.0    200.0000,0.0     254.1940
3   145.0000,0.0    175.0000,0.0    205.0000,0.0     267.3859
3   150.0000,0.0    180.0000,0.0    210.0000,0.0     295.5263
3   155.0000,0.0    185.0000,0.0    215.0000,0.0     341.9110
3   160.0000,0.0    190.0000,0.0    220.0000,0.0     397.4295
3   165.0000,0.0    195.0000,0.0    225.0000,0.0     445.8829
3   170.0000,0.0    200.0000,0.0    230.0000,0.0     482.6130
3   175.0000,0.0    205.0000,0.0    235.0000,0.0     509.7187
3   180.0000,0.0    210.0000,0.0    240.0000,0.0     529.9347
3   185.0000,0.0    215.0000,0.0    245.0000,0.0     545.3032
3   190.0000,0.0    220.0000,0.0    250.0000,0.0     557.2142
3   195.0000,0.0    225.0000,0.0    255.0000,0.0     566.6081
3   200.0000,0.0    230.0000,0.0    260.0000,0.0     574.1321
3   205.0000,0.0    235.0000,0.0    265.0000,0.0     580.2419
3   210.0000,0.0    240.0000,0.0    270.0000,0.0     585.2658
3   215.0000,0.0    245.0000,0.0    275.0000,0.0     589.4462
3   220.0000,0.0    250.0000,0.0    280.0000,0.0     592.9664
3   225.0000,0.0    255.0000,0.0    285.0000,0.0     595.9688
3   230.0000,0.0    260.0000,0.0    290.0000,0.0     598.5688
3   235.0000,0.0    265.0000,0.0    295.0000,0.0     600.8648
3     0.0000,0.0     40.0000,0.0     50.0000,0.0     663.8326
3     5.0000,0.0     45.0000,0.0     55.0000,0.0     665.8999
3    10.0000,0.0     50.0000,0.0     60.0000,0.0     667.9341
3    15.0000,0.0     55.0000,0.0     65.0000,0.0     670.0850
3    20.0000,0.0     60.0000,0.0     70.0000,0.0     672.4587
3    25.0000,0.0     65.0000,0.0     75.0000,0.0     675.1494
3    30.0000,0.0     70.0000,0.0     80.0000,0.0     678.2557
3    35.0000,0.0     75.0000,0.0     85.0000,0.0     681.8914
3    40.0000,0.0     80.0000,0.0     90.0000,0.0     686.1955
3    45.0000,0.0     85.0000,0.0     95.0000,0.0     691.3436
3    50.0000,0.0     90.0000,0.0    100.0000,0.0     697.5623
3    55.0000,0.0     95.0000,0.0    105.0000,0.0     705.1483
3    60.0000,0.0    100.0000,0.0    110.0000,0.0     714.4907
3    65.0000,0.0    105.0000,0.0    115.0000,0.0     726.0931
3    70.0000,0.0    110.0000,0.0    120.0000,0.0     740.5538
3    75.0000,0.0    115.0000,0.0    125.0000,0.0     758.3268
3    80.0000,0.0    120.0000,0.0    130.0000,0.0     778.4560
3    85.0000,0.0    125.0000,0.0    135.0000,0.0     793.2689
3    90.0000,0.0    130.0000,0.0    140.0000,0.0     774.2156
3    95.0000,0.0    135.0000,0.0    145.0000,0.0     677.2426
3   100.0000,0.0    140.0000,0.0    150.0000,0.0     517.5057
3   105.0000,0.0    145.0000,0.0    155.0000,0.0     376.1830
3   110.0000,0.0    150.0000,0.0    160.0000,0.0     297.3174
3   115.0000,0.0    155.0000,0.0    165.0000,0.0     267.3745
3   120.0000,0.0    160.0000,0.0    170.0000,0.0     259.0149
3   125.0000,0.0    165.0000,0.0    175.0000,0.0     256.9805
3   130.0000,0.0    170.0000,0.0    180.0000,0.0     256.9603
3   135.0000,0.0    175.0000,0.0    185.0000,0.0     258.4670
3   140.0000,0.0    180.0000,0.0    190.0000,0.0     263.2029
3   145.0000,0.0    185.0000,0.0    195.0000,0.0     275.9444
3   150.0000,0.0    190.0000,0.0    200.0000,0.0     303.6718
3   155.0000,0.0    195.0000,0.0    205.0000,0.0     350.2522
3   160.0000,0.0    200.0000,0.0    210.0000,0.0     406.9689
