Magusi River survey
30.48
3
86
1
1
Metal Factor
0.001 ms/ohm.m
0.1, 10.0
-137.16, 30.48, 1, 26, -9.5
-106.68, 30.48, 1, 26, -9.5
-76.2, 30.48, 1, 28, -9
-45.72, 30.48, 1, 30, -1.5
-15.24, 30.48, 1, 10, 101
15.24, 30.48, 1, 10, 80
45.72, 30.48, 1, 34, 3
76.2, 30.48, 1, 31, -1.5
106.68, 30.48, 1, 28, 11
137.16, 30.48, 1, 26, 2
-121.92, 30.48, 2, 50, -3
-91.44, 30.48, 2, 56, -3.5
-60.96, 30.48, 2, 55, -2
-30.48, 30.48, 2, 13, 110
0, 30.48, 2, 7.6, 287.5
30.48, 30.48, 2, 13, 67
60.96, 30.48, 2, 54, -1
91.44, 30.48, 2, 52, 1
121.92, 30.48, 2, 48, 1
-213.36, 60.96, 1, 48, -4
-152.4, 60.96, 1, 58, -3.5
-91.44, 60.96, 1, 69, -1.5
-30.48, 60.96, 1, 14, 145
30.48, 60.96, 1, 15, 91
91.44, 60.96, 1, 71, -0.5
152.4, 60.96, 1, 68, -2
213.36, 60.96, 1, 81, -2
-106.68, 30.48, 3, 87, -3.5
-76.2, 30.48, 3, 87, -2
-45.72, 30.48, 3, 17, 96
-15.24, 30.48, 3, 11, 197.5
15.24, 30.48, 3, 11, 206
45.72, 30.48, 3, 16, 78
76.2, 30.48, 3, 76, -2
106.68, 30.48, 3, 82, -0.5
-91.44, 30.48, 4, 120, -1.5
-60.96, 30.48, 4, 22, 75.5
-30.48, 30.48, 4, 16, 120
0, 30.48, 4, 16, 115.5
30.48, 30.48, 4, 14, 145.5
60.96, 30.48, 4, 19, 68.5
91.44, 30.48, 4, 110, -1.5
-228.60, 91.44, 1, 77, 0.5
-137.16, 91.44, 1, 109, -5
-45.72, 91.44, 1, 23, 87
45.72, 91.44, 1, 18, 90
137.16, 91.44, 1, 131, 1
228.60, 91.44, 1, 157, -0.5
-182.88, 60.96, 2, 99, -2
-121.92, 60.96, 2, 126, -2
-60.96, 60.96, 2, 27, 73
0, 60.96, 2, 22, 60
60.96, 60.96, 2, 25, 49
121.92, 60.96, 2, 155, -1.5
182.88, 60.96, 2, 145, -3
-213.36, 60.96, 3, 146, -2
-152.4, 60.96, 3, 168, 0.5
-91.44, 60.96, 3, 46, 36
-30.48, 60.96, 3, 45, 24.5
30.48, 60.96, 3, 43, 18
91.44, 60.96, 3, 53, 22.5
152.4, 60.96, 3, 281, 0
213.36, 60.96, 3, 290, -1
-182.88, 91.44, 2, 167, -1
-91.44, 91.44, 2, 55, 30
0, 91.44, 2, 44, 25
91.44, 91.44, 2, 52, 24
182.88, 91.44, 2, 346, 0
-182.88, 60.96, 4, 218, -1
-121.92, 60.96, 4, 64, 21.5
-60.96, 60.96, 4, 77, 15
0, 60.96, 4, 86, 9
60.96, 60.96, 4, 92, 7.5
121.92, 60.96, 4, 105, 14.5
182.88, 60.96, 4, 404, 0
-228.60, 91.44, 3, 204, -1
-137.16, 91.44, 3, 85, 16
-45.72, 91.44, 3, 118, 6.5
45.72, 91.44, 3, 129, 7.5
137.16, 91.44, 3, 130, 9.5
228.60, 91.44, 3, 358, 0.5
-182.88, 91.44, 4, 100, 12.5
-91.44, 91.44, 4, 171, 3.5
0, 91.44, 4, 288, 2.5
91.44, 91.44, 4, 268, 4
182.88, 91.44, 4, 128, 14.5
0
0
0
0
0
