ROMO SURVEY
2.0
1
805
1
0
12 48 79
20 48 74
28 48 74
0 40 81
8 40 80
16 40 79
24 40 81
32 40 80
40 40 79
-12 32 91
-4 32 84
4 32 79
12 32 79
20 32 83
28 32 85
36 32 89
44 32 86
52 32 77
-24 24 100
48 24 82
-16 24 102
56 24 78
-8 24 92
64 24 71
0 24 87
8 24 103
16 24 85
24 24 91
32 24 94
40 24 90
-36 16 112
12 16 92
60 16 78
-28 16 108
20 16 97
68 16 80
-20 16 108
28 16 94
76 16 80
-12 16 108
36 16 89
-4 16 105
44 16 85
4 16 94
52 16 82
-48 8 169
-24 8 158
0 8 112
24 8 139
48 8 149
72 8 80
-40 8 137
-16 8 136
8 8 113
32 8 168
56 8 107
80 8 111
-32 8 143
-8 8 153
16 8 123
40 8 155
64 8 95
88 8 223
-2 12 113
34 12 87
2 12 103
38 12 96
6 12 95
42 12 107
10 12 100
14 12 98
18 12 101
22 12 102
26 12 105
30 12 92
-4 8 137
20 8 130
44 8 200
4 8 106
28 8 150
12 8 107
36 8 140
-11 6 165
7 6 127
25 6 259
43 6 303
-9 6 173
9 6 129
27 6 280
45 6 305
-7 6 168
11 6 136
29 6 344
47 6 255
-5 6 171
13 6 140
31 6 341
49 6 209
-3 6 142
15 6 178
33 6 341
51 6 177
-1 6 124
17 6 221
35 6 302
1 6 114
19 6 234
37 6 293
3 6 114
21 6 266
39 6 281
5 6 120
23 6 250
41 6 291
-14 4 296
-2 4 175
10 4 224
22 4 849
34 4 739
46 4 543
-12 4 273
0 4 137
12 4 296
24 4 945
36 4 631
48 4 616
-10 4 274
2 4 142
14 4 334
26 4 855
38 4 681
50 4 429
-8 4 258
4 4 162
16 4 462
28 4 887
40 4 812
52 4 378
-6 4 267
6 4 174
18 4 613
30 4 1033
42 4 681
54 4 292
-4 4 221
8 4 172
20 4 744
32 4 953
44 4 573
-17 2 444
-11 2 915
-5 2 631
1 2 273
7 2 529
13 2 1044
19 2 1935
25 2 3116
31 2 2903
37 2 1440
43 2 1973
49 2 1067
55 2 330
-15 2 599
-9 2 817
-3 2 416
3 2 298
9 2 721
15 2 1062
21 2 2408
27 2 3531
33 2 1541
39 2 1289
45 2 2112
51 2 641
57 2 362
-13 2 685
-7 2 787
-1 2 325
5 2 393
11 2 762
17 2 1699
23 2 3003
29 2 2614
35 2 1669
41 2 2018
47 2 1935
53 2 348
52 48 69
60 48 65
68 48 67
48 40 76
56 40 73
64 40 67
72 40 65
80 40 68
60 32 72
68 32 65
76 32 70
84 32 71
92 32 73
88 24 77
96 24 78
104 24 76
72 24 71
80 24 74
100 16 83
108 16 82
116 16 86
84 16 82
92 16 85
112 8 179
96 8 187
120 8 172
104 8 286
128 8 134
74 12 77
78 12 83
46 12 97
82 12 98
50 12 91
54 12 77
58 12 77
62 12 89
66 12 97
70 12 86
60 8 134
84 8 193
68 8 86
52 8 93
76 8 84
65 6 103
83 6 232
67 6 99
85 6 353
69 6 97
87 6 435
53 6 158
71 6 88
89 6 448
55 6 169
73 6 90
91 6 434
57 6 185
75 6 86
59 6 149
77 6 113
61 6 129
79 6 145
63 6 102
81 6 158
62 4 150
74 4 200
86 4 721
64 4 158
76 4 240
88 4 1010
66 4 177
78 4 189
90 4 920
56 4 213
68 4 230
80 4 216
92 4 1063
58 4 170
70 4 187
82 4 267
94 4 1282
60 4 173
72 4 162
84 4 428
59 2 407
65 2 647
71 2 807
77 2 431
83 2 594
89 2 2219
95 2 2551
61 2 486
67 2 875
73 2 723
79 2 535
85 2 1054
91 2 2281
97 2 2210
63 2 658
69 2 880
75 2 671
81 2 470
87 2 1449
93 2 2513
92 48 62
100 48 63
108 48 65
88 40 67
96 40 69
104 40 69
112 40 67
120 40 64
100 32 75
108 32 70
116 32 67
124 32 63
132 32 61
128 24 70
136 24 69
144 24 70
112 24 72
120 24 69
140 16 86
148 16 88
156 16 89
124 16 86
132 16 86
152 8 141
136 8 127
160 8 145
144 8 134
168 8 189
114 12 103
118 12 104
86 12 104
122 12 104
90 12 100
94 12 98
98 12 97
102 12 102
106 12 112
110 12 112
100 8 261
124 8 151
108 8 226
92 8 190
116 8 175
105 6 516
123 6 219
107 6 441
125 6 199
109 6 405
127 6 176
