Bipole-bipole borehole test
1.0
13
739
2
0
Surface Electrodes
16
0.0,  0.0
1.0,  0.0
2.0,  0.0
3.0,  0.0
4.0,  0.0
5.0,  0.0
6.0,  0.0
7.0,  0.0
8.0,  0.0
9.0,  0.0
10.0, 0.0
11.0, 0.0
12.0, 0.0
13.0, 0.0
14.0, 0.0
15.0, 0.0
Borehole 1 Electrodes
11
  4.0 1.0
  4.0 2.0
  4.0 3.0
  4.0 4.0
  4.0 5.0
  4.0 6.0
  4.0 7.0
  4.0 8.0
  4.0 9.0
  4.0 10.0
  4.0 11.0
Borehole 2 Electrodes
11
11.0 1.0,
11.0 2.0,
11.0 3.0,
11.0 4.0,
11.0 5.0,
11.0 6.0,
11.0 7.0,
11.0 8.0,
11.0 9.0,
11.0 10.0
11.0 11.0
Error estimate for data present
Type of error estimate (0=same unit as data)
0
Measured Data
4    2.000    0.000    4.000    1.000    0.000    0.000    4.000    3.000   5.640494      0.086309 
4    2.000    0.000    4.000    2.000    0.000    0.000    4.000    4.000   6.101668      0.073986 
4    2.000    0.000    4.000    3.000    0.000    0.000    4.000    5.000   6.727485      0.073309 
4    2.000    0.000    4.000    4.000    0.000    0.000    4.000    6.000   7.275846      0.034904 
4    2.000    0.000    4.000    5.000    0.000    0.000    4.000    7.000   7.809438      0.051683 
4    2.000    0.000    4.000    6.000    0.000    0.000    4.000    8.000   8.258793      0.036379 
4    2.000    0.000    4.000    7.000    0.000    0.000    4.000    9.000   8.603091      0.022153
4    2.000    0.000    4.000    8.000    0.000    0.000    4.000   10.000   8.916179      0.028874 
4    2.000    0.000    4.000    9.000    0.000    0.000    4.000   11.000   9.106259      0.059954 
4    2.000    0.000   11.000    1.000    0.000    0.000   11.000    3.000  10.343436      0.065386 
4    2.000    0.000   11.000    2.000    0.000    0.000   11.000    4.000   9.598036      0.036819 
4    2.000    0.000   11.000    3.000    0.000    0.000   11.000    5.000   9.349610      0.027297 
4    2.000    0.000   11.000    4.000    0.000    0.000   11.000    6.000   9.401647      0.095837 
4    2.000    0.000   11.000    5.000    0.000    0.000   11.000    7.000   9.280034      0.074712 
4    2.000    0.000   11.000    6.000    0.000    0.000   11.000    8.000   9.431285      0.057476 
4    2.000    0.000   11.000    7.000    0.000    0.000   11.000    9.000   9.743781      0.091693 
4    2.000    0.000   11.000    8.000    0.000    0.000   11.000   10.000   9.837074      0.047496 
4    2.000    0.000   11.000    9.000    0.000    0.000   11.000   11.000   9.828379      0.038192 
4    3.000    0.000    4.000    1.000    1.000    0.000    4.000    3.000   3.875209      0.056023 
4    3.000    0.000    4.000    2.000    1.000    0.000    4.000    4.000   4.975625      0.051579 
4    3.000    0.000    4.000    3.000    1.000    0.000    4.000    5.000   6.047549      0.091369 
4    3.000    0.000    4.000    4.000    1.000    0.000    4.000    6.000   6.690190      0.094385 
4    3.000    0.000    4.000    5.000    1.000    0.000    4.000    7.000   7.403469      0.036253 
4    3.000    0.000    4.000    6.000    1.000    0.000    4.000    8.000   8.036479      0.051390 
4    3.000    0.000    4.000    7.000    1.000    0.000    4.000    9.000   8.385576      0.051402 
4    3.000    0.000    4.000    8.000    1.000    0.000    4.000   10.000   8.826362      0.037911 
4    3.000    0.000    4.000    9.000    1.000    0.000    4.000   11.000   8.939535      0.091321 
4    3.000    0.000   11.000    1.000    1.000    0.000   11.000    3.000  10.034519      0.091211 
4    3.000    0.000   11.000    2.000    1.000    0.000   11.000    4.000   9.280808      0.036174 
4    3.000    0.000   11.000    3.000    1.000    0.000   11.000    5.000   8.988123      0.088128 
