Borehole test with IP data
1.0
12
703
2
1
Chargeability
msec
0.1,1.0
Surface Electrodes
16
0.0,  0.0
1.0,  0.0
2.0,  0.0
3.0,  0.0
4.0,  0.0
5.0,  0.0
6.0,  0.0
7.0,  0.0
8.0,  0.0
9.0,  0.0
10.0, 0.0
11.0, 0.0
12.0, 0.0
13.0, 0.0
14.0, 0.0
15.0, 0.0
Borehole 1 Electrodes
11
  4.0 1.0
  4.0 2.0
  4.0 3.0
  4.0 4.0
  4.0 5.0
  4.0 6.0
  4.0 7.0
  4.0 8.0
  4.0 9.0
  4.0 10.0
  4.0 11.0
Borehole 2 Electrodes
11
11.0 1.0
11.0 2.0
11.0 3.0
11.0 4.0
11.0 5.0
11.0 6.0
11.0 7.0
11.0 8.0
11.0 9.0
11.0 10.0
11.0 11.0
Measured Data
2    0.00    0.00    1.00    0.00  101.5661    0.2628
2    0.00    0.00    2.00    0.00  101.5604    0.5983
2    0.00    0.00    3.00    0.00  102.5831    1.0043
2    0.00    0.00    4.00    0.00  103.7007    1.4609
2    0.00    0.00    5.00    0.00  104.8427    1.8989
2    0.00    0.00    6.00    0.00  105.5989    2.1981
2    0.00    0.00    7.00    0.00  105.5765    2.2211
2    0.00    0.00    8.00    0.00  104.5625    1.8827
2    0.00    0.00    9.00    0.00  102.8176    1.2260
2    0.00    0.00   10.00    0.00  100.8984    0.4531
2    0.00    0.00   11.00    0.00   99.2528   -0.2220
2    0.00    0.00   12.00    0.00   98.0092   -0.7119
2    0.00    0.00   13.00    0.00   97.1073   -1.0284
2    0.00    0.00   14.00    0.00   96.4412   -1.2219
2    0.00    0.00   15.00    0.00   95.9236   -1.3308
2    0.00    0.00    4.00    1.00  103.9203    1.5478
2    0.00    0.00    4.00    2.00  104.5486    1.8032
2    0.00    0.00    4.00    3.00  105.4542    2.1759
2    0.00    0.00    4.00    4.00  106.1320    2.4782
2    0.00    0.00    4.00    5.00  105.9839    2.4460
2    0.00    0.00    4.00    6.00  104.9693    2.0110
2    0.00    0.00    4.00    7.00  103.7074    1.4372
2    0.00    0.00    4.00    8.00  102.7140    0.9846
