Time lapse data
   1.00
7
350
1
0
Time sequence data
Number of time sections
3
Time unit
Hours
Second time section interval
1.0
Third time section interval
1.0
     1.500      1.000      1.000     11.868     11.868     11.868
     2.500      1.000      1.000     11.867     11.867     11.867
     3.500      1.000      1.000     11.863     11.863     11.863
     4.500      1.000      1.000     11.859     11.860     11.860
     5.500      1.000      1.000     11.855     11.856     11.856
     6.500      1.000      1.000     11.851     11.851     11.851
     7.500      1.000      1.000     11.845     11.845     11.846
     8.500      1.000      1.000     11.838     11.838     11.839
     9.500      1.000      1.000     11.829     11.829     11.830
    10.500      1.000      1.000     11.817     11.817     11.817
    11.500      1.000      1.000     11.798     11.798     11.799
    12.500      1.000      1.000     11.768     11.769     11.769
    13.500      1.000      1.000     11.718     11.718     11.719
    14.500      1.000      1.000     11.626     11.627     11.627
    15.500      1.000      1.000     11.439     11.440     11.441
    16.500      1.000      1.000     11.176     11.177     11.178
    17.500      1.000      1.000     10.770     10.772     10.773
    18.500      1.000      1.000     10.426     10.428     10.432
    19.500      1.000      1.000     10.258     10.262     10.269
    20.500      1.000      1.000     10.197     10.206     10.224
    21.500      1.000      1.000     10.172     10.194     10.244
    22.500      1.000      1.000     10.159     10.221     10.368
    23.500      1.000      1.000     10.153     10.333     10.634
    24.500      1.000      1.000     10.148     10.541     10.915
    25.500      1.000      1.000     10.145     10.666     11.050
    26.500      1.000      1.000     10.143     10.663     11.048
    27.500      1.000      1.000     10.142     10.534     10.907
    28.500      1.000      1.000     10.141     10.322     10.621
    29.500      1.000      1.000     10.140     10.202     10.349
    30.500      1.000      1.000     10.139     10.162     10.212
    31.500      1.000      1.000     10.139     10.148     10.166
    32.500      1.000      1.000     10.138     10.143     10.150
    33.500      1.000      1.000     10.138     10.140     10.144
    34.500      1.000      1.000     10.138     10.139     10.141
    35.500      1.000      1.000     10.138     10.139     10.140
    36.500      1.000      1.000     10.138     10.138     10.139
    37.500      1.000      1.000     10.138     10.138     10.139
    38.500      1.000      1.000     10.137     10.137     10.137
     2.500      1.000      2.000     14.743     14.743     14.743
     3.500      1.000      2.000     14.732     14.732     14.733
     4.500      1.000      2.000     14.720     14.720     14.720
     5.500      1.000      2.000     14.705     14.706     14.706
     6.500      1.000      2.000     14.688     14.689     14.689
     7.500      1.000      2.000     14.668     14.668     14.669
     8.500      1.000      2.000     14.640     14.641     14.641
     9.500      1.000      2.000     14.602     14.603     14.604
    10.500      1.000      2.000     14.546     14.547     14.548
    11.500      1.000      2.000     14.460     14.462     14.463
    12.500      1.000      2.000     14.321     14.322     14.324
    13.500      1.000      2.000     14.090     14.092     14.094
    14.500      1.000      2.000     13.720     13.722     13.725
    15.500      1.000      2.000     13.313     13.316     13.320
    16.500      1.000      2.000     12.800     12.804     12.809
    17.500      1.000      2.000     11.857     11.863     11.871
    18.500      1.000      2.000     11.076     11.087     11.103
    19.500      1.000      2.000     10.592     10.614     10.651
    20.500      1.000      2.000     10.309     10.358     10.451
    21.500      1.000      2.000     10.182     10.302     10.530
    22.500      1.000      2.000     10.122     10.413     10.800
    23.500      1.000      2.000     10.090     10.608     11.248
    24.500      1.000      2.000     10.071     10.807     11.703
    25.500      1.000      2.000     10.059     11.023     11.709
    26.500      1.000      2.000     10.051     11.012     11.701
    27.500      1.000      2.000     10.046     10.780     11.676
    28.500      1.000      2.000     10.042     10.563     11.201
