Blocks
  1.0
 2 
 414 
1
0
    0.50,    1.00,    9.99
    1.50,    1.00,   10.02
    2.50,    1.00,   10.04
    3.50,    1.00,   10.05
    4.50,    1.00,   10.08
    5.50,    1.00,   10.13
    6.50,    1.00,   10.28
    7.50,    1.00,   10.79
    8.50,    1.00,   11.71
    9.50,    1.00,   11.70
   10.50,    1.00,   10.78
   11.50,    1.00,   10.27
   12.50,    1.00,   10.11
   13.50,    1.00,   10.05
   14.50,    1.00,   10.02
   15.50,    1.00,    9.99
   16.50,    1.00,    9.96
   17.50,    1.00,    9.91
   18.50,    1.00,    9.83
   19.50,    1.00,    9.68
   20.50,    1.00,    9.36
   21.50,    1.00,    8.78
   22.50,    1.00,    8.26
   23.50,    1.00,    8.01
   24.50,    1.00,    7.92
   25.50,    1.00,    7.92
   26.50,    1.00,    8.01
   27.50,    1.00,    8.26
   28.50,    1.00,    8.78
   29.50,    1.00,    9.36
   30.50,    1.00,    9.67
   31.50,    1.00,    9.82
   32.50,    1.00,    9.90
   33.50,    1.00,    9.94
   34.50,    1.00,    9.97
   35.50,    1.00,    9.99
   36.50,    1.00,   10.00
   37.50,    1.00,   10.00
   38.50,    1.00,   10.00
   39.50,    1.00,    9.97
    1.00,    2.00,    9.90
    2.00,    2.00,    9.94
    3.00,    2.00,    9.97
    4.00,    2.00,   10.00
    5.00,    2.00,   10.07
    6.00,    2.00,   10.24
    7.00,    2.00,   10.66
    8.00,    2.00,   11.12
    9.00,    2.00,   11.29
   10.00,    2.00,   11.11
   11.00,    2.00,   10.64
   12.00,    2.00,   10.21
   13.00,    2.00,   10.03
   14.00,    2.00,    9.94
   15.00,    2.00,    9.88
   16.00,    2.00,    9.83
   17.00,    2.00,    9.75
   18.00,    2.00,    9.63
   19.00,    2.00,    9.41
   20.00,    2.00,    9.01
   21.00,    2.00,    8.33
   22.00,    2.00,    7.72
   23.00,    2.00,    7.37
   24.00,    2.00,    7.16
   25.00,    2.00,    7.10
   26.00,    2.00,    7.16
   27.00,    2.00,    7.37
   28.00,    2.00,    7.71
   29.00,    2.00,    8.32
   30.00,    2.00,    9.00
   31.00,    2.00,    9.40
   32.00,    2.00,    9.61
   33.00,    2.00,    9.73
   34.00,    2.00,    9.80
   35.00,    2.00,    9.84
   36.00,    2.00,    9.86
   37.00,    2.00,    9.87
   38.00,    2.00,    9.87
   39.00,    2.00,    9.85
    1.50,    3.00,    9.85
    2.50,    3.00,    9.90
    3.50,    3.00,    9.94
    4.50,    3.00,   10.01
    5.50,    3.00,   10.16
    6.50,    3.00,   10.47
    7.50,    3.00,   10.61
    8.50,    3.00,   10.40
    9.50,    3.00,   10.40
   10.50,    3.00,   10.59
   11.50,    3.00,   10.43
   12.50,    3.00,   10.11
   13.50,    3.00,    9.93
   14.50,    3.00,    9.83
   15.50,    3.00,    9.75
   16.50,    3.00,    9.65
   17.50,    3.00,    9.51
   18.50,    3.00,    9.27
   19.50,    3.00,    8.86
   20.50,    3.00,    8.24
   21.50,    3.00,    7.76
   22.50,    3.00,    7.56
   23.50,    3.00,    7.45
   24.50,    3.00,    7.35
   25.50,    3.00,    7.35
   26.50,    3.00,    7.45
   27.50,    3.00,    7.56
   28.50,    3.00,    7.76
   29.50,    3.00,    8.23
   30.50,    3.00,    8.85
   31.50,    3.00,    9.25
