Kennedy Area Survey
 91.0
 3
 90
1
1
Phase Angle
mrad
0.0,1.0
  0,	91,	1,	267,	25
 91,	91,	1,	193,	22
182,	91,	1,	281,	20
273,	91,	1,	371,	18
364,	91,	1,	210,	19
455,	91,	1,	210,	9.8
546,	91,	1,	227,	19
637,	91,	1,	167,	37
728,	91,	1,	162,	39
819,	91,	1,	262,	55
910,	91,	1,	159,	37
1001,	91,	1,	180,	38
1092,	91,	1,	176,	29
1183,	91,	1,	211,	21
1274,	91,	1,	192,	19
45.5,	91,	2,	229,	26
136.5,	91,	2,	235,	23
227.5,	91,	2,	322,	24
318.5,	91,	2,	147,	25
409.5,	91,	2,	257,	20
500.5,	91,	2,	312,	21
591.5,	91,	2,	218,	39
682.5,	91,	2,	165,	39
773.5,	91,	2,	158,	40
864.5,	91,	2,	144,	63
955.5,	91,	2,	137,	44
1046.5, 91,	2,	185,	37
1137.5, 91,	2,	197,	38
1228.5, 91,	2,	203,	26
1319.5, 91,	2,	210,	27
91,	91,	3,	381,	26
182,    91,     3,      281,    23
273,    91,     3,      130     26
364,    91,     3,      190,    24
455,    91,     3,      434,    26
546,    91,     3,      417,    38
637,    91,     3,      206,    38
728,    91,     3,      208,    40
819,    91,     3,      145,    50
910,    91,     3,      146,    56
1001,   91,     3,      155,    39
1092,   91,     3,      235,    41
1183,   91,     3,      226,    37
1274,   91,     3,      273,    33
1365,   91,     3,      261,    33
136.5,  91,     4,      426,    24
227.5,  91,     4,      126,    23
318.5,  91,     4,      161,    22
409.5,  91,     4,      297,    29
500.5,  91,     4,      521,    43
591.5,  91,     4,      414,    35
682.5,  91,     4,      237,    41
773.5,  91,     4,      141,    41
864.5,  91,     4,      148,    30
955.5,  91,     4,      166,    46
1046.5, 91,     4,      187,    40
1137.5, 91,     4,      200,    36
1228.5, 91,     4,      321,    42
1319.5, 91,     4,      325,    37
1410.5, 91,     4,      429,    35
182,    91,     5,      182,    26
273,    91,     5,      174,    20
364,    91,     5,      248,    28
455,    91,     5,      431,    45
546,    91,     5,      627,    38
637,    91,     5,      518,    37
728,    91,     5,      162,    51
819,    91,     5,      130,    37
910,    91,     5,      156,    34
1001,   91,     5,      198,    56
1092,   91,     5,      232,    38
1183,   91,     5,      434,    41
1274,   91,     5,      482,    45
1365,   91,     5,      550,    40
1456,   91,     5,      379,    38
227.5,  91,     6,      263,    17
318.5,  91,     6,      274,    26
409.5,  91,     6,      361,    43
500.5,  91,     6,      419,    36
591.5,  91,     6,      760,    39
682.5,  91,     6,      348,    38
773.5,  91,     6,      143,    42
864.5,  91,     6,      137,    32
955.5,  91,     6,      180,    43
1046.5, 91,     6,      245,    50
1137.5, 91,     6,      369,    38
1228.5, 91,     6,      564,    41
1319.5, 91,     6,      691,    45
1410.5, 91,     6,      474,    33
1501.5, 91,     6,      221,    35
0
0
0
0
0
