Pole-dipole 4 boreholes test
1.0
12
1160
2
0
Surface Electrodes
16
0.0,  0.0
1.0,  0.0
2.0,  0.0
3.0,  0.0
4.0,  0.0
5.0,  0.0
6.0,  0.0
7.0,  0.0
8.0,  0.0
9.0,  0.0
10.0, 0.0
11.0, 0.0
12.0, 0.0
13.0, 0.0
14.0, 0.0
15.0, 0.0
Number of boreholes
4
Borehole 1 Electrodes
11
  4.0 1.0
  4.0 2.0
  4.0 3.0
  4.0 4.0
  4.0 5.0
  4.0 6.0
  4.0 7.0
  4.0 8.0
  4.0 9.0
  4.0 10.0
  4.0 11.0
Borehole 2 Electrodes
11
  5.0 1.0
  5.0 2.0
  5.0 3.0
  5.0 4.0
  5.0 5.0
  5.0 6.0
  5.0 7.0
  5.0 8.0
  5.0 9.0
  5.0 10.0
  5.0 11.0
Borehole 3 Electrodes
11
 10.0 1.0
 10.0 2.0
 10.0 3.0
 10.0 4.0
 10.0 5.0
 10.0 6.0
 10.0 7.0
 10.0 8.0
 10.0 9.0
 10.0 10.0
 10.0 11.0
Borehole 4 Electrodes
11
11.0 1.0
11.0 2.0
11.0 3.0
11.0 4.0
11.0 5.0
11.0 6.0
11.0 7.0
11.0 8.0
11.0 9.0
11.0 10.0
11.0 11.0
Error estimate for data present
Type of error estimate (0=same unit as data)
0
Measured Data
3    4.000    3.000  13.000    0.000   14.000    0.000  105.660689  0.796897
3    4.000    3.000  14.000    0.000   15.000    0.000  100.674263  1.621078
3    4.000    3.000  11.000    4.000   11.000    5.000  132.013053  0.618737
3    4.000    3.000  11.000    5.000   11.000    6.000   94.789243  1.417841
3    4.000    3.000  11.000    6.000   11.000    7.000   78.542131  0.454271
3    4.000    3.000  11.000    7.000   11.000    8.000   73.024501  1.008908
3    4.000    3.000  11.000    8.000   11.000    9.000   76.871100  0.528830
3    4.000    3.000  11.000    9.000   11.000   10.000   79.186419  1.003927
3    4.000    3.000  11.000   10.000   11.000   11.000   84.465145  0.673413
3    4.000    4.000   4.000    5.000    4.000    6.000  103.959433  1.199830
3    4.000    4.000   4.000    6.000    4.000    7.000  110.763222  1.003770
3    4.000    4.000   4.000    7.000    4.000    8.000  111.391265  1.159409
3    4.000    4.000   4.000    8.000    4.000    9.000  113.373897  1.150828
3    4.000    4.000   4.000    9.000    4.000   10.000  109.993298  1.020390
3    4.000    4.000   4.000   10.000    4.000   11.000  111.162088  1.248972
3    4.000    4.000   4.000    3.000    4.000    2.000  103.731942  0.845183
3    4.000    4.000   4.000    2.000    4.000    1.000  108.070615  1.331350
3    4.000    4.000   1.000    0.000    0.000    0.000  107.707065  0.756368
3    4.000    4.000   2.000    0.000    1.000    0.000  110.928033  1.486497
3    4.000    4.000   3.000    0.000    2.000    0.000  111.237150  0.656123
3    4.000    4.000   4.000    0.000    3.000    0.000  123.220245  1.784020
3    4.000    4.000   4.000    0.000    5.000    0.000  100.374213  0.479600
3    4.000    4.000   5.000    0.000    6.000    0.000  114.720243  1.784459
3    4.000    4.000   6.000    0.000    7.000    0.000  118.468883  0.912761
3    4.000    4.000   7.000    0.000    8.000    0.000  125.479080  2.086457
3    4.000    4.000   8.000    0.000    9.000    0.000  123.245417  0.810843
3    4.000    4.000   9.000    0.000   10.000    0.000  122.499136  2.168211
3    4.000    4.000  10.000    0.000   11.000    0.000  113.611839  0.620011
3    4.000    4.000  11.000    0.000   12.000    0.000  110.053013  2.065625
3    4.000    4.000  12.000    0.000   13.000    0.000  102.611003  0.444996
3    4.000    4.000  13.000    0.000   14.000    0.000   97.666210  1.969234
3    4.000    4.000  14.000    0.000   15.000    0.000   97.889859  0.466817
3    4.000    4.000  11.000    6.000   11.000    7.000   62.414653  1.186463
3    4.000    4.000  11.000    7.000   11.000    8.000   65.858705  0.386293
3    4.000    4.000  11.000    8.000   11.000    9.000   70.932141  1.266826
3    4.000    4.000  11.000    9.000   11.000   10.000   79.083278  0.550494
3    4.000    4.000  11.000   10.000   11.000   11.000   81.987207  1.370116
3    4.000    5.000   4.000    6.000    4.000    7.000  105.465227  0.432542
3    4.000    5.000   4.000    7.000    4.000    8.000  105.700753  1.645293
3    4.000    5.000   4.000    8.000    4.000    9.000  109.649378  0.570246
3    4.000    5.000   4.000    9.000    4.000   10.000  107.902693  1.556352
3    4.000    5.000   4.000   10.000    4.000   11.000  110.283383  0.694517
3    4.000    5.000   4.000    4.000    4.000    3.000  103.012931  1.368326
3    4.000    5.000   4.000    3.000    4.000    2.000  109.692160  0.810721
3    4.000    5.000   4.000    2.000    4.000    1.000  111.866291  1.358616
3    4.000    5.000   1.000    0.000    0.000    0.000  110.248999  0.935240
3    4.000    5.000   2.000    0.000    1.000    0.000  109.314213  1.203632
3    4.000    5.000   3.000    0.000    2.000    0.000  113.185689  1.083356
3    4.000    5.000   5.000    0.000    6.000    0.000  128.804145  1.272301
3    4.000    5.000   6.000    0.000    7.000    0.000  133.848695  1.426668
3    4.000    5.000   7.000    0.000    8.000    0.000  129.885743  1.136322
3    4.000    5.000   8.000    0.000    9.000    0.000  126.988165  1.491316
3    4.000    5.000   9.000    0.000   10.000    0.000  116.789793  0.890024
3    4.000    5.000  10.000    0.000   11.000    0.000  110.653967  1.419149
3    4.000    5.000  11.000    0.000   12.000    0.000  101.637041  0.660169
3    4.000    5.000  12.000    0.000   13.000    0.000   98.947071  1.375889
3    4.000    5.000  13.000    0.000   14.000    0.000   94.211976  0.506270
3    4.000    5.000  14.000    0.000   15.000    0.000   94.578396  1.417080
3    4.000    5.000  11.000    7.000   11.000    8.000   56.912460  0.242070
3    4.000    5.000  11.000    8.000   11.000    9.000   71.517466  1.148386
3    4.000    5.000  11.000    9.000   11.000   10.000   78.948908  0.566702
3    4.000    5.000  11.000   10.000   11.000   11.000   86.776127  1.486523
3    4.000    6.000   4.000    7.000    4.000    8.000  103.260943  0.625111
3    4.000    6.000   4.000    8.000    4.000    9.000  106.673252  1.941471
3    4.000    6.000   4.000    9.000    4.000   10.000  105.758538  0.521582
3    4.000    6.000   4.000   10.000    4.000   11.000  109.601736  2.111876
3    4.000    6.000   4.000    5.000    4.000    4.000  103.339153  0.432292
3    4.000    6.000   4.000    4.000    4.000    3.000  105.398315  2.068123
3    4.000    6.000   4.000    3.000    4.000    2.000  115.300801  0.609066
3    4.000    6.000   4.000    2.000    4.000    1.000  115.842117  2.139710
3    4.000    6.000   1.000    0.000    0.000    0.000  108.805308  0.694087
3    4.000    6.000   2.000    0.000    1.000    0.000  106.596613  1.846380
3    4.000    6.000   3.000    0.000    2.000    0.000  108.020393  0.807160
3    4.000    6.000   5.000    0.000    6.000    0.000  145.560130  2.354482
3    4.000    6.000   6.000    0.000    7.000    0.000  143.366099  0.661891
3    4.000    6.000   7.000    0.000    8.000    0.000  132.724185  1.994947
3    4.000    6.000   8.000    0.000    9.000    0.000  125.005340  0.714256
3    4.000    6.000   9.000    0.000   10.000    0.000  111.736385  1.551884
3    4.000    6.000  10.000    0.000   11.000    0.000  104.468031  0.711385
3    4.000    6.000  11.000    0.000   12.000    0.000   95.866350  1.222357
3    4.000    6.000  12.000    0.000   13.000    0.000   93.935163  0.742368
3    4.000    6.000  13.000    0.000   14.000    0.000   90.221738  1.047816
3    4.000    6.000  14.000    0.000   15.000    0.000   91.371849  0.821686
3    4.000    6.000  11.000    9.000   11.000   10.000   82.357755  0.863169
3    4.000    6.000  11.000   10.000   11.000   11.000   90.205691  0.909396
3    4.000    7.000   4.000    8.000    4.000    9.000  102.073830  0.954284
3    4.000    7.000   4.000    9.000    4.000   10.000  104.395138  1.165714
3    4.000    7.000   4.000   10.000    4.000   11.000  104.171706  0.856263
3    4.000    7.000   4.000    6.000    4.000    5.000  102.938529  1.261016
3    4.000    7.000   4.000    5.000    4.000    4.000  102.964513  0.730457
3    4.000    7.000   4.000    4.000    4.000    3.000  112.920561  1.505415
3    4.000    7.000   4.000    3.000    4.000    2.000  117.342283  0.700540
3    4.000    7.000   4.000    2.000    4.000    1.000  121.689609  1.753490
3    4.000    7.000   1.000    0.000    0.000    0.000  105.055775  0.509349
3    4.000    7.000   2.000    0.000    1.000    0.000  106.280391  1.645885
3    4.000    7.000   6.000    0.000    7.000    0.000  147.726790  1.148805
3    4.000    7.000   7.000    0.000    8.000    0.000  137.640875  2.279257
3    4.000    7.000   8.000    0.000    9.000    0.000  120.377232  0.800609
3    4.000    7.000   9.000    0.000   10.000    0.000  110.420518  1.946878
3    4.000    7.000  10.000    0.000   11.000    0.000   98.439013  0.544255
3    4.000    7.000  11.000    0.000   12.000    0.000   95.032780  1.777226
3    4.000    7.000  12.000    0.000   13.000    0.000   90.101005  0.397179
3    4.000    7.000  13.000    0.000   14.000    0.000   87.809798  1.776971
3    4.000    7.000  14.000    0.000   15.000    0.000   90.090158  0.423304
3    4.000    8.000   4.000    9.000    4.000   10.000  100.759777  1.922787
3    4.000    8.000   4.000   10.000    4.000   11.000  103.681989  0.600889
3    4.000    8.000   4.000    7.000    4.000    6.000   99.539572  1.784922
3    4.000    8.000   4.000    6.000    4.000    5.000  101.537629  0.699708
3    4.000    8.000   4.000    5.000    4.000    4.000  104.196987  1.748898
3    4.000    8.000   4.000    4.000    4.000    3.000  114.427203  0.461262
3    4.000    8.000   4.000    3.000    4.000    2.000  117.820755  1.842553
3    4.000    8.000   4.000    2.000    4.000    1.000  120.638735  0.618944
3    4.000    8.000   1.000    0.000    0.000    0.000  101.432911  1.470425
3    4.000    8.000   7.000    0.000    8.000    0.000  135.494369  0.843811
3    4.000    8.000   8.000    0.000    9.000    0.000  116.450816  1.555288
3    4.000    8.000   9.000    0.000   10.000    0.000  105.360851  0.771358
3    4.000    8.000  10.000    0.000   11.000    0.000   94.527337  1.154891
3    4.000    8.000  11.000    0.000   12.000    0.000   91.816585  0.772487
3    4.000    8.000  12.000    0.000   13.000    0.000   88.366335  0.979375
3    4.000    9.000   4.000    8.000    4.000    7.000  102.321098  0.972381
3    4.000    9.000   4.000    7.000    4.000    6.000   98.651821  0.981587
3    4.000    9.000   4.000    6.000    4.000    5.000  102.747260  1.088042
3    4.000    9.000   4.000    5.000    4.000    4.000  106.707313  0.941231
3    4.000    9.000   4.000    4.000    4.000    3.000  116.958830  1.365446
3    4.000    9.000   4.000    3.000    4.000    2.000  119.169297  0.916725
3    4.000   10.000   4.000    9.000    4.000    8.000  102.541706  1.308033
3    4.000   10.000   4.000    8.000    4.000    7.000   98.553883  0.647212
3    4.000   10.000   4.000    7.000    4.000    6.000  100.637065  1.392459
3    4.000   10.000   4.000    6.000    4.000    5.000  101.603522  0.553262
3    4.000   10.000   4.000    5.000    4.000    4.000  110.398088  1.646524
3    4.000   10.000   4.000    4.000    4.000    3.000  115.772996  0.500693
3    4.000   10.000   4.000    3.000    4.000    2.000  122.491482  1.958500
3    4.000   11.000   4.000   10.000    4.000    9.000   98.994321  0.717578
3    4.000   11.000   4.000    9.000    4.000    8.000   99.367318  1.695420
3    4.000   11.000   4.000    8.000    4.000    7.000   96.701066  0.592330
3    4.000   11.000   4.000    7.000    4.000    6.000   99.807395  1.809699
3    4.000   11.000   4.000    6.000    4.000    5.000  101.394636  0.507311
3    4.000   11.000   4.000    5.000    4.000    4.000  110.973352  2.130747
3    4.000   11.000   4.000    4.000    4.000    3.000  116.968368  0.481093
3   11.000    1.000  11.000    2.000   11.000    3.000   99.936867  1.968315
3   11.000    1.000  11.000    3.000   11.000    4.000  103.393469  0.538923
3   11.000    1.000  11.000    4.000   11.000    5.000  107.009653  1.984426
3   11.000    1.000  11.000    5.000   11.000    6.000  116.422996  0.734542
3   11.000    1.000  11.000    6.000   11.000    7.000  115.429167  2.007830
3   11.000    1.000  11.000    7.000   11.000    8.000  114.847193  0.850161
3   11.000    1.000  11.000    8.000   11.000    9.000  108.281301  1.759402
3   11.000    1.000  11.000    9.000   11.000   10.000  107.572842  0.489094
3   11.000    1.000  11.000   10.000   11.000   11.000  103.734673  1.566780
3   11.000    1.000   1.000    0.000    0.000    0.000  108.535963  0.612555
3   11.000    1.000   2.000    0.000    1.000    0.000  108.854028  1.519774
3   11.000    1.000   3.000    0.000    2.000    0.000  114.098832  0.768998
3   11.000    1.000   4.000    0.000    3.000    0.000  114.946610  1.473991
3   11.000    1.000   5.000    0.000    4.000    0.000  119.470408  0.935847
3   11.000    1.000   6.000    0.000    5.000    0.000  116.419967  1.360512
3   11.000    1.000   7.000    0.000    6.000    0.000  113.811757  1.015568
3   11.000    1.000   8.000    0.000    7.000    0.000  104.832966  1.106174
3   11.000    1.000   9.000    0.000    8.000    0.000  102.154381  1.022767
3   11.000    1.000  10.000    0.000    9.000    0.000   98.004523  0.923310
3   11.000    1.000  11.000    0.000   10.000    0.000  103.729569  1.151100
3   11.000    1.000  11.000    0.000   12.000    0.000  106.576360  0.883700
3   11.000    1.000  12.000    0.000   13.000    0.000   99.474079  1.211704
3   11.000    1.000  13.000    0.000   14.000    0.000  100.937669  0.723327
3   11.000    1.000  14.000    0.000   15.000    0.000  104.491762  1.385843
3   11.000    1.000   4.000    2.000    4.000    3.000  161.212660  0.974001
3   11.000    1.000   4.000    3.000    4.000    4.000  159.484716  2.287130
3   11.000    1.000   4.000    4.000    4.000    5.000  134.567241  0.662053
3   11.000    1.000   4.000    5.000    4.000    6.000  112.638922  1.736624
3   11.000    1.000   4.000    6.000    4.000    7.000   92.729658  0.727786
3   11.000    1.000   4.000    7.000    4.000    8.000   86.754529  1.430768
3   11.000    1.000   4.000    8.000    4.000    9.000   83.032338  0.558192
3   11.000    1.000   4.000    9.000    4.000   10.000   86.202829  1.513994
3   11.000    1.000   4.000   10.000    4.000   11.000   86.159398  0.482532
3   11.000    2.000  11.000    3.000   11.000    4.000  104.576862  1.948581
3   11.000    2.000  11.000    4.000   11.000    5.000  105.617483  0.473123
3   11.000    2.000  11.000    5.000   11.000    6.000  111.247853  2.259477
3   11.000    2.000  11.000    6.000   11.000    7.000  117.492440  0.543816
3   11.000    2.000  11.000    7.000   11.000    8.000  112.714706  2.159210
3   11.000    2.000  11.000    8.000   11.000    9.000  111.769392  0.639936
3   11.000    2.000  11.000    9.000   11.000   10.000  106.518160  1.917875
3   11.000    2.000  11.000   10.000   11.000   11.000  107.386567  0.732514
3   11.000    2.000   1.000    0.000    0.000    0.000  104.346109  1.759039
3   11.000    2.000   2.000    0.000    1.000    0.000  109.552523  0.867069
3   11.000    2.000   3.000    0.000    2.000    0.000  110.245372  1.732137
3   11.000    2.000   4.000    0.000    3.000    0.000  116.330877  0.588690
3   11.000    2.000   5.000    0.000    4.000    0.000  117.252863  1.708304
3   11.000    2.000   6.000    0.000    5.000    0.000  120.432760  0.741591
3   11.000    2.000   7.000    0.000    6.000    0.000  114.343231  1.535454
3   11.000    2.000   8.000    0.000    7.000    0.000  109.771953  0.795993
3   11.000    2.000   9.000    0.000    8.000    0.000  101.475212  1.247139
3   11.000    2.000  10.000    0.000    9.000    0.000  100.584337  0.839251
3   11.000    2.000  11.000    0.000   10.000    0.000   94.999346  1.059766
3   11.000    2.000  11.000    0.000   12.000    0.000  110.445196  1.041914
3   11.000    2.000  12.000    0.000   13.000    0.000  102.354103  1.025817
3   11.000    2.000  13.000    0.000   14.000    0.000  104.334465  1.097618
3   11.000    2.000  14.000    0.000   15.000    0.000  103.165190  0.917421
3   11.000    2.000   4.000    3.000    4.000    4.000  165.845931  1.924712
3   11.000    2.000   4.000    4.000    4.000    5.000  133.592583  1.037283
3   11.000    2.000   4.000    5.000    4.000    6.000  107.522079  1.364143
3   11.000    2.000   4.000    6.000    4.000    7.000   87.466982  0.580679
3   11.000    2.000   4.000    7.000    4.000    8.000   82.220440  1.131977
3   11.000    2.000   4.000    8.000    4.000    9.000   80.248828  0.442724
3   11.000    2.000   4.000    9.000    4.000   10.000   84.014002  1.247248
3   11.000    2.000   4.000   10.000    4.000   11.000   84.970196  0.373547
3   11.000    3.000  11.000    4.000   11.000    5.000  105.576586  1.680812
3   11.000    3.000  11.000    5.000   11.000    6.000  108.442663  0.793856
3   11.000    3.000  11.000    6.000   11.000    7.000  116.823447  1.985267
3   11.000    3.000  11.000    7.000   11.000    8.000  114.287035  0.708242
3   11.000    3.000  11.000    8.000   11.000    9.000  114.703860  2.071970
3   11.000    3.000  11.000    9.000   11.000   10.000  109.554357  0.555972
3   11.000    3.000  11.000   10.000   11.000   11.000  110.707860  2.118108
3   11.000    3.000  11.000    2.000   11.000    1.000  104.156182  0.421082
3   11.000    3.000   1.000    0.000    0.000    0.000  100.455480  1.985926
3   11.000    3.000   2.000    0.000    1.000    0.000  105.538857  0.542710
3   11.000    3.000   3.000    0.000    2.000    0.000  106.556659  1.983853
3   11.000    3.000   4.000    0.000    3.000    0.000  113.785961  0.709949
3   11.000    3.000   5.000    0.000    4.000    0.000  115.885949  2.024269
3   11.000    3.000   6.000    0.000    5.000    0.000  122.019773  0.894744
3   11.000    3.000   7.000    0.000    6.000    0.000  118.354761  1.931586
3   11.000    3.000   8.000    0.000    7.000    0.000  115.737670  0.518096
3   11.000    3.000   9.000    0.000    8.000    0.000  106.918988  1.622676
3   11.000    3.000  10.000    0.000    9.000    0.000  103.080285  0.574548
3   11.000    3.000  11.000    0.000   10.000    0.000   90.631990  1.271964
3   11.000    3.000  11.000    0.000   12.000    0.000  118.577252  0.790898
3   11.000    3.000  12.000    0.000   13.000    0.000  106.639422  1.375211
3   11.000    3.000  13.000    0.000   14.000    0.000  107.139603  0.831788
3   11.000    3.000  14.000    0.000   15.000    0.000  104.859116  1.233009
3   11.000    3.000   4.000    4.000    4.000    5.000  132.595497  1.173958
3   11.000    3.000   4.000    5.000    4.000    6.000   95.204315  1.011459
3   11.000    3.000   4.000    6.000    4.000    7.000   78.884573  0.784316
3   11.000    3.000   4.000    7.000    4.000    8.000   73.349180  0.696322
3   11.000    3.000   4.000    8.000    4.000    9.000   77.196437  0.851405
3   11.000    3.000   4.000    9.000    4.000   10.000   79.535253  0.665208
3   11.000    3.000   4.000   10.000    4.000   11.000   84.843953  1.027631
3   11.000    4.000  11.000    5.000   11.000    6.000  104.401677  0.755649
3   11.000    4.000  11.000    6.000   11.000    7.000  111.229459  1.467534
3   11.000    4.000  11.000    7.000   11.000    8.000  111.871537  0.683913
3   11.000    4.000  11.000    8.000   11.000    9.000  113.848496  1.624840
3   11.000    4.000  11.000    9.000   11.000   10.000  110.453765  0.551316
3   11.000    4.000  11.000   10.000   11.000   11.000  111.607462  1.713061
3   11.000    4.000  11.000    3.000   11.000    2.000  103.753360  0.821767
3   11.000    4.000  11.000    2.000   11.000    1.000  108.513636  1.782191
3   11.000    4.000   1.000    0.000    0.000    0.000   96.919453  0.658505
3   11.000    4.000   2.000    0.000    1.000    0.000  101.552808  1.776647
3   11.000    4.000   3.000    0.000    2.000    0.000  102.610003  0.581883
3   11.000    4.000   4.000    0.000    3.000    0.000  110.174527  2.045369
3   11.000    4.000   5.000    0.000    4.000    0.000  113.873330  0.518241
3   11.000    4.000   6.000    0.000    5.000    0.000  118.112093  2.407598
3   11.000    4.000   7.000    0.000    6.000    0.000  124.629018  0.568105
3   11.000    4.000   8.000    0.000    7.000    0.000  121.236003  2.331364
3   11.000    4.000   9.000    0.000    8.000    0.000  120.201690  0.679802
3   11.000    4.000  10.000    0.000    9.000    0.000  110.869153  2.004351
3   11.000    4.000  11.000    0.000   10.000    0.000  100.596560  0.679171
3   11.000    4.000  11.000    0.000   12.000    0.000  120.261451  2.036141
3   11.000    4.000  12.000    0.000   13.000    0.000  112.806970  0.884965
3   11.000    4.000  13.000    0.000   14.000    0.000  107.579388  1.698108
3   11.000    4.000  14.000    0.000   15.000    0.000  108.815523  0.543031
3   11.000    4.000   4.000    6.000    4.000    7.000   62.725958  0.918451
3   11.000    4.000   4.000    7.000    4.000    8.000   65.902603  0.401200
3   11.000    4.000   4.000    8.000    4.000    9.000   71.245890  0.961904
3   11.000    4.000   4.000    9.000    4.000   10.000   79.109157  0.568126
3   11.000    4.000   4.000   10.000    4.000   11.000   82.357680  1.018159
3   11.000    5.000  11.000    6.000   11.000    7.000  105.911457  0.876324
3   11.000    5.000  11.000    7.000   11.000    8.000  106.160178  1.191957
3   11.000    5.000  11.000    8.000   11.000    9.000  110.113578  1.031135
3   11.000    5.000  11.000    9.000   11.000   10.000  108.360557  1.093843
3   11.000    5.000  11.000   10.000   11.000   11.000  110.732613  1.157251
3   11.000    5.000  11.000    4.000   11.000    3.000  103.456110  0.927336
3   11.000    5.000  11.000    3.000   11.000    2.000  110.149821  1.270716
3   11.000    5.000  11.000    2.000   11.000    1.000  112.336585  0.880319
3   11.000    5.000   1.000    0.000    0.000    0.000   94.517263  1.192625
3   11.000    5.000   2.000    0.000    1.000    0.000   94.234491  0.632369
3   11.000    5.000   3.000    0.000    2.000    0.000   99.068103  1.357105
3   11.000    5.000   4.000    0.000    3.000    0.000  101.868910  0.569292
3   11.000    5.000   5.000    0.000    4.000    0.000  111.028082  1.640661
3   11.000    5.000   6.000    0.000    5.000    0.000  117.331229  0.524194
3   11.000    5.000   7.000    0.000    6.000    0.000  127.717786  2.024548
3   11.000    5.000   8.000    0.000    7.000    0.000  130.016062  0.961126
3   11.000    5.000   9.000    0.000    8.000    0.000  134.858822  2.282528
3   11.000    5.000  10.000    0.000    9.000    0.000  129.308252  0.810599
3   11.000    5.000  12.000    0.000   13.000    0.000  114.170668  2.054678
3   11.000    5.000  13.000    0.000   14.000    0.000  109.755052  0.564841
3   11.000    5.000  14.000    0.000   15.000    0.000  111.418913  2.124122
3   11.000    5.000   4.000    7.000    4.000    8.000   56.984021  0.229518
3   11.000    5.000   4.000    8.000    4.000    9.000   69.017901  1.369512
3   11.000    5.000   4.000    9.000    4.000   10.000   79.927541  0.405408
3   11.000    5.000   4.000   10.000    4.000   11.000   83.737586  1.565164
3   11.000    6.000  11.000    7.000   11.000    8.000  104.533790  0.644912
3   11.000    6.000  11.000    8.000   11.000    9.000  102.929507  1.805494
3   11.000    6.000  11.000    9.000   11.000   10.000  107.056398  0.777551
3   11.000    6.000  11.000   10.000   11.000   11.000  105.748136  1.733576
3   11.000    6.000  11.000    5.000   11.000    4.000  103.366703  0.455464
3   11.000    6.000  11.000    4.000   11.000    3.000  105.859382  1.614320
3   11.000    6.000  11.000    3.000   11.000    2.000  115.328683  0.634881
3   11.000    6.000  11.000    2.000   11.000    1.000  116.336819  1.641186
3   11.000    6.000   1.000    0.000    0.000    0.000   91.329462  0.602777
3   11.000    6.000   2.000    0.000    1.000    0.000   90.258435  1.170521
3   11.000    6.000   3.000    0.000    2.000    0.000   94.064633  0.723722
3   11.000    6.000   4.000    0.000    3.000    0.000   96.096258  1.136934
3   11.000    6.000   5.000    0.000    4.000    0.000  104.827248  0.920815
3   11.000    6.000   6.000    0.000    5.000    0.000  112.254329  1.200718
3   11.000    6.000   7.000    0.000    6.000    0.000  125.718057  1.241235
3   11.000    6.000   8.000    0.000    7.000    0.000  133.619685  1.278127
3   11.000    6.000   9.000    0.000    8.000    0.000  144.357076  1.582128
3   11.000    6.000  10.000    0.000    9.000    0.000  146.664048  1.237212
3   11.000    6.000  12.000    0.000   13.000    0.000  108.425076  1.305753
3   11.000    6.000  13.000    0.000   14.000    0.000  107.585337  0.786420
3   11.000    6.000  14.000    0.000   15.000    0.000  109.367247  1.435424
3   11.000    6.000   4.000    9.000    4.000   10.000   82.726787  0.511670
3   11.000    6.000   4.000   10.000    4.000   11.000   90.597407  1.286769
3   11.000    7.000  11.000    8.000   11.000    9.000  102.510200  0.518998
3   11.000    7.000  11.000    9.000   11.000   10.000  104.831017  1.601852
3   11.000    7.000  11.000   10.000   11.000   11.000  104.190848  0.832727
3   11.000    7.000  11.000    6.000   11.000    5.000  103.370752  1.690645
3   11.000    7.000  11.000    5.000   11.000    4.000  102.996207  0.707185
3   11.000    7.000  11.000    4.000   11.000    3.000  113.401301  1.976183
3   11.000    7.000  11.000    3.000   11.000    2.000  117.373513  0.674010
3   11.000    7.000  11.000    2.000   11.000    1.000  122.196181  2.260215
3   11.000    7.000   1.000    0.000    0.000    0.000   89.448138  0.413473
3   11.000    7.000   2.000    0.000    1.000    0.000   91.554953  1.791113
3   11.000    7.000   3.000    0.000    2.000    0.000   91.069520  0.408739
3   11.000    7.000   4.000    0.000    3.000    0.000   91.642102  1.769016
3   11.000    7.000   5.000    0.000    4.000    0.000   99.696563  0.556855
3   11.000    7.000   6.000    0.000    5.000    0.000  106.706018  1.936919
3   11.000    7.000   7.000    0.000    6.000    0.000  122.185157  0.816390
3   11.000    7.000   8.000    0.000    7.000    0.000  133.288801  2.266467
3   11.000    7.000   9.000    0.000    8.000    0.000  150.199823  1.167841
3   11.000    7.000  13.000    0.000   14.000    0.000  102.854260  1.631038
3   11.000    7.000  14.000    0.000   15.000    0.000  105.888149  0.520999
3   11.000    8.000  11.000    9.000   11.000   10.000  101.193593  1.488955
3   11.000    8.000  11.000   10.000   11.000   11.000  103.702923  0.624066
3   11.000    8.000  11.000    7.000   11.000    6.000   99.968783  1.356968
3   11.000    8.000  11.000    6.000   11.000    5.000  101.565886  0.722312
3   11.000    8.000  11.000    5.000   11.000    4.000  104.653838  1.301393
3   11.000    8.000  11.000    4.000   11.000    3.000  114.918532  0.942846
3   11.000    8.000  11.000    3.000   11.000    2.000  118.331925  1.337188
3   11.000    8.000  11.000    2.000   11.000    1.000  121.147965  1.126046
3   11.000    8.000   3.000    0.000    2.000    0.000   88.628858  0.901064
3   11.000    8.000   4.000    0.000    3.000    0.000   92.176831  0.956936
3   11.000    8.000   5.000    0.000    4.000    0.000   94.997599  0.858365
3   11.000    8.000   6.000    0.000    5.000    0.000  105.992808  1.215427
3   11.000    8.000   7.000    0.000    6.000    0.000  117.292743  0.927593
3   11.000    8.000   8.000    0.000    7.000    0.000  136.594078  1.714287
3   11.000    8.000  14.000    0.000   15.000    0.000  101.973473  0.691619
3   11.000    9.000  11.000    8.000   11.000    7.000  102.750283  1.400469
3   11.000    9.000  11.000    7.000   11.000    6.000   99.076495  0.560781
3   11.000    9.000  11.000    6.000   11.000    5.000  103.185201  1.517675
3   11.000    9.000  11.000    5.000   11.000    4.000  107.172380  0.486464
3   11.000    9.000  11.000    4.000   11.000    3.000  117.458596  1.853867
3   11.000    9.000  11.000    3.000   11.000    2.000  119.206113  0.889781
3   11.000   10.000  11.000    9.000   11.000    8.000  102.970875  1.735768
3   11.000   10.000  11.000    8.000   11.000    7.000   98.579159  0.625035
3   11.000   10.000  11.000    7.000   11.000    6.000  101.063573  1.811895
3   11.000   10.000  11.000    6.000   11.000    5.000  101.637556  0.530336
3   11.000   10.000  11.000    5.000   11.000    4.000  110.870953  2.106122
3   11.000   10.000  11.000    4.000   11.000    3.000  115.815613  0.474601
3   11.000   10.000  11.000    3.000   11.000    2.000  118.197615  2.354082
3   11.000   11.000  11.000   10.000   11.000    9.000  100.214893  0.501286
3   11.000   11.000  11.000    9.000   11.000    8.000   95.876580  1.799102
3   11.000   11.000  11.000    8.000   11.000    7.000   97.896809  0.597119
3   11.000   11.000  11.000    7.000   11.000    6.000   96.312052  1.696478
3   11.000   11.000  11.000    6.000   11.000    5.000  102.655216  0.738422
3   11.000   11.000  11.000    5.000   11.000    4.000  107.096929  1.763521
3   11.000   11.000  11.000    4.000   11.000    3.000  117.020536  0.507414
3    5.000    1.000   5.000    2.000    5.000    3.000   99.816457  1.529452
3    5.000    1.000   5.000    3.000    5.000    4.000  107.936007  0.586626
3    5.000    1.000   5.000    4.000    5.000    5.000  118.932125  1.686459
3    5.000    1.000   5.000    5.000    5.000    6.000  131.887413  0.861245
3    5.000    1.000   5.000    6.000    5.000    7.000  122.425653  1.596578
3    5.000    1.000   5.000    7.000    5.000    8.000  111.100196  0.847045
3    5.000    1.000   5.000    8.000    5.000    9.000  102.336452  1.218182
