Pole-dipole 4 boreholes test
1.0
12
1160
2
0
Surface Electrodes
16
0.0,  0.0
1.0,  0.0
2.0,  0.0
3.0,  0.0
4.0,  0.0
5.0,  0.0
6.0,  0.0
7.0,  0.0
8.0,  0.0
9.0,  0.0
10.0, 0.0
11.0, 0.0
12.0, 0.0
13.0, 0.0
14.0, 0.0
15.0, 0.0
Number of boreholes
4
Borehole 1 Electrodes
11
  4.0 1.0
  4.0 2.0
  4.0 3.0
  4.0 4.0
  4.0 5.0
  4.0 6.0
  4.0 7.0
  4.0 8.0
  4.0 9.0
  4.0 10.0
  4.0 11.0
Borehole 2 Electrodes
11
  5.0 1.0
  5.0 2.0
  5.0 3.0
  5.0 4.0
  5.0 5.0
  5.0 6.0
  5.0 7.0
  5.0 8.0
  5.0 9.0
  5.0 10.0
  5.0 11.0
Borehole 3 Electrodes
11
 10.0 1.0
 10.0 2.0
 10.0 3.0
 10.0 4.0
 10.0 5.0
 10.0 6.0
 10.0 7.0
 10.0 8.0
 10.0 9.0
 10.0 10.0
 10.0 11.0
Borehole 4 Electrodes
11
11.0 1.0
11.0 2.0
11.0 3.0
11.0 4.0
11.0 5.0
11.0 6.0
11.0 7.0
11.0 8.0
11.0 9.0
11.0 10.0
11.0 11.0
Error estimate for data present
Type of error estimate (0=same unit as data)
0
Measured Data
3    4.000    0.000  14.000    0.000   15.000    0.000  107.522861  0.788494
3    5.000    0.000   6.000    0.000    7.000    0.000  103.072763  1.350359
3    5.000    0.000   7.000    0.000    8.000    0.000  102.175746  0.634489
3    5.000    0.000   8.000    0.000    9.000    0.000  110.162800  1.562176
3    5.000    0.000   9.000    0.000   10.000    0.000  113.864153  0.579290
3    5.000    0.000  10.000    0.000   11.000    0.000  118.938713  1.814607
3    5.000    0.000  11.000    0.000   12.000    0.000  115.700752  0.927445
3    5.000    0.000  12.000    0.000   13.000    0.000  116.627383  1.904704
3    5.000    0.000  13.000    0.000   14.000    0.000  111.663047  0.769456
3    5.000    0.000  14.000    0.000   15.000    0.000  112.238851  1.953412
3    6.000    0.000   7.000    0.000    8.000    0.000  101.851413  0.587390
3    6.000    0.000   8.000    0.000    9.000    0.000  106.936095  1.975440
3    6.000    0.000   9.000    0.000   10.000    0.000  110.157001  0.511913
3    6.000    0.000  10.000    0.000   11.000    0.000  116.836129  2.283090
3    6.000    0.000  11.000    0.000   12.000    0.000  116.178013  0.518619
3    6.000    0.000  12.000    0.000   13.000    0.000  112.702693  2.178418
3    6.000    0.000  13.000    0.000   14.000    0.000  114.114966  0.634772
3    6.000    0.000  14.000    0.000   15.000    0.000  109.879301  1.997301
3    7.000    0.000   8.000    0.000    9.000    0.000  103.926778  0.691891
3    7.000    0.000   9.000    0.000   10.000    0.000  104.219249  1.774663
3    7.000    0.000  10.000    0.000   11.000    0.000  111.149899  0.861546
3    7.000    0.000  11.000    0.000   12.000    0.000  110.920738  1.761749
3    7.000    0.000  12.000    0.000   13.000    0.000  113.907450  0.557840
3    7.000    0.000  13.000    0.000   14.000    0.000  111.261966  1.639897
3    7.000    0.000  14.000    0.000   15.000    0.000  112.840210  0.676331
3    8.000    0.000   9.000    0.000   10.000    0.000  102.111183  1.388610
3    8.000    0.000  10.000    0.000   11.000    0.000  106.137882  0.752400
3    8.000    0.000  11.000    0.000   12.000    0.000  106.955931  1.332697
3    8.000    0.000  12.000    0.000   13.000    0.000  110.863380  0.906913
3    8.000    0.000  13.000    0.000   14.000    0.000  109.408643  1.238948
3    8.000    0.000  14.000    0.000   15.000    0.000  111.638035  1.034978
3    9.000    0.000  10.000    0.000   11.000    0.000  102.155169  1.041128
3    9.000    0.000  11.000    0.000   12.000    0.000  105.143629  1.089163
3    9.000    0.000  12.000    0.000   13.000    0.000  105.079232  0.952072
3    9.000    0.000  13.000    0.000   14.000    0.000  108.548748  1.242146
3    9.000    0.000  14.000    0.000   15.000    0.000  107.183971  0.850308
3   10.000    0.000  11.000    0.000   12.000    0.000  104.064249  1.303553
3   10.000    0.000  12.000    0.000   13.000    0.000  102.178849  0.695541
3   10.000    0.000  13.000    0.000   14.000    0.000  105.683946  1.437944
3   10.000    0.000  14.000    0.000   15.000    0.000  104.622196  0.594624
3   11.000    0.000  12.000    0.000   13.000    0.000  103.955836  1.526546
3   11.000    0.000  13.000    0.000   14.000    0.000  101.605043  0.463697
3   11.000    0.000  14.000    0.000   15.000    0.000  104.690467  1.649994
3   12.000    0.000  13.000    0.000   14.000    0.000  101.456789  0.759810
3   12.000    0.000  14.000    0.000   15.000    0.000  103.311986  1.739080
3   13.000    0.000  14.000    0.000   15.000    0.000  101.450863  0.645625
3   15.000    0.000  14.000    0.000   13.000    0.000  103.436482  1.852002
3   15.000    0.000  13.000    0.000   12.000    0.000   99.440110  0.521324
3   15.000    0.000  12.000    0.000   11.000    0.000  101.519385  1.926092
3   15.000    0.000  11.000    0.000   10.000    0.000   99.210829  0.408999
3   15.000    0.000  10.000    0.000    9.000    0.000   99.450717  1.983235
3   15.000    0.000   9.000    0.000    8.000    0.000  106.652315  0.530908
3   15.000    0.000   8.000    0.000    7.000    0.000  111.138925  2.088172
3   15.000    0.000   7.000    0.000    6.000    0.000  119.886127  0.728351
3   15.000    0.000   6.000    0.000    5.000    0.000  118.607607  2.092199
3   15.000    0.000   5.000    0.000    4.000    0.000  118.735232  0.851374
3   15.000    0.000   4.000    0.000    3.000    0.000  111.524925  1.839249
3   15.000    0.000   3.000    0.000    2.000    0.000  109.646629  0.472786
3   15.000    0.000   2.000    0.000    1.000    0.000  104.373423  1.601772
3   15.000    0.000   1.000    0.000    0.000    0.000  104.299043  0.564341
3   14.000    0.000  13.000    0.000   12.000    0.000  100.136877  1.422457
3   14.000    0.000  12.000    0.000   11.000    0.000  100.503191  0.653879
3   14.000    0.000  11.000    0.000   10.000    0.000   98.396728  1.285554
3   14.000    0.000  10.000    0.000    9.000    0.000  101.588690  0.772085
3   14.000    0.000   9.000    0.000    8.000    0.000  103.597318  1.235781
3   14.000    0.000   8.000    0.000    7.000    0.000  112.377223  0.976756
3   14.000    0.000   7.000    0.000    6.000    0.000  116.568812  1.258207
3   14.000    0.000   6.000    0.000    5.000    0.000  121.395315  1.187223
3   14.000    0.000   5.000    0.000    4.000    0.000  116.987238  1.130239
3   14.000    0.000   4.000    0.000    3.000    0.000  115.248492  1.252367
3   14.000    0.000   3.000    0.000    2.000    0.000  109.001158  0.930056
3   14.000    0.000   2.000    0.000    1.000    0.000  107.992709  1.290637
3   14.000    0.000   1.000    0.000    0.000    0.000  103.592951  0.767118
3   13.000    0.000  12.000    0.000   11.000    0.000  102.816697  1.339913
3   13.000    0.000  11.000    0.000   10.000    0.000   99.163985  0.622895
3   13.000    0.000  10.000    0.000    9.000    0.000  101.788423  1.436418
3   13.000    0.000   9.000    0.000    8.000    0.000  102.899408  0.530867
3   13.000    0.000   8.000    0.000    7.000    0.000  111.265058  1.689893
3   13.000    0.000   7.000    0.000    6.000    0.000  115.694666  0.467314
3   13.000    0.000   6.000    0.000    5.000    0.000  121.503898  1.976020
3   13.000    0.000   5.000    0.000    4.000    0.000  117.535385  0.818359
3   13.000    0.000   4.000    0.000    3.000    0.000  116.813007  2.025035
3   13.000    0.000   3.000    0.000    2.000    0.000  110.305158  0.644045
3   13.000    0.000   2.000    0.000    1.000    0.000  109.761798  2.020152
3   13.000    0.000   1.000    0.000    0.000    0.000  104.825045  0.494627
3   12.000    0.000  11.000    0.000   10.000    0.000  103.413891  2.013767
3   12.000    0.000  10.000    0.000    9.000    0.000  100.476212  0.441475
3   12.000    0.000   9.000    0.000    8.000    0.000  100.172009  1.943584
3   12.000    0.000   8.000    0.000    7.000    0.000  108.033541  0.593378
3   12.000    0.000   7.000    0.000    6.000    0.000  112.216496  2.048023
3   12.000    0.000   6.000    0.000    5.000    0.000  119.270719  0.785710
3   12.000    0.000   5.000    0.000    4.000    0.000  116.469016  1.991784
3   12.000    0.000   4.000    0.000    3.000    0.000  116.569278  0.895427
3   12.000    0.000   3.000    0.000    2.000    0.000  110.454090  1.762409
3   12.000    0.000   2.000    0.000    1.000    0.000  109.654545  0.529324
3   12.000    0.000   1.000    0.000    0.000    0.000  105.115983  1.556975
3   11.000    0.000  10.000    0.000    9.000    0.000  102.025155  0.604371
3   11.000    0.000   9.000    0.000    8.000    0.000   99.606159  1.361790
3   11.000    0.000   8.000    0.000    7.000    0.000  105.886460  0.743226
3   11.000    0.000   7.000    0.000    6.000    0.000  110.369332  1.383240
