BLOCKS POLE-DIPOLE
1.0
6
375
0
0
1.0 ,1,1,10.07
2.0 ,1,1,10.08
3.0 ,1,1,10.04
4.0 ,1,1,9.83
5.0 ,1,1,9.85
6.0 ,1,1,13.02
7.0 ,1,1,18.54
8.0 ,1,1,13.70
9.0 ,1,1,10.78
10.0,1,1,10.26
11.0,1,1,10.17
12.0,1,1,10.14
13.0,1,1,10.14
14.0,1,1,10.13
15.0,1,1,10.14
16.0,1,1,10.14
17.0,1,1,10.15
18.0,1,1,10.17
19.0,1,1,10.21
20.0,1,1,10.29
21.0,1,1,10.43
22.0,1,1,10.13
23.0,1,1,9.01
24.0,1,1,8.59
25.0,1,1,8.70
26.0,1,1,9.25
27.0,1,1,9.76
28.0,1,1,9.97
29.0,1,1,10.05
30.0,1,1,10.08
31.0,1,1,10.10
32.0,1,1,10.11
33.0,1,1,10.11
34.0,1,1,10.12
35.0,1,1,10.12
36.0,1,1,10.12
37.0,1,1,10.12
38.0,1,1,10.12
39.0,1,1,10.12
40.0,1,1,10.12
41.0,1,1,10.13
42.0,1,1,10.13
1.0 ,1,2,9.95
2.0 ,1,2,9.89
3.0 ,1,2,9.58
4.0 ,1,2,9.92
5.0 ,1,2,13.03
6.0 ,1,2,16.32
7.0 ,1,2,15.08
8.0 ,1,2,12.72
9.0 ,1,2,10.88
10.0,1,2,10.29
11.0,1,2,10.16
12.0,1,2,10.12
13.0,1,2,10.11
14.0,1,2,10.11
15.0,1,2,10.12
16.0,1,2,10.14
17.0,1,2,10.18
18.0,1,2,10.26
19.0,1,2,10.43
20.0,1,2,10.63
21.0,1,2,9.96
22.0,1,2,7.85
23.0,1,2,6.82
24.0,1,2,7.09
25.0,1,2,7.60
26.0,1,2,8.59
27.0,1,2,9.41
28.0,1,2,9.77
29.0,1,2,9.92
30.0,1,2,9.99
31.0,1,2,10.02
32.0,1,2,10.04
33.0,1,2,10.05
34.0,1,2,10.06
35.0,1,2,10.06
36.0,1,2,10.07
37.0,1,2,10.07
38.0,1,2,10.07
39.0,1,2,10.08
40.0,1,2,10.08
41.0,1,2,10.09
1.0 ,1,3,9.75
2.0 ,1,3,9.42
3.0 ,1,3,10.04
4.0 ,1,3,12.94
5.0 ,1,3,14.24
6.0 ,1,3,11.75
7.0 ,1,3,12.33
8.0 ,1,3,11.96
9.0 ,1,3,10.85
10.0,1,3,10.31
11.0,1,3,10.16
