Southern Shan State
 20.0
 3
 76
1
1
Percent Frequency Effect
0.01 FE
0.31,5.0
70,     20,     1,      97,     4.5
110,    20,     1,      1700,   6.5
130,    20,     1,      100,   	5.5
150,    20,     1,      225,   	3.3
170,    20,     1,      103,   	1.5
190,    20,     1,      860,   	1.0
210,    20,     1,      44,   	2.0
80,    	20,     2,      113,   	6.0
100,   	20,     2,      1140,  	8.8
120,   	20,     2,      265,   	6.2
140,   	20,     2,      120,   	5.0
160,   	20,     2,      45,   	4.0
180,   	20,     2,      880,   	1.8
200,   	20,     2,      164,   	2.0
220,   	20,     2,      39,   	2.7
70,   	20,     3,      42,   	4.8
90,   	20,     3,      345,   	7.0
110,   	20,     3,      302,   	7.0
130,   	20,     3,      345,   	5.3
150,   	20,     3,      64,   	5.5
170,   	20,     3,      2660,  	7.7
190,   	20,     3,      370,   	3.0
210,   	20,     3,      34,   	3.8
80,   	20,     4,      65,   	6.5
100,   	20,     4,      101,   	2.3
120,   	20,     4,      275,   	6.5
140,   	20,     4,      195,   	5.0
160,   	20,     4,      980,   	8.5
180,   	20,     4,      370,   	6.8
200,   	20,     4,      295,   	1.5
90,   	20,     5,      60,   	1.5
110,   	20,     5,      121,   	1.8
130,   	20,     5,      40,   	6.5
150,   	20,     5,      2390,  	6.8
170,   	20,     5,      735,   	6.8
190,   	20,     5,      1270,  	4.5
100,   	20,     6,      68,   	1.5
120,   	20,     6,      52,   	1.5
160,   	20,     6,      1580,  	4.5
180,   	20,     6,      610,   	2.3
0,   	40,     1,      122,   	1.5
40,   	40,     1,      232,    3.3
80,   	40,     1,      182,    5.8
120,   	40,     1,      292,    5.8
160,   	40,     1,      735,    6.8
200,   	40,     1,      213,    2.5
240,   	40,     1,      655,    3.8
20,   	40,     2,      361,    4.5
60,   	40,     2,      345,    5.8
100,   	40,     2,      107,    2.3
140,   	40,     2,      1070,   6.2
180,   	40,     2,      1100,   5.8
220,   	40,     2,      272,    5.5
0,   	40,     3,      755,    5.8
40,   	40,     3,      330,    6.8
80,   	40,     3,      170,    2.0
120,   	40,     3,      340,    1.9
160,   	40,     3,      1460,   3.8
200,   	40,     3,      1300,   5.5
240,   	40,     3,      770,    1.8
20,   	40,     4,      1180,   6.5
60,   	40,     4,      230,    1.5
100,   	40,     4,      620,   	3.5
140,   	40,     4,      390,   	0.5
180,   	40,     4,      1490,   4.5
220,   	40,     4,      3320,  	4.8
40,   	40,     5,      470,   	2.3
80,   	40,     5,      835,   	3.5
120,   	40,     5,      625,   	0.8
160,   	40,     5,      375,   	1.3
200,   	40,     5,      3900,   3.3
240,   	40,     5,      4690,   4.3
60,   	40,     6,      1560,   3.8
100,   	40,     6,      765,   	0.5
180,   	40,     6,      970,    0.8
220,   	40,     6,     5100,    2.8
0
0
0
0
0
