Mixed array
 1.0
 11
0
Type of measurement (0=app. resistivity,1=resistance)
 0
407
1
0
4      20.00 0.00      27.00 0.00      23.00 0.00      24.00 0.00      6.620
4      21.00 0.00      28.00 0.00      24.00 0.00      25.00 0.00      6.610
4      22.00 0.00      29.00 0.00      25.00 0.00      26.00 0.00      5.233
4      23.00 0.00      30.00 0.00      26.00 0.00      27.00 0.00      5.542
4      24.00 0.00      31.00 0.00      27.00 0.00      28.00 0.00      8.194
4      25.00 0.00      32.00 0.00      28.00 0.00      29.00 0.00      8.434
4      26.00 0.00      33.00 0.00      29.00 0.00      30.00 0.00      8.175
4      27.00 0.00      34.00 0.00      30.00 0.00      31.00 0.00      8.592
4       0.00 0.00       9.00 0.00       4.00 0.00       5.00 0.00     12.053
4       1.00 0.00      10.00 0.00       5.00 0.00       6.00 0.00     13.082
4       2.00 0.00      11.00 0.00       6.00 0.00       7.00 0.00     14.797
4       3.00 0.00      12.00 0.00       7.00 0.00       8.00 0.00     17.959
4       4.00 0.00      13.00 0.00       8.00 0.00       9.00 0.00     20.518
4       5.00 0.00      14.00 0.00       9.00 0.00      10.00 0.00     19.389
4       6.00 0.00      15.00 0.00      10.00 0.00      11.00 0.00     17.468
4       7.00 0.00      16.00 0.00      11.00 0.00      12.00 0.00     16.529
4       8.00 0.00      17.00 0.00      12.00 0.00      13.00 0.00     17.210
4       9.00 0.00      18.00 0.00      13.00 0.00      14.00 0.00     18.709
4      10.00 0.00      19.00 0.00      14.00 0.00      15.00 0.00     19.135
4      11.00 0.00      20.00 0.00      15.00 0.00      16.00 0.00     16.620
4      12.00 0.00      21.00 0.00      16.00 0.00      17.00 0.00     13.884
4      13.00 0.00      22.00 0.00      17.00 0.00      18.00 0.00     12.483
4      14.00 0.00      23.00 0.00      18.00 0.00      19.00 0.00     11.045
4      15.00 0.00      24.00 0.00      19.00 0.00      20.00 0.00      5.680
4      16.00 0.00      25.00 0.00      20.00 0.00      21.00 0.00      4.516
4      17.00 0.00      26.00 0.00      21.00 0.00      22.00 0.00      7.338
4      18.00 0.00      27.00 0.00      22.00 0.00      23.00 0.00      8.134
4      19.00 0.00      28.00 0.00      23.00 0.00      24.00 0.00      8.061
4      20.00 0.00      29.00 0.00      24.00 0.00      25.00 0.00      6.907
4      21.00 0.00      30.00 0.00      25.00 0.00      26.00 0.00      4.428
4      22.00 0.00      31.00 0.00      26.00 0.00      27.00 0.00      5.170
4      23.00 0.00      32.00 0.00      27.00 0.00      28.00 0.00      8.412
4      24.00 0.00      33.00 0.00      28.00 0.00      29.00 0.00      8.968
4      25.00 0.00      34.00 0.00      29.00 0.00      30.00 0.00      8.724
4       0.00 0.00      11.00 0.00       5.00 0.00       6.00 0.00     13.599
4       1.00 0.00      12.00 0.00       6.00 0.00       7.00 0.00     15.255
4       2.00 0.00      13.00 0.00       7.00 0.00       8.00 0.00     18.305
4       3.00 0.00      14.00 0.00       8.00 0.00       9.00 0.00     20.324
4       4.00 0.00      15.00 0.00       9.00 0.00      10.00 0.00     18.172
4       5.00 0.00      16.00 0.00      10.00 0.00      11.00 0.00     16.208
4       6.00 0.00      17.00 0.00      11.00 0.00      12.00 0.00     15.468
4       7.00 0.00      18.00 0.00      12.00 0.00      13.00 0.00     15.597
4       8.00 0.00      19.00 0.00      13.00 0.00      14.00 0.00     16.762
4       9.00 0.00      20.00 0.00      14.00 0.00      15.00 0.00     19.092
4      10.00 0.00      21.00 0.00      15.00 0.00      16.00 0.00     17.610
4      11.00 0.00      22.00 0.00      16.00 0.00      17.00 0.00     14.743
4      12.00 0.00      23.00 0.00      17.00 0.00      18.00 0.00     13.223
4      13.00 0.00      24.00 0.00      18.00 0.00      19.00 0.00     11.631
4      14.00 0.00      25.00 0.00      19.00 0.00      20.00 0.00      5.702
4      15.00 0.00      26.00 0.00      20.00 0.00      21.00 0.00      4.600
4      16.00 0.00      27.00 0.00      21.00 0.00      22.00 0.00      8.497
4      17.00 0.00      28.00 0.00      22.00 0.00      23.00 0.00      9.254
4      18.00 0.00      29.00 0.00      23.00 0.00      24.00 0.00      9.124
4      19.00 0.00      30.00 0.00      24.00 0.00      25.00 0.00      7.998
4      20.00 0.00      31.00 0.00      25.00 0.00      26.00 0.00      4.378
4      21.00 0.00      32.00 0.00      26.00 0.00      27.00 0.00      4.785
4      22.00 0.00      33.00 0.00      27.00 0.00      28.00 0.00      8.456
4      23.00 0.00      34.00 0.00      28.00 0.00      29.00 0.00      9.273
4       0.00 0.00      13.00 0.00       6.00 0.00       7.00 0.00     15.057
4       1.00 0.00      14.00 0.00       7.00 0.00       8.00 0.00     17.455
4       2.00 0.00      15.00 0.00       8.00 0.00       9.00 0.00     18.477
4       3.00 0.00      16.00 0.00       9.00 0.00      10.00 0.00     16.613
4       4.00 0.00      17.00 0.00      10.00 0.00      11.00 0.00     15.264
4       5.00 0.00      18.00 0.00      11.00 0.00      12.00 0.00     14.503
4       6.00 0.00      19.00 0.00      12.00 0.00      13.00 0.00     14.149
4       7.00 0.00      20.00 0.00      13.00 0.00      14.00 0.00     15.551
4       8.00 0.00      21.00 0.00      14.00 0.00      15.00 0.00     17.983
4       9.00 0.00      22.00 0.00      15.00 0.00      16.00 0.00     17.085
4      10.00 0.00      23.00 0.00      16.00 0.00      17.00 0.00     14.667
4      11.00 0.00      24.00 0.00      17.00 0.00      18.00 0.00     13.288
4      12.00 0.00      25.00 0.00      18.00 0.00      19.00 0.00     11.711
4      13.00 0.00      26.00 0.00      19.00 0.00      20.00 0.00      5.875
4      14.00 0.00      27.00 0.00      20.00 0.00      21.00 0.00      5.081
4      15.00 0.00      28.00 0.00      21.00 0.00      22.00 0.00      9.520
4      16.00 0.00      29.00 0.00      22.00 0.00      23.00 0.00     10.174
4      17.00 0.00      30.00 0.00      23.00 0.00      24.00 0.00      9.931
4      18.00 0.00      31.00 0.00      24.00 0.00      25.00 0.00      8.752
4      19.00 0.00      32.00 0.00      25.00 0.00      26.00 0.00      4.782
4      20.00 0.00      33.00 0.00      26.00 0.00      27.00 0.00      4.787
4      21.00 0.00      34.00 0.00      27.00 0.00      28.00 0.00      8.351
4       0.00 0.00      15.00 0.00       7.00 0.00       8.00 0.00     15.489
4       1.00 0.00      16.00 0.00       8.00 0.00       9.00 0.00     16.565
4       2.00 0.00      17.00 0.00       9.00 0.00      10.00 0.00     15.523
4       3.00 0.00      18.00 0.00      10.00 0.00      11.00 0.00     14.376
4       4.00 0.00      19.00 0.00      11.00 0.00      12.00 0.00     13.498
4       5.00 0.00      20.00 0.00      12.00 0.00      13.00 0.00     14.045
4       6.00 0.00      21.00 0.00      13.00 0.00      14.00 0.00     15.450
4       7.00 0.00      22.00 0.00      14.00 0.00      15.00 0.00     16.471
4       8.00 0.00      23.00 0.00      15.00 0.00      16.00 0.00     15.218
4       9.00 0.00      24.00 0.00      16.00 0.00      17.00 0.00     13.645
4      10.00 0.00      25.00 0.00      17.00 0.00      18.00 0.00     12.733
4      11.00 0.00      26.00 0.00      18.00 0.00      19.00 0.00     11.830
4      12.00 0.00      27.00 0.00      19.00 0.00      20.00 0.00      6.112
4      13.00 0.00      28.00 0.00      20.00 0.00      21.00 0.00      5.371
4      14.00 0.00      29.00 0.00      21.00 0.00      22.00 0.00     10.157
4      15.00 0.00      30.00 0.00      22.00 0.00      23.00 0.00     10.990
4      16.00 0.00      31.00 0.00      23.00 0.00      24.00 0.00     10.694
4      17.00 0.00      32.00 0.00      24.00 0.00      25.00 0.00      9.337
4      18.00 0.00      33.00 0.00      25.00 0.00      26.00 0.00      5.033
4      19.00 0.00      34.00 0.00      26.00 0.00      27.00 0.00      5.003
4       0.00 0.00      17.00 0.00       8.00 0.00       9.00 0.00     15.290
4       1.00 0.00      18.00 0.00       9.00 0.00      10.00 0.00     14.561
4       2.00 0.00      19.00 0.00      10.00 0.00      11.00 0.00     13.458
4       3.00 0.00      20.00 0.00      11.00 0.00      12.00 0.00     13.683
4       4.00 0.00      21.00 0.00      12.00 0.00      13.00 0.00     14.562
4       5.00 0.00      22.00 0.00      13.00 0.00      14.00 0.00     15.234
4       6.00 0.00      23.00 0.00      14.00 0.00      15.00 0.00     15.462
4       7.00 0.00      24.00 0.00      15.00 0.00      16.00 0.00     13.410
4       8.00 0.00      25.00 0.00      16.00 0.00      17.00 0.00     11.866
4       9.00 0.00      26.00 0.00      17.00 0.00      18.00 0.00     12.058
4      10.00 0.00      27.00 0.00      18.00 0.00      19.00 0.00     11.815
4      11.00 0.00      28.00 0.00      19.00 0.00      20.00 0.00      6.130
4      12.00 0.00      29.00 0.00      20.00 0.00      21.00 0.00      5.476
4      13.00 0.00      30.00 0.00      21.00 0.00      22.00 0.00     10.527
4      14.00 0.00      31.00 0.00      22.00 0.00      23.00 0.00     11.546
4      15.00 0.00      32.00 0.00      23.00 0.00      24.00 0.00     11.405
4      16.00 0.00      33.00 0.00      24.00 0.00      25.00 0.00      9.921
4      17.00 0.00      34.00 0.00      25.00 0.00      26.00 0.00      5.227
4       0.00 0.00      19.00 0.00       9.00 0.00      10.00 0.00     13.631
4       1.00 0.00      20.00 0.00      10.00 0.00      11.00 0.00     13.738
4       2.00 0.00      21.00 0.00      11.00 0.00      12.00 0.00     14.361
4       3.00 0.00      22.00 0.00      12.00 0.00      13.00 0.00     14.664
4       4.00 0.00      23.00 0.00      13.00 0.00      14.00 0.00     14.938
4       5.00 0.00      24.00 0.00      14.00 0.00      15.00 0.00     14.715
4       6.00 0.00      25.00 0.00      15.00 0.00      16.00 0.00     12.266
4       7.00 0.00      26.00 0.00      16.00 0.00      17.00 0.00     10.776
4       8.00 0.00      27.00 0.00      17.00 0.00      18.00 0.00     11.167
4       9.00 0.00      28.00 0.00      18.00 0.00      19.00 0.00     11.220
4      10.00 0.00      29.00 0.00      19.00 0.00      20.00 0.00      5.940
4      11.00 0.00      30.00 0.00      20.00 0.00      21.00 0.00      5.466
4      12.00 0.00      31.00 0.00      21.00 0.00      22.00 0.00     10.714
4      13.00 0.00      32.00 0.00      22.00 0.00      23.00 0.00     11.875
4      14.00 0.00      33.00 0.00      23.00 0.00      24.00 0.00     11.875
4      15.00 0.00      34.00 0.00      24.00 0.00      25.00 0.00     10.475
4       0.00 0.00      21.00 0.00      10.00 0.00      11.00 0.00     14.469
4       1.00 0.00      22.00 0.00      11.00 0.00      12.00 0.00     14.547
4       2.00 0.00      23.00 0.00      12.00 0.00      13.00 0.00     14.559
4       3.00 0.00      24.00 0.00      13.00 0.00      14.00 0.00     14.589
4       4.00 0.00      25.00 0.00      14.00 0.00      15.00 0.00     14.148
4       5.00 0.00      26.00 0.00      15.00 0.00      16.00 0.00     11.924
4       6.00 0.00      27.00 0.00      16.00 0.00      17.00 0.00     10.465
4       7.00 0.00      28.00 0.00      17.00 0.00      18.00 0.00     10.372
4       8.00 0.00      29.00 0.00      18.00 0.00      19.00 0.00     10.187
4       9.00 0.00      30.00 0.00      19.00 0.00      20.00 0.00      5.567
4      10.00 0.00      31.00 0.00      20.00 0.00      21.00 0.00      5.358
4      11.00 0.00      32.00 0.00      21.00 0.00      22.00 0.00     10.742
4      12.00 0.00      33.00 0.00      22.00 0.00      23.00 0.00     12.036
4      13.00 0.00      34.00 0.00      23.00 0.00      24.00 0.00     12.139
4       1.00 0.00       0.00 0.00       2.00 0.00       3.00 0.00     10.195
4       2.00 0.00       1.00 0.00       3.00 0.00       4.00 0.00     10.187
4       3.00 0.00       2.00 0.00       4.00 0.00       5.00 0.00     10.173
4       4.00 0.00       3.00 0.00       5.00 0.00       6.00 0.00     10.140
4       5.00 0.00       4.00 0.00       6.00 0.00       7.00 0.00     10.059
4       6.00 0.00       5.00 0.00       7.00 0.00       8.00 0.00      9.881
4       7.00 0.00       6.00 0.00       8.00 0.00       9.00 0.00      9.922
4       8.00 0.00       7.00 0.00       9.00 0.00      10.00 0.00     10.879
4       9.00 0.00       8.00 0.00      10.00 0.00      11.00 0.00     11.616
4      10.00 0.00       9.00 0.00      11.00 0.00      12.00 0.00     11.424
4      11.00 0.00      10.00 0.00      12.00 0.00      13.00 0.00     11.329
4      12.00 0.00      11.00 0.00      13.00 0.00      14.00 0.00     11.428
4      13.00 0.00      12.00 0.00      14.00 0.00      15.00 0.00     11.628
4      14.00 0.00      13.00 0.00      15.00 0.00      16.00 0.00     10.903
4      15.00 0.00      14.00 0.00      16.00 0.00      17.00 0.00      9.985
4      16.00 0.00      15.00 0.00      17.00 0.00      18.00 0.00     10.056
4      17.00 0.00      16.00 0.00      18.00 0.00      19.00 0.00     10.638
4      18.00 0.00      17.00 0.00      19.00 0.00      20.00 0.00      8.411
4      19.00 0.00      18.00 0.00      20.00 0.00      21.00 0.00      5.838
4      20.00 0.00      19.00 0.00      21.00 0.00      22.00 0.00      5.852
4      21.00 0.00      20.00 0.00      22.00 0.00      23.00 0.00      8.525
4      22.00 0.00      21.00 0.00      23.00 0.00      24.00 0.00     11.049
4      23.00 0.00      22.00 0.00      24.00 0.00      25.00 0.00     10.911
4      24.00 0.00      23.00 0.00      25.00 0.00      26.00 0.00      9.179
4      25.00 0.00      24.00 0.00      26.00 0.00      27.00 0.00      7.477
4      26.00 0.00      25.00 0.00      27.00 0.00      28.00 0.00      7.472
