Gladokvarn profile 2
160 48 257.560
168 48 290.132
148 40 141.120
164 40 206.465
172 40 246.050
180 40 281.738
160 32 129.584
176 32 206.792
184 32 232.327
192 32 251.126
188 24 176.884
196 24 184.424
172 24 125.764
200 16 121.994
216 16 96.359
184 16 97.364
196 8 54.488
174 12 70.158
178 12 71.402
146 12 44.975
182 12 72.722
150 12 45.767
154 12 47.953
158 12 50.366
162 12 54.815
166 12 59.791
170 12 63.561
160 8 38.478
184 8 51.899
168 8 43.379
152 8 34.708
176 8 49.763
165 6 35.795
183 6 40.150
167 6 37.435
185 6 39.848
169 6 38.095
187 6 40.206
153 6 31.686
171 6 36.813
189 6 40.395
155 6 32.666
173 6 36.474
191 6 39.452
157 6 33.477
175 6 38.321
159 6 33.156
177 6 41.394
161 6 33.307
179 6 42.751
163 6 33.892
181 6 41.695
162 4 30.335
174 4 31.454
186 4 30.511
164 4 30.913
176 4 32.962
188 4 29.016
166 4 32.258
178 4 35.224
190 4 28.274
156 4 30.725
168 4 33.414
180 4 33.163
192 4 28.588
158 4 31.165
170 4 33.778
182 4 29.845
194 4 28.475
160 4 30.235
172 4 32.484
184 4 28.991
159 2 29.782
165 2 30.285
171 2 33.175
177 2 32.170
183 2 25.698
189 2 20.452
195 2 19.949
161 2 29.405
167 2 32.107
173 2 32.170
179 2 30.285
185 2 23.763
191 2 21.130
197 2 19.208
163 2 29.845
169 2 31.416
175 2 31.542
181 2 27.395
187 2 23.367
193 2 20.778
200 48 322.704
208 48 297.069
188 40 273.570
204 40 277.842
212 40 262.511
220 40 222.425
208 32 209.104
216 32 207.697
224 32 198.850
236 24 207.722
244 24 294.807
212 24 134.661
220 24 146.423
248 16 302.096
256 16 570.011
232 16 141.246
252 8 469.982
236 8 91.659
260 8 912.821
244 8 211.869
268 8 1995.540
214 12 59.037
186 12 70.045
190 12 78.075
202 12 87.349
192 8 50.919
193 6 39.414
229 6 56.454
195 6 39.037
231 6 65.219
197 6 39.132
199 6 40.640
202 4 25.912
226 4 34.658
228 4 33.703
230 4 42.826
196 4 26.628
232 4 51.019
198 4 26.251
234 4 50.768
200 4 26.188
199 2 17.574
205 2 20.653
223 2 23.512
229 2 30.411
235 2 29.531
201 2 20.251
225 2 30.222
231 2 34.809
237 2 39.207
203 2 14.546
227 2 31.793
233 2 30.285
 2
26
-100 33
-40 34.5
-20 35.0
