Borehole test at Limhamn limestone quarry 1995-10-25
1
13
626
2
0
Surface electrodes (dummy, not used in this survey)
17
2 0
3 0
4 0
5 0
6 0
7 0
8 0
9 0
10 0
11 0
12 0
13 0
14 0
15 0
16 0
17 0
18 0
Borehole 1 Electrodes
18
4 1
4 2
4 3
4 4
4 5
4 6
4 7
4 8
4 9
4 10
4 11
4 12
4 13
4 14
4 15
4 16
4 17
4 18
Borehole 2 Electrodes
18
16 1
16 2
16 3
16 4
16 5
16 6
16 7
16 8
16 9
16 10
16 11
16 12
16 13
16 14
16 15
16 16
16 17
16 18
Measured Data as Resistance (pole-pole array in this case)
2 4 18 16 1 0.388
2 4 18 16 2 0.3875
2 4 18 16 3 0.3925
2 4 18 16 4 0.4
2 4 18 16 5 0.411
2 4 18 16 6 0.429
2 4 18 16 7 0.452
2 4 18 16 8 0.471
2 4 18 16 9 0.489
2 4 18 16 10 0.507
2 4 18 16 11 0.528
2 4 18 16 12 0.549
2 4 18 16 13 0.572
2 4 18 16 14 0.598
2 4 18 16 15 0.615
2 4 18 16 16 0.636
2 4 18 16 17 0.641
2 4 18 16 18 0.632
2 4 18 4 1 0.459
2 4 18 4 2 0.459
2 4 18 4 3 0.476
2 4 18 4 4 0.493
2 4 18 4 5 0.516
2 4 18 4 6 0.551
2 4 18 4 7 0.613
2 4 18 4 8 0.6635
2 4 18 4 9 0.721
2 4 18 4 10 0.794
2 4 18 4 11 0.886
2 4 18 4 12 0.995
2 4 18 4 13 1.143
2 4 18 4 14 1.396
2 4 18 4 15 1.873
2 4 18 4 16 3.1
2 4 18 4 17 5.51
2 4 17 16 1 0.406
2 4 17 16 2 0.406
2 4 17 16 3 0.412
2 4 17 16 4 0.42
2 4 17 16 5 0.432
2 4 17 16 6 0.451
2 4 17 16 7 0.475
2 4 17 16 8 0.495
2 4 17 16 9 0.513
2 4 17 16 10 0.532
2 4 17 16 11 0.553
2 4 17 16 12 0.5735
2 4 17 16 13 0.596
2 4 17 16 14 0.618
2 4 17 16 15 0.632
2 4 17 16 16 0.645
2 4 17 16 17 0.648
2 4 17 16 18 0.634
2 4 17 4 1 0.487
2 4 17 4 2 0.487
2 4 17 4 3 0.507
2 4 17 4 4 0.525
2 4 17 4 5 0.5525
2 4 17 4 6 0.593
2 4 17 4 7 0.665
2 4 17 4 8 0.725
2 4 17 4 9 0.795
2 4 17 4 10 0.886
2 4 17 4 11 1.002
2 4 17 4 12 1.147
2 4 17 4 13 1.356
2 4 17 4 14 1.753
2 4 17 4 15 2.66
2 4 17 4 16 6.65
2 4 16 16 1 0.43
2 4 16 16 2 0.43
2 4 16 16 3 0.436
2 4 16 16 4 0.445
2 4 16 16 5 0.457
2 4 16 16 6 0.478
2 4 16 16 7 0.504
2 4 16 16 8 0.525
2 4 16 16 9 0.543
2 4 16 16 10 0.562
2 4 16 16 11 0.582
2 4 16 16 12 0.602
2 4 16 16 13 0.621
2 4 16 16 14 0.637
2 4 16 16 15 0.647
2 4 16 16 16 0.649
2 4 16 16 17 0.649
2 4 16 16 18 0.631
2 4 16 4 1 0.524
2 4 16 4 2 0.524
2 4 16 4 3 0.547
2 4 16 4 4 0.569
2 4 16 4 5 0.601
2 4 16 4 6 0.65
2 4 16 4 7 0.7385
2 4 16 4 8 0.814
2 4 16 4 9 0.904
2 4 16 4 10 1.025
2 4 16 4 11 1.187
2 4 16 4 12 1.404
2 4 16 4 13 1.751
2 4 16 4 14 2.56
2 4 16 4 15 5.8
2 4 15 16 1 0.493
2 4 15 16 2 0.493
2 4 15 16 3 0.5
2 4 15 16 4 0.51
2 4 15 16 5 0.525
2 4 15 16 6 0.549
2 4 15 16 7 0.578
2 4 15 16 8 0.6
2 4 15 16 9 0.619
2 4 15 16 10 0.637
2 4 15 16 11 0.654
2 4 15 16 12 0.668
2 4 15 16 13 0.678
2 4 15 16 14 0.677
2 4 15 16 15 0.673
2 4 15 16 16 0.645
2 4 15 16 17 0.637
2 4 15 16 18 0.61
2 4 15 4 1 0.623
2 4 15 4 2 0.6235
2 4 15 4 3 0.6565
2 4 15 4 4 0.689
2 4 15 4 5 0.737
2 4 15 4 6 0.812
2 4 15 4 7 0.95
2 4 15 4 8 1.075
2 4 15 4 9 1.231
2 4 15 4 10 1.458
2 4 15 4 11 1.785
2 4 15 4 12 2.29
2 4 15 4 13 3.27
2 4 15 4 14 6.7
2 4 14 16 1 0.549
2 4 14 16 2 0.549
2 4 14 16 3 0.557
2 4 14 16 4 0.568
2 4 14 16 5 0.584
2 4 14 16 6 0.61
2 4 14 16 7 0.64
2 4 14 16 8 0.661
2 4 14 16 9 0.679
2 4 14 16 10 0.694
2 4 14 16 11 0.706
2 4 14 16 12 0.714
2 4 14 16 13 0.713
2 4 14 16 14 0.696
2 4 14 16 15 0.681
2 4 14 16 16 0.632
2 4 14 16 17 0.619
2 4 14 16 18 0.588
2 4 14 4 1 0.72
2 4 14 4 2 0.72
2 4 14 4 3 0.764
2 4 14 4 4 0.809
2 4 14 4 5 0.876
2 4 14 4 6 0.983
2 4 14 4 7 1.185
2 4 14 4 8 1.38
2 4 14 4 9 1.641
2 4 13 16 1 0.599
2 4 13 16 2 0.599
2 4 13 16 3 0.606
2 4 13 16 4 0.618
2 4 13 16 5 0.635
