Blocks
   1.00
1
245
1
0
      1.50	 1.00	   10.70
      2.50	 1.00	   10.71
      3.50	 1.00	   10.71
      4.50	 1.00	   10.70
      5.50	 1.00	   10.70
      6.50	 1.00	   10.70
      7.50	 1.00	   10.69
      8.50	 1.00	   10.68
      9.50	 1.00	   10.68
     10.50	 1.00	   10.66
     11.50	 1.00	   10.65
     12.50	 1.00	   10.62
     13.50	 1.00	   10.58
     14.50	 1.00	   10.54
     15.50	 1.00	   10.50
     16.50	 1.00	   10.41
     17.50	 1.00	   10.30
     18.50	 1.00	   10.22
     19.50	 1.00	   10.17
     20.50	 1.00	   10.11
     21.50	 1.00	    9.96
     22.50	 1.00	    9.51
     23.50	 1.00	    9.07
     24.50	 1.00	    8.18
     25.50	 1.00	    7.45
     26.50	 1.00	    7.45
     27.50	 1.00	    8.18
     28.50	 1.00	    9.06
     29.50	 1.00	    9.49
     30.50	 1.00	    9.94
     31.50	 1.00	   10.07
     32.50	 1.00	   10.11
     33.50	 1.00	   10.12
     34.50	 1.00	   10.13
     35.50	 1.00	   10.13
     36.50	 1.00	   10.13
     37.50	 1.00	   10.13
     38.50	 1.00	   10.12
      3.00	 2.00	   12.88
      4.00	 2.00	   12.88
      5.00	 2.00	   12.87
      6.00	 2.00	   12.85
      7.00	 2.00	   12.83
      8.00	 2.00	   12.79
      9.00	 2.00	   12.75
     10.00	 2.00	   12.68
     11.00	 2.00	   12.59
     12.00	 2.00	   12.45
     13.00	 2.00	   12.28
     14.00	 2.00	   12.13
     15.00	 2.00	   11.98
     16.00	 2.00	   11.73
     17.00	 2.00	   11.31
     18.00	 2.00	   10.84
     19.00	 2.00	   10.43
     20.00	 2.00	    9.99
     21.00	 2.00	    9.25
     22.00	 2.00	    8.70
     23.00	 2.00	    8.43
     24.00	 2.00	    7.63
     25.00	 2.00	    6.34
     26.00	 2.00	    5.77
     27.00	 2.00	    6.33
     28.00	 2.00	    7.59
     29.00	 2.00	    8.35
     30.00	 2.00	    8.56
     31.00	 2.00	    9.05
     32.00	 2.00	    9.67
     33.00	 2.00	    9.91
     34.00	 2.00	   10.00
     35.00	 2.00	   10.04
     36.00	 2.00	   10.05
     37.00	 2.00	   10.04
      4.50	 3.00	   16.10
      5.50	 3.00	   16.06
      6.50	 3.00	   16.00
      7.50	 3.00	   15.90
      8.50	 3.00	   15.77
      9.50	 3.00	   15.59
     10.50	 3.00	   15.34
     11.50	 3.00	   15.03
     12.50	 3.00	   14.73
     13.50	 3.00	   14.50
     14.50	 3.00	   14.29
     15.50	 3.00	   13.92
     16.50	 3.00	   13.30
     17.50	 3.00	   12.42
     18.50	 3.00	   11.40
     19.50	 3.00	   10.23
     20.50	 3.00	    9.47
     21.50	 3.00	    9.26
     22.50	 3.00	    9.15
     23.50	 3.00	    8.48
     24.50	 3.00	    7.37
     25.50	 3.00	    6.13
     26.50	 3.00	    6.11
     27.50	 3.00	    7.27
     28.50	 3.00	    8.28
     29.50	 3.00	    8.80
     30.50	 3.00	    8.71
     31.50	 3.00	    8.64
     32.50	 3.00	    8.96
     33.50	 3.00	    9.53
     34.50	 3.00	    9.80
     35.50	 3.00	    9.90
      6.00	 4.00	   19.27
      7.00	 4.00	   19.09
      8.00	 4.00	   18.82
      9.00	 4.00	   18.46
     10.00	 4.00	   18.02
     11.00	 4.00	   17.61
     12.00	 4.00	   17.29
     13.00	 4.00	   17.05
     14.00	 4.00	   16.80
     15.00	 4.00	   16.37
     16.00	 4.00	   15.62
     17.00	 4.00	   14.47
     18.00	 4.00	   12.94
     19.00	 4.00	   11.73
     20.00	 4.00	   11.09
     21.00	 4.00	   10.85
     22.00	 4.00	   10.64
     23.00	 4.00	    9.63
     24.00	 4.00	    8.42
     25.00	 4.00	    7.27
     26.00	 4.00	    6.51
     27.00	 4.00	    7.11
     28.00	 4.00	    8.06
     29.00	 4.00	    8.99
     30.00	 4.00	    9.61
     31.00	 4.00	    9.36
     32.00	 4.00	    8.98
     33.00	 4.00	    8.78
     34.00	 4.00	    8.96
      7.50	 5.00	   21.41
      8.50	 5.00	   20.88
      9.50	 5.00	   20.38
     10.50	 5.00	   19.99
     11.50	 5.00	   19.71
     12.50	 5.00	   19.49
     13.50	 5.00	   19.22
     14.50	 5.00	   18.72
     15.50	 5.00	   17.85
     16.50	 5.00	   16.56
     17.50	 5.00	   15.31
     18.50	 5.00	   14.24
     19.50	 5.00	   13.45
     20.50	 5.00	   12.99
     21.50	 5.00	   12.29
     22.50	 5.00	   10.96
     23.50	 5.00	    9.59
     24.50	 5.00	    8.41
     25.50	 5.00	    7.61
     26.50	 5.00	    7.44
     27.50	 5.00	    7.88
     28.50	 5.00	    8.64
     29.50	 5.00	    9.46
     30.50	 5.00	   10.15
     31.50	 5.00	   10.10
     32.50	 5.00	    9.58
      9.00	 6.00	   22.46
     10.00	 6.00	   22.15
     11.00	 6.00	   21.92
     12.00	 6.00	   21.72
     13.00	 6.00	   21.41
     14.00	 6.00	   20.82
     15.00	 6.00	   19.88
     16.00	 6.00	   18.98
     17.00	 6.00	   18.10
     18.00	 6.00	   17.14
     19.00	 6.00	   16.17
     20.00	 6.00	   15.11
     21.00	 6.00	   13.97
     22.00	 6.00	   12.44
     23.00	 6.00	   10.95
     24.00	 6.00	    9.68
     25.00	 6.00	    8.83
     26.00	 6.00	    8.53
     27.00	 6.00	    8.23
     28.00	 6.00	    8.48
     29.00	 6.00	    9.10
     30.00	 6.00	    9.82
     31.00	 6.00	   10.44
     10.50	 7.00	   23.90
     11.50	 7.00	   23.69
     12.50	 7.00	   23.33
     13.50	 7.00	   22.71
     14.50	 7.00	   22.14
     15.50	 7.00	   21.57
     16.50	 7.00	   20.89
     17.50	 7.00	   20.02
     18.50	 7.00	   18.77
     19.50	 7.00	   17.33
     20.50	 7.00	   15.82
     21.50	 7.00	   14.04
     22.50	 7.00	   12.39
     23.50	 7.00	   11.02
     24.50	 7.00	   10.10
     25.50	 7.00	    9.76
     26.50	 7.00	    9.35
     27.50	 7.00	    8.87
     28.50	 7.00	    9.01
     29.50	 7.00	    9.51
     12.00	 8.00	   25.04
     13.00	 8.00	   24.79
