Rathcroghan Mound Line 00
  2.0
 1
 339
1
0
  -33.0     2.0   116.0
  -31.0     2.0   118.0
  -29.0     2.0   112.0
  -27.0     2.0   105.0
  -25.0     2.0   102.0
  -23.0     2.0    96.0
  -21.0     2.0   103.0
  -19.0     2.0   164.0
  -17.0     2.0   314.0
  -15.0     2.0   458.0
  -13.0     2.0   541.0
  -11.0     2.0   592.0
   -9.0     2.0   613.0
   -7.0     2.0   482.0
   -5.0     2.0   466.0
   -3.0     2.0   417.0
   -1.0     2.0   434.0
    1.0     2.0   429.0
    3.0     2.0   387.0
    5.0     2.0   346.0
    7.0     2.0   265.0
    9.0     2.0   215.0
   11.0     2.0   178.0
   13.0     2.0   191.0
   15.0     2.0   143.0
   17.0     2.0   108.0
   19.0     2.0   101.0
   21.0     2.0   103.0
   23.0     2.0   107.0
   25.0     2.0   120.0
   27.0     2.0   135.0
   29.0     2.0   142.0
   31.0     2.0   107.0
   33.0     2.0   138.0
   35.0     2.0   116.0
   37.0     2.0   164.0
   39.0     2.0   120.0
   41.0     2.0   118.0
   43.0     2.0   100.0
   45.0     2.0   114.0
   47.0     2.0    93.0
   49.0     2.0   126.0
   51.0     2.0    94.0
   53.0     2.0    90.0
   55.0     2.0   156.0
   57.0     2.0    80.0
   59.0     2.0   106.0
   61.0     2.0    79.0
   63.0     2.0   106.0
   65.0     2.0   139.0
   67.0     2.0   190.0
   69.0     2.0   257.0
   71.0     2.0   290.0
   73.0     2.0   292.0
   75.0     2.0   410.0
   77.0     2.0   411.0
   79.0     2.0   444.0
   81.0     2.0   545.0
   83.0     2.0   621.0
   85.0     2.0   553.0
   87.0     2.0   582.0
   89.0     2.0   551.0
   91.0     2.0   684.0
   93.0     2.0   426.0
  -30.0     4.0   198.0
  -28.0     4.0   184.0
  -26.0     4.0   175.0
  -24.0     4.0   168.0
  -22.0     4.0   149.0
  -20.0     4.0   176.0
  -18.0     4.0   308.0
  -16.0     4.0   433.0
  -14.0     4.0   442.0
  -12.0     4.0   458.0
  -10.0     4.0   562.0
   -8.0     4.0   624.0
   -6.0     4.0   601.0
   -4.0     4.0   590.0
   -2.0     4.0   611.0
    0.0     4.0   601.0
    2.0     4.0   578.0
    4.0     4.0   555.0
    6.0     4.0   503.0
    8.0     4.0   385.0
   10.0     4.0   341.0
   12.0     4.0   370.0
   14.0     4.0   363.0
   16.0     4.0   264.0
   18.0     4.0   217.0
   20.0     4.0   223.0
   22.0     4.0   218.0
   24.0     4.0   223.0
   26.0     4.0   256.0
   28.0     4.0   270.0
   30.0     4.0   234.0
   32.0     4.0   210.0
   34.0     4.0   219.0
   36.0     4.0   269.0
   38.0     4.0   264.0
   40.0     4.0   205.0
   42.0     4.0   176.0
   44.0     4.0   159.0
