Odarslov Dyke
2.0
1
701
1
0
-8 48 188
0 48 186
8 48 175
-20 40 180
-12 40 182
-4 40 178
4 40 176
12 40 160
20 40 167
-32 32 163
-24 32 159
-16 32 177
-8 32 178
0 32 173
8 32 153
16 32 164
24 32 169
32 32 167
-44 24 143
28 24 150
-36 24 155
36 24 174
-28 24 154
44 24 177
-20 24 151
-12 24 166
-4 24 170
4 24 151
12 24 156
20 24 155
-56 16 162
-8 16 161
40 16 173
-48 16 157
0 16 141
48 16 171
-40 16 151
8 16 144
56 16 148
-32 16 138
16 16 141
-24 16 143
24 16 161
-16 16 136
32 16 160
-68 8 127
-44 8 139
-20 8 115
4 8 122
28 8 143
52 8 141
-60 8 134
-36 8 138
-12 8 127
12 8 136
36 8 140
60 8 130
-52 8 136
-28 8 149
-4 8 124
20 8 151
44 8 152
68 8 138
-22 12 132
14 12 144
-18 12 131
18 12 157
-14 12 131
22 12 158
-10 12 144
-6 12 147
-2 12 137
2 12 141
6 12 135
10 12 133
-24 8 128
0 8 132
24 8 143
-16 8 131
8 8 130
-8 8 121
16 8 147
-31 6 149
-13 6 124
5 6 124
23 6 136
-29 6 144
-11 6 115
7 6 124
25 6 127
-27 6 142
-9 6 109
9 6 127
27 6 135
-25 6 131
-7 6 113
11 6 129
29 6 137
-23 6 125
-5 6 111
13 6 128
31 6 142
-21 6 120
-3 6 119
15 6 134
-19 6 123
-1 6 117
17 6 136
-17 6 120
1 6 119
19 6 144
-15 6 130
3 6 121
21 6 138
-34 4 141
-22 4 135
-10 4 115
2 4 108
14 4 117
26 4 116
-32 4 148
-20 4 131
-8 4 110
4 4 121
16 4 117
28 4 125
-30 4 141
-18 4 134
-6 4 100
6 4 115
18 4 122
30 4 131
-28 4 135
-16 4 133
-4 4 105
8 4 106
20 4 126
32 4 125
-26 4 144
-14 4 123
-2 4 113
10 4 120
22 4 125
34 4 120
-24 4 137
-12 4 116
0 4 106
12 4 123
24 4 114
-37 2 144
-31 2 196
-25 2 194
-19 2 177
-13 2 163
-7 2 113
-1 2 136
5 2 127
11 2 108
17 2 116
23 2 103
29 2 121
35 2 118
-35 2 141
-29 2 196
-23 2 162
-17 2 183
-11 2 140
-5 2 119
1 2 130
7 2 105
13 2 100
19 2 102
25 2 110
31 2 119
37 2 118
-33 2 183
-27 2 204
-21 2 191
-15 2 188
-9 2 130
-3 2 133
3 2 132
9 2 102
15 2 106
21 2 116
27 2 105
33 2 120
32 48 147
40 48 141
48 48 139
28 40 158
36 40 148
44 40 135
52 40 119
60 40 147
40 32 141
48 32 143
56 32 141
64 32 146
72 32 171
68 24 141
76 24 170
84 24 206
52 24 156
60 24 137
80 16 173
88 16 177
96 16 150
64 16 127
72 16 145
92 8 164
76 8 146
100 8 136
84 8 157
108 8 147
54 12 144
58 12 132
26 12 156
62 12 136
30 12 152
34 12 155
38 12 164
42 12 164
46 12 164
50 12 154
40 8 149
64 8 128
48 8 142
32 8 145
56 8 137
45 6 131
63 6 133
47 6 129
65 6 137
49 6 127
67 6 137
33 6 132
51 6 136
69 6 135
35 6 130
53 6 139
71 6 143
37 6 126
55 6 142
39 6 139
57 6 136
41 6 144
59 6 131
43 6 145
61 6 128
42 4 127
54 4 128
66 4 155
44 4 120
68 4 162
46 4 116
58 4 135
70 4 134
36 4 117
48 4 122
60 4 136
72 4 138
38 4 122
50 4 124
62 4 135
74 4 162
40 4 129
52 4 124
64 4 141
39 2 108
45 2 115
51 2 106
57 2 119
63 2 151
69 2 168
75 2 146
41 2 126
47 2 109
53 2 106
59 2 121
65 2 152
71 2 154
77 2 127
43 2 111
49 2 107
55 2 111
61 2 145
67 2 171
73 2 158
72 48 192
80 48 205
88 48 217
68 40 175
76 40 202
84 40 217
92 40 227
100 40 222
80 32 209
88 32 223
96 32 222
104 32 191
112 32 166
108 24 153
116 24 151
124 24 161
92 24 209
100 24 180
120 16 158
128 16 161
136 16 172
104 16 147
112 16 157
132 8 150
116 8 135
140 8 150
124 8 141
148 8 152
94 12 158
98 12 145
66 12 132
102 12 142
70 12 144
74 12 147
78 12 155
82 12 151
86 12 162
90 12 159
80 8 149
104 8 120
88 8 146
72 8 143
96 8 164
85 6 157
103 6 121
87 6 151
105 6 129
89 6 138
107 6 146
73 6 144
91 6 143
109 6 140
75 6 148
93 6 157
111 6 141
77 6 146
95 6 176
79 6 148
97 6 163
81 6 150
99 6 144
83 6 170
101 6 115
82 4 156
94 4 138
106 4 148
84 4 149
96 4 147
108 4 145
86 4 149
98 4 152
110 4 132
76 4 154
88 4 140
100 4 129
112 4 132
78 4 131
90 4 139
102 4 113
114 4 124
80 4 145
92 4 136
104 4 131
79 2 112
85 2 136
91 2 115
97 2 126
103 2 118
109 2 140
115 2 103
81 2 139
87 2 116
93 2 132
99 2 125
105 2 154
111 2 109
117 2 116
83 2 122
89 2 124
95 2 125
101 2 117
107 2 125
113 2 127
112 48 200
120 48 182
128 48 175
108 40 198
116 40 179
124 40 165
132 40 157
140 40 169
120 32 158
128 32 158
136 32 169
144 32 184
152 32 195
148 24 183
156 24 184
164 24 193
132 24 175
140 24 181
160 16 180
168 16 176
176 16 176
144 16 174
152 16 177
172 8 141
156 8 142
180 8 145
164 8 153
188 8 140
134 12 165
138 12 162
106 12 137
142 12 176
110 12 153
114 12 151
118 12 153
122 12 148
126 12 156
130 12 153
120 8 133
144 8 163
128 8 151
112 8 141
136 8 144
125 6 130
143 6 140
127 6 141
145 6 149
129 6 143
147 6 144
113 6 128
131 6 146
149 6 141
115 6 131
133 6 137
151 6 127
117 6 121
135 6 137
119 6 127
137 6 138
121 6 125
139 6 139
123 6 132
141 6 139
122 4 117
134 4 120
146 4 131
124 4 111
136 4 126
148 4 128
126 4 109
138 4 129
150 4 105
116 4 117
128 4 123
140 4 128
152 4 113
118 4 112
130 4 129
142 4 115
154 4 125
120 4 113
132 4 121
144 4 118
119 2 94
125 2 83
131 2 92
137 2 105
143 2 100
149 2 86
155 2 104
121 2 96
127 2 83
133 2 101
139 2 100
145 2 85
151 2 96
157 2 103
123 2 87
129 2 100
135 2 96
141 2 98
147 2 109
153 2 104
152 48 180
160 48 190
168 48 198
148 40 187
156 40 201
164 40 203
172 40 202
180 40 198
160 32 199
168 32 204
176 32 204
184 32 195
192 32 192
188 24 185
196 24 176
204 24 175
172 24 204
180 24 197
200 16 162
208 16 167
216 16 174
184 16 177
192 16 169
212 8 144
196 8 135
220 8 143
204 8 135
228 8 145
174 12 158
178 12 161
146 12 165
182 12 165
150 12 166
154 12 159
158 12 172
162 12 167
166 12 167
170 12 157
160 8 157
184 8 138
168 8 141
152 8 137
176 8 151
165 6 143
183 6 130
167 6 131
185 6 123
169 6 130
187 6 123
153 6 129
171 6 133
189 6 126
155 6 127
173 6 138
191 6 129
157 6 134
175 6 141
159 6 136
177 6 139
161 6 145
179 6 139
163 6 146
181 6 136
162 4 129
174 4 126
186 4 112
164 4 130
176 4 125
188 4 108
166 4 121
178 4 128
190 4 111
156 4 121
168 4 116
180 4 125
192 4 113
158 4 117
170 4 123
182 4 119
194 4 107
160 4 122
172 4 127
184 4 117
159 2 105
165 2 101
171 2 114
177 2 108
183 2 101
189 2 94
195 2 91
161 2 104
167 2 106
173 2 109
179 2 102
185 2 103
191 2 95
197 2 93
163 2 105
169 2 99
175 2 105
181 2 104
187 2 97
193 2 90
192 48 201
200 48 204
208 48 208
188 40 193
196 40 198
204 40 200
212 40 203
220 40 211
200 32 184
208 32 189
216 32 204
224 32 206
232 32 210
228 24 197
236 24 195
244 24 183
212 24 182
220 24 195
240 16 173
248 16 167
256 16 157
224 16 171
232 16 171
252 8 125
236 8 130
260 8 132
244 8 144
268 8 141
214 12 161
218 12 158
186 12 162
222 12 168
190 12 159
194 12 152
198 12 152
202 12 151
206 12 157
210 12 155
200 8 130
224 8 149
208 8 142
192 8 141
216 8 139
205 6 127
223 6 135
207 6 134
225 6 133
209 6 135
227 6 135
193 6 131
211 6 133
229 6 130
195 6 125
213 6 124
231 6 127
197 6 121
215 6 125
199 6 120
217 6 126
201 6 119
219 6 132
203 6 121
221 6 131
202 4 116
214 4 106
226 4 121
204 4 111
216 4 112
228 4 109
206 4 108
218 4 121
230 4 108
196 4 107
208 4 120
220 4 114
232 4 115
198 4 106
210 4 125
222 4 108
234 4 114
200 4 108
212 4 110
224 4 116
199 2 92
205 2 97
211 2 92
217 2 101
223 2 88
229 2 91
235 2 98
201 2 95
207 2 94
213 2 94
219 2 97
225 2 103
231 2 96
237 2 89
203 2 102
209 2 101
215 2 93
221 2 99
227 2 89
233 2 91
0
0
0
0
