TWO RECTANGULAR BLOCKS
 1.0
 3
 356
0
0
   0.0	 1.0   1    30.1
   1.0	 1.0   1    30.1
   2.0	 1.0   1    30.1
   3.0	 1.0   1    30.1
   4.0	 1.0   1    30.1
   5.0	 1.0   1    30.1
   6.0	 1.0   1    30.1
   7.0	 1.0   1    30.1
   8.0	 1.0   1    30.0
   9.0	 1.0   1    29.7
  10.0	 1.0   1    29.5
  11.0	 1.0   1    32.2
  12.0	 1.0   1    36.6
  13.0	 1.0   1    36.8
  14.0	 1.0   1    36.8
  15.0	 1.0   1    36.6
  16.0	 1.0   1    32.2
  17.0	 1.0   1    29.5
  18.0	 1.0   1    29.7
  19.0	 1.0   1    30.0
  20.0	 1.0   1    30.3
  21.0	 1.0   1    30.6
  22.0	 1.0   1    28.8
  23.0	 1.0   1    26.5
  24.0	 1.0   1    25.5
  25.0	 1.0   1    25.6
  26.0	 1.0   1    25.6
  27.0	 1.0   1    25.5
  28.0	 1.0   1    26.5
  29.0	 1.0   1    28.8
  30.0	 1.0   1    30.6
  31.0	 1.0   1    30.3
  32.0	 1.0   1    30.2
  33.0	 1.0   1    30.1
  34.0	 1.0   1    30.1
  35.0	 1.0   1    30.1
  36.0	 1.0   1    30.1
  37.0	 1.0   1    30.1
  38.0	 1.0   1    30.1
  39.0	 1.0   1    30.1
  40.0	 1.0   1    30.1
  41.0	 1.0   1    30.1
  42.0	 1.0   1    30.1
  43.0	 1.0   1    30.1
  44.0	 1.0   1    30.1
  45.0	 1.0   1    30.1
  46.0	 1.0   1    30.1
  47.0	 1.0   1    30.1
    .0	 1.0   2    30.6
   1.0	 1.0   2    30.5
   2.0	 1.0   2    30.5
   3.0	 1.0   2    30.5
   4.0	 1.0   2    30.5
   5.0	 1.0   2    30.5
   6.0	 1.0   2    30.4
   7.0	 1.0   2    30.3
   8.0	 1.0   2    29.7
   9.0	 1.0   2    29.9
  10.0	 1.0   2    33.8
  11.0	 1.0   2    39.8
  12.0	 1.0   2    48.0
  13.0	 1.0   2    49.5
  14.0	 1.0   2    48.0
  15.0	 1.0   2    39.8
  16.0	 1.0   2    33.9
  17.0	 1.0   2    29.9
  18.0	 1.0   2    29.9
  19.0	 1.0   2    30.7
  20.0	 1.0   2    31.3
  21.0	 1.0   2    28.2
  22.0	 1.0   2    25.0
  23.0	 1.0   2    23.0
  24.0	 1.0   2    20.8
  25.0	 1.0   2    20.8
  26.0	 1.0   2    20.8
  27.0	 1.0   2    23.0
  28.0	 1.0   2    25.1
  29.0	 1.0   2    28.3
  30.0	 1.0   2    31.5
  31.0	 1.0   2    31.0
  32.0	 1.0   2    30.7
  33.0	 1.0   2    30.6
  34.0	 1.0   2    30.6
  35.0	 1.0   2    30.5
  36.0	 1.0   2    30.5
  37.0	 1.0   2    30.5
  38.0	 1.0   2    30.5
  39.0	 1.0   2    30.5
  40.0	 1.0   2    30.5
  41.0	 1.0   2    30.5
  42.0	 1.0   2    30.5
  43.0	 1.0   2    30.5
  44.0	 1.0   2    30.5
  45.0	 1.0   2    30.6
  46.0	 1.0   2    30.6
    .0	 1.0   3    30.6
   1.0	 1.0   3    30.5
   2.0	 1.0   3    30.5
   3.0	 1.0   3    30.5
   4.0	 1.0   3    30.4
   5.0	 1.0   3    30.3
   6.0	 1.0   3    30.0
   7.0	 1.0   3    29.4
   8.0	 1.0   3    29.9
   9.0	 1.0   3    34.1
  10.0	 1.0   3    38.5
  11.0	 1.0   3    45.2
  12.0	 1.0   3    56.1
  13.0	 1.0   3    56.2
  14.0	 1.0   3    45.2
  15.0	 1.0   3    38.6
  16.0	 1.0   3    34.3
  17.0	 1.0   3    30.1
  18.0	 1.0   3    30.0
  19.0	 1.0   3    31.2
  20.0	 1.0   3    27.6
  21.0	 1.0   3    24.8
  22.0	 1.0   3    24.2
  23.0	 1.0   3    22.5
  24.0	 1.0   3    19.5
  25.0	 1.0   3    19.5
  26.0	 1.0   3    22.5
  27.0	 1.0   3    24.2
  28.0	 1.0   3    24.9
  29.0	 1.0   3    27.8
  30.0	 1.0   3    31.7
  31.0	 1.0   3    31.2
  32.0	 1.0   3    30.8
  33.0	 1.0   3    30.6
  34.0	 1.0   3    30.6
  35.0	 1.0   3    30.5
  36.0	 1.0   3    30.5
  37.0	 1.0   3    30.5
  38.0	 1.0   3    30.5
  39.0	 1.0   3    30.5
  40.0	 1.0   3    30.5
  41.0	 1.0   3    30.5
  42.0	 1.0   3    30.5
  43.0	 1.0   3    30.5
  44.0	 1.0   3    30.5
  45.0	 1.0   3    30.6
    .0	 1.0   4    30.5
   1.0	 1.0   4    30.4
   2.0	 1.0   4    30.4
   3.0	 1.0   4    30.3
   4.0	 1.0   4    30.2
   5.0	 1.0   4    29.8
   6.0	 1.0   4    29.1
   7.0	 1.0   4    29.9
   8.0	 1.0   4    34.2
   9.0	 1.0   4    37.3
  10.0	 1.0   4    41.2
  11.0	 1.0   4    48.5
  12.0	 1.0   4    57.7
  13.0	 1.0   4    48.5
  14.0	 1.0   4    41.3
  15.0	 1.0   4    37.5
  16.0	 1.0   4    34.6
  17.0	 1.0   4    30.8
  18.0	 1.0   4    30.4
  19.0	 1.0   4    27.0
  20.0	 1.0   4    24.7
  21.0	 1.0   4    24.7
  22.0	 1.0   4    24.9
  23.0	 1.0   4    23.2
  24.0	 1.0   4    19.8
  25.0	 1.0   4    23.2
  26.0	 1.0   4    25.0
  27.0	 1.0   4    24.9
  28.0	 1.0   4    24.9
  29.0	 1.0   4    27.5
  30.0	 1.0   4    31.8
  31.0	 1.0   4    31.3
  32.0	 1.0   4    30.8
  33.0	 1.0   4    30.6
  34.0	 1.0   4    30.5
  35.0	 1.0   4    30.5
  36.0	 1.0   4    30.5
  37.0	 1.0   4    30.5
  38.0	 1.0   4    30.4
  39.0	 1.0   4    30.4
  40.0	 1.0   4    30.4
  41.0	 1.0   4    30.4
  42.0	 1.0   4    30.5
  43.0	 1.0   4    30.5
  44.0	 1.0   4    30.5
    .0	 1.0   5    30.4
   1.0	 1.0   5    30.3
   2.0	 1.0   5    30.2
   3.0	 1.0   5    30.0
   4.0	 1.0   5    29.6
   5.0	 1.0   5    28.8
   6.0	 1.0   5    30.0
   7.0	 1.0   5    34.2
   8.0	 1.0   5    36.6
   9.0	 1.0   5    39.0
  10.0	 1.0   5    43.0
  11.0	 1.0   5    47.3
  12.0	 1.0   5    47.3
  13.0	 1.0   5    43.1
  14.0	 1.0   5    39.3
  15.0	 1.0   5    37.2
  16.0	 1.0   5    35.3
  17.0	 1.0   5    31.5
  18.0	 1.0   5    25.9
  19.0	 1.0   5    24.3
  20.0	 1.0   5    24.8
  21.0	 1.0   5    25.5
  22.0	 1.0   5    25.6
  23.0	 1.0   5    24.4
  24.0	 1.0   5    24.4
  25.0	 1.0   5    25.6
  26.0	 1.0   5    25.6
  27.0	 1.0   5    25.1
  28.0	 1.0   5    24.9
  29.0	 1.0   5    27.3
  30.0	 1.0   5    31.9
