050413ws1700.bin
         0.20
11
7
Type of measurement (0=app. resistivity,1=resistance)
0
117
 2
0
4  1.60  0.00 3.80  0.00 2.60  0.00 2.80  0.00 81.82  
4  1.60  0.00 3.40  0.00 2.40  0.00 2.60  0.00 83.80  
4  1.60  0.00 3.00  0.00 2.20  0.00 2.40  0.00 106.33 
4  1.60  0.00 2.60  0.00 2.00  0.00 2.20  0.00 113.84 
4  1.60  0.00 2.20  0.00 1.80  0.00 2.00  0.00 101.19 
4  1.80  0.00 4.40  0.00 3.00  0.00 3.20  0.00 68.44  
4  1.80  0.00 4.00  0.00 2.80  0.00 3.00  0.00 124.31 
4  1.80  0.00 3.60  0.00 2.60  0.00 2.80  0.00 89.96  
4  1.80  0.00 3.20  0.00 2.40  0.00 2.60  0.00 94.22  
4  1.80  0.00 2.80  0.00 2.20  0.00 2.40  0.00 133.99 
4  1.80  0.00 2.40  0.00 2.00  0.00 2.20  0.00 91.00  
4  2.00  0.00 4.60  0.00 3.20  0.00 3.40  0.00 44.22  
4  2.00  0.00 4.20  0.00 3.00  0.00 3.20  0.00 91.52  
4  2.00  0.00 3.80  0.00 2.80  0.00 3.00  0.00 143.77 
4  2.00  0.00 3.40  0.00 2.60  0.00 2.80  0.00 97.88  
4  2.00  0.00 3.00  0.00 2.40  0.00 2.60  0.00 112.60 
4  2.00  0.00 2.60  0.00 2.20  0.00 2.40  0.00 101.10 
4  2.20  0.00 4.40  0.00 3.20  0.00 3.40  0.00 55.91  
4  2.20  0.00 4.00  0.00 3.00  0.00 3.20  0.00 113.51 
4  2.20  0.00 3.60  0.00 2.80  0.00 3.00  0.00 157.75 
4  2.20  0.00 3.20  0.00 2.60  0.00 2.80  0.00 110.69 
4  2.20  0.00 2.80  0.00 2.40  0.00 2.60  0.00 137.52 
4  2.40  0.00 4.60  0.00 3.40  0.00 3.60  0.00 39.68  
4  2.40  0.00 4.20  0.00 3.20  0.00 3.40  0.00 77.88  
4  2.40  0.00 3.80  0.00 3.00  0.00 3.20  0.00 134.42 
4  2.40  0.00 3.40  0.00 2.80  0.00 3.00  0.00 178.65 
4  2.40  0.00 3.00  0.00 2.60  0.00 2.80  0.00 121.98 
4  2.60  0.00 4.40  0.00 3.40  0.00 3.60  0.00 52.01  
4  2.60  0.00 4.00  0.00 3.20  0.00 3.40  0.00 104.62 
4  2.60  0.00 3.60  0.00 3.00  0.00 3.20  0.00 146.19 
4  2.60  0.00 3.20  0.00 2.80  0.00 3.00  0.00 195.51 
4  2.80  0.00 4.60  0.00 3.60  0.00 3.80  0.00 40.62  
4  2.80  0.00 4.20  0.00 3.40  0.00 3.60  0.00 76.59  
4  2.80  0.00 3.80  0.00 3.20  0.00 3.40  0.00 122.97 
4  2.80  0.00 3.40  0.00 3.00  0.00 3.20  0.00 170.51 
4  3.00  0.00 4.40  0.00 3.60  0.00 3.80  0.00 64.56  
4  3.00  0.00 4.00  0.00 3.40  0.00 3.60  0.00 117.17 
4  3.00  0.00 3.60  0.00 3.20  0.00 3.40  0.00 153.21 
4  3.20  0.00 4.60  0.00 3.80  0.00 4.00  0.00 79.76  
4  3.20  0.00 4.20  0.00 3.60  0.00 3.80  0.00 104.33 
4  3.20  0.00 3.80  0.00 3.40  0.00 3.60  0.00 145.24 
4  3.40  0.00 4.40  0.00 3.80  0.00 4.00  0.00 102.75 
4  3.40  0.00 4.00  0.00 3.60  0.00 3.80  0.00 126.09 
4  3.60  0.00 4.60  0.00 4.00  0.00 4.20  0.00 104.03 
4  3.60  0.00 4.20  0.00 3.80  0.00 4.00  0.00 130.57 
4  3.80  0.00 4.40  0.00 4.00  0.00 4.20  0.00 121.67 
4  4.00  0.00 4.60  0.00 4.20  0.00 4.40  0.00 151.58
Topography in separate list
2
24
0.0 1.38
0.2 1.4
0.4 1.4
0.6 1.4
0.8 1.4
1.0 1.35
1.2 1.275
1.4 1.20
1.6 1.125
1.8 1.05
2.0 0.975
2.2 0.90
2.4 0.825
2.6 0.75
2.8 0.675
3.0 0.60
3.2 0.525
3.4 0.45
3.6 0.375
3.8 0.3
4.0 0.225
4.2 0.15
4.4 0.075
4.6 0.0
1
Global coordinates present
Number of coordinate points
3
Local Longitude Latitude
 0.0   100.0  200.0
 2.2   101.1  201.9
 4.6   102.3  204.0
0
0
