Blocks Model
   1.00
6
Remote electrodes included
C2 remote electrode X, Y and Z location
-25.000,10.000,0.0
Approximate Geometric factor used
570
1
0
     29.50       1.00 6       8.00
     30.50       1.00 6       8.03
      4.00       1.00 7       8.63
      5.00       1.00 7      10.76
      6.00       1.00 7      12.41
      7.00       1.00 7      13.73
      8.00       1.00 7      15.24
      9.00       1.00 7      17.19
     10.00       1.00 7      19.96
     11.00       1.00 7      23.16
     12.00       1.00 7      22.37
     13.00       1.00 7      19.34
     14.00       1.00 7      16.74
     15.00       1.00 7      16.33
     16.00       1.00 7      23.19
     17.00       1.00 7      25.80
     18.00       1.00 7      17.90
     19.00       1.00 7      12.91
     20.00       1.00 7      11.51
     21.00       1.00 7      10.42
     22.00       1.00 7       6.53
     23.00       1.00 7       5.25
     24.00       1.00 7       8.53
     25.00       1.00 7      10.41
     26.00       1.00 7      10.27
     27.00       1.00 7       9.87
     28.00       1.00 7       9.50
     29.00       1.00 7       8.98
     30.00       1.00 7       8.23
      4.50       1.00 8      10.73
      5.50       1.00 8      12.35
      6.50       1.00 8      13.58
      7.50       1.00 8      14.92
      8.50       1.00 8      16.60
      9.50       1.00 8      18.81
     10.50       1.00 8      20.93
     11.50       1.00 8      18.94
     12.50       1.00 8      16.25
     13.50       1.00 8      15.13
     14.50       1.00 8      15.64
     15.50       1.00 8      23.04
     16.50       1.00 8      26.06
     17.50       1.00 8      18.27
     18.50       1.00 8      13.44
     19.50       1.00 8      12.22
     20.50       1.00 8      10.83
     21.50       1.00 8       6.46
     22.50       1.00 8       4.93
     23.50       1.00 8       7.69
     24.50       1.00 8      10.08
     25.50       1.00 8      10.91
     26.50       1.00 8      10.52
     27.50       1.00 8      10.05
     28.50       1.00 8       9.66
     29.50       1.00 8       9.16
      5.00       1.00 9      12.24
      6.00       1.00 9      13.40
      7.00       1.00 9      14.63
      8.00       1.00 9      16.11
      9.00       1.00 9      17.97
     10.00       1.00 9      19.47
     11.00       1.00 9      16.87
     12.00       1.00 9      13.65
     13.00       1.00 9      12.66
     14.00       1.00 9      14.14
     15.00       1.00 9      21.95
     16.00       1.00 9      25.47
     17.00       1.00 9      18.13
     18.00       1.00 9      13.57
     19.00       1.00 9      12.59
     20.00       1.00 9      11.37
     21.00       1.00 9       6.65
     22.00       1.00 9       5.02
     23.00       1.00 9       7.46
     24.00       1.00 9       9.10
     25.00       1.00 9      10.47
     26.00       1.00 9      11.04
     27.00       1.00 9      10.61
     28.00       1.00 9      10.13
     29.00       1.00 9       9.76
      5.50       1.00 10      13.20
      6.50       1.00 10      14.34
      7.50       1.00 10      15.67
      8.50       1.00 10      17.29
      9.50       1.00 10      18.39
     10.50       1.00 10      15.51
     11.50       1.00 10      12.10
     12.50       1.00 10      10.67
     13.50       1.00 10      11.97
     14.50       1.00 10      19.84
     15.50       1.00 10      23.96
     16.50       1.00 10      17.48
     17.50       1.00 10      13.37
     18.50       1.00 10      12.62
     19.50       1.00 10      11.59
     20.50       1.00 10       6.92
     21.50       1.00 10       5.26
     22.50       1.00 10       7.72
     23.50       1.00 10       8.84
     24.50       1.00 10       9.46
     25.50       1.00 10      10.54
     26.50       1.00 10      11.03
     27.50       1.00 10      10.62
     28.50       1.00 10      10.17
      1.00       1.00 -1      10.23
      2.00       1.00 -1      10.24
      3.00       1.00 -1      10.27
      4.00       1.00 -1      10.33
      5.00       1.00 -1      10.45
      6.00       1.00 -1      10.75
      7.00       1.00 -1      11.63
      8.00       1.00 -1      13.72
      9.00       1.00 -1      15.24
     10.00       1.00 -1      14.71
     11.00       1.00 -1      14.07
     12.00       1.00 -1      13.46
     13.00       1.00 -1      12.65
     14.00       1.00 -1      11.30
     15.00       1.00 -1      10.15
     16.00       1.00 -1       9.91
     17.00       1.00 -1      10.38
     18.00       1.00 -1      11.89
     19.00       1.00 -1      15.60
     20.00       1.00 -1      15.66
     21.00       1.00 -1      11.38
     22.00       1.00 -1       9.52
     23.00       1.00 -1       9.36
     24.00       1.00 -1       8.33
     25.00       1.00 -1       7.25
     26.00       1.00 -1       7.21
     27.00       1.00 -1       9.02
     28.00       1.00 -1      10.64
     29.00       1.00 -1      10.44
     30.00       1.00 -1      10.29
     31.00       1.00 -1      10.22
     32.00       1.00 -1      10.19
     33.00       1.00 -1      10.17
      1.50       1.00 -2      10.24
      2.50       1.00 -2      10.30
      3.50       1.00 -2      10.42
      4.50       1.00 -2      10.66
      5.50       1.00 -2      11.18
      6.50       1.00 -2      12.43
      7.50       1.00 -2      14.98
      8.50       1.00 -2      19.38
      9.50       1.00 -2      22.44
     10.50       1.00 -2      21.23
     11.50       1.00 -2      19.48
     12.50       1.00 -2      17.49
     13.50       1.00 -2      14.71
     14.50       1.00 -2      12.17
     15.50       1.00 -2      10.62
     16.50       1.00 -2      10.16
     17.50       1.00 -2      11.68
     18.50       1.00 -2      13.68
     19.50       1.00 -2      15.57
     20.50       1.00 -2      15.73
     21.50       1.00 -2      11.92
     22.50       1.00 -2       8.58
     23.50       1.00 -2       7.25
     24.50       1.00 -2       6.19
     25.50       1.00 -2       5.73
     26.50       1.00 -2       5.60
     27.50       1.00 -2       8.13
     28.50       1.00 -2      10.76
     29.50       1.00 -2      10.56
