Blue Ridge Province dipole-dipole survey line
   10.00000
3
469
1
0
   15.00000,    10.00000, 1.00000,   1181.824
   35.00000,    10.00000, 1.00000,    841.747
   55.00000,    10.00000, 1.00000,   1227.678
   75.00000,    10.00000, 1.00000,   1449.458
   95.00000,    10.00000, 1.00000,   2884.289
  115.00000,    10.00000, 1.00000,   3748.529
  135.00000,    10.00000, 1.00000,   3138.747
  155.00000,    10.00000, 1.00000,   3420.459
  175.00000,    10.00000, 1.00000,   2594.954
  195.00000,    10.00000, 1.00000,   1212.527
  215.00000,    10.00000, 1.00000,   1462.644
  235.00000,    10.00000, 1.00000,   1056.005
  255.00000,    10.00000, 1.00000,   1311.064
  275.00000,    10.00000, 1.00000,    556.733
  295.00000,    10.00000, 1.00000,   1122.826
  315.00000,    10.00000, 1.00000,    654.723
  335.00000,    10.00000, 1.00000,    631.850
  355.00000,    10.00000, 1.00000,    454.896
  375.00000,    10.00000, 1.00000,    506.051
  395.00000,    10.00000, 1.00000,   1097.951
  415.00000,    10.00000, 1.00000,    945.086
  435.00000,    10.00000, 1.00000,    802.207
  455.00000,    10.00000, 1.00000,    127.783
  475.00000,    10.00000, 1.00000,    208.674
   20.00000,    10.00000, 2.00000,   1494.136
   40.00000,    10.00000, 2.00000,   1255.371
   60.00000,    10.00000, 2.00000,   1091.254
   80.00000,    10.00000, 2.00000,   2407.322
  100.00000,    10.00000, 2.00000,   2380.859
  120.00000,    10.00000, 2.00000,   3413.063
  140.00000,    10.00000, 2.00000,   3211.685
  160.00000,    10.00000, 2.00000,   4111.850
  180.00000,    10.00000, 2.00000,   2535.176
  200.00000,    10.00000, 2.00000,   1429.320
  220.00000,    10.00000, 2.00000,   1608.062
  240.00000,    10.00000, 2.00000,   1287.771
  260.00000,    10.00000, 2.00000,   1178.616
  280.00000,    10.00000, 2.00000,    571.258
  300.00000,    10.00000, 2.00000,   1043.220
  320.00000,    10.00000, 2.00000,    939.944
  340.00000,    10.00000, 2.00000,    807.666
  360.00000,    10.00000, 2.00000,    607.523
  380.00000,    10.00000, 2.00000,    629.745
  400.00000,    10.00000, 2.00000,   1387.191
  420.00000,    10.00000, 2.00000,    889.453
  440.00000,    10.00000, 2.00000,    471.809
