Rectangular Blocks
 10.0
 1 
 378 
1
0
   15.0   10.0    30.2
   25.0   10.0    30.2
   35.0   10.0    30.2
   45.0   10.0    30.2
   55.0   10.0    30.2
   65.0   10.0    30.2
   75.0   10.0    30.3
   85.0   10.0    30.3
   95.0   10.0    30.5
  105.0   10.0    30.9
  115.0   10.0    31.7
  125.0   10.0    32.3
  135.0   10.0    32.6
  145.0   10.0    32.6
  155.0   10.0    32.3
  165.0   10.0    31.7
  175.0   10.0    30.9
  185.0   10.0    30.5
  195.0   10.0    30.5
  205.0   10.0    31.6
  215.0   10.0    34.7
  225.0   10.0    36.8
  235.0   10.0    36.8
  245.0   10.0    34.7
  255.0   10.0    31.6
  265.0   10.0    30.3
  275.0   10.0    30.2
  285.0   10.0    30.1
  295.0   10.0    29.9
  305.0   10.0    28.9
  315.0   10.0    27.8
  325.0   10.0    25.5
  335.0   10.0    24.0
  345.0   10.0    24.0
  355.0   10.0    25.5
  365.0   10.0    27.8
  375.0   10.0   128.9
  385.0   10.0    29.9
  395.0   10.0    30.1
  405.0   10.0    30.2
  415.0   10.0    30.2
  425.0   10.0    30.2
  435.0   10.0    30.2
  445.0   10.0    30.2
  455.0   10.0    30.2
  465.0   10.0    30.2
  475.0   10.0    30.2
  485.0   10.0    30.2
   30.0   20.0    30.3
   40.0   20.0    30.4
   50.0   20.0    30.5
   60.0   20.0    30.5
   70.0   20.0    30.6
   80.0   20.0    30.9
   90.0   20.0    31.6
  100.0   20.0    32.8
  110.0   20.0    34.3
  120.0   20.0    35.5
  130.0   20.0    35.3
  140.0   20.0    34.9
  150.0   20.0    35.3
  160.0   20.0    35.5
  170.0   20.0    34.4
  180.0   20.0    33.0
  190.0   20.0    32.7
  200.0   20.0    32.5
  210.0   20.0    31.8
  220.0   20.0    33.0
  230.0   20.0    34.3
  240.0   20.0    32.9
  250.0   20.0    31.5
  260.0   20.0    31.8
  270.0   20.0    31.2
  280.0   20.0    29.9
  290.0   20.0    28.5
  300.0   20.0    27.6
  310.0   20.0    27.1
  320.0   20.0    25.2
  330.0   20.0    22.8
  340.0   20.0    21.9
  350.0   20.0    22.8
  360.0   20.0    25.2
  370.0   20.0    27.1
  380.0   20.0    27.6
  390.0   20.0    28.4
  400.0   20.0    29.7
  410.0   20.0    30.1
  420.0   20.0    30.3
  430.0   20.0    30.3
  440.0   20.0    30.4
  450.0   20.0    30.4
  460.0   20.0    30.4
  470.0   20.0    30.3
   45.0   30.0    30.3
   55.0   30.0    30.6
   65.0   30.0    30.9
   75.0   30.0    31.6
   85.0   30.0    32.5
   95.0   30.0    33.6
  105.0   30.0    34.7
  115.0   30.0    35.2
  125.0   30.0    34.9
  135.0   30.0    34.8
  145.0   30.0    34.8
  155.0   30.0    35.0
  165.0   30.0    35.4
  175.0   30.0    35.6
  185.0   30.0    34.3
  195.0   30.0    32.2
  205.0   30.0    31.2
  215.0   30.0    32.1
  225.0   30.0    32.7
  235.0   30.0    32.5
  245.0   30.0    31.4
  255.0   30.0    29.5
  265.0   30.0    29.1
  275.0   30.0    29.1
  285.0   30.0    28.7
  295.0   30.0    28.5
  305.0   30.0    28.5
  315.0   30.0    27.4
  325.0   30.0    25.3
  335.0   30.0    22.8
  345.0   30.0    22.8
  355.0   30.0    25.3
  365.0   30.0    27.3
  375.0   30.0    28.4
  385.0   30.0    28.2
  395.0   30.0    27.8
