BOREHOLE WITH TOPOGRAPHY
    1.00000
12
570
2
0
Topography Present
Topography information mode (0=wrt to surface electrodes)
0
Type of x-distances
2
Surface	Electrodes
31
-14.0000  0.0
-13.0000  0.03
-12.0000  0.05
-11.0000  0.08
-10.0000  0.11
-9.0000  0.13
-8.0000  0.16
-7.0000  0.18
-6.0000  0.21
-5.0000  0.26
-4.0000  0.31
-3.0000  0.36
-2.0000  0.41
-1.0000  0.46
0.0000  0.51
1.0000   0.56
2.0000  0.58
3.0000  0.60
4.0000  0.62
5.0000  0.64
6.0000  0.66
7.0000  0.68
8.0000  0.71
9.0000  0.73
10.0000  0.75
11.0000  0.77
12.0000  0.79
13.0000  0.81
14.0000  0.83
15.0000  0.85
16.0000  0.95
Borehole 1 electrodes
17
-14.0000  1.0000
-14.0000  2.0000
-14.0000  3.0000
-14.0000  4.0000
-14.0000  5.0000
-14.0000  6.0000
-14.0000  7.0000
-14.0000  8.0000
-14.0000  9.0000
-14.0000  10.0000
-14.0000  11.0000
-14.0000  12.0000
-14.0000  13.0000
-14.0000  14.0000
-14.0000  15.0000
-14.0000  16.0000
-14.0000  17.0000
Borehole 2 electrodes
17
16.0000  1.0000
16.0000  2.0000
16.0000  3.0000
16.0000  4.0000
16.0000  5.0000
16.0000  6.0000
16.0000  7.0000
16.0000  8.0000
16.0000  9.0000
16.0000  10.0000
16.0000  11.0000
16.0000  12.0000
16.0000  13.0000
16.0000  14.0000
16.0000  15.0000
16.0000  16.0000
16.0000  17.0000
Measured Data
 2 16.0000  1.0000 16.0000  5.0000 3454.3850 
 2 16.0000  2.0000 16.0000  6.0000 3422.4734 
 2 16.0000  3.0000 16.0000  7.0000 3924.3271 
 2 16.0000  4.0000 16.0000  8.0000 3424.7539 
 2 16.0000  5.0000 16.0000  9.0000 2502.5237 
 2 16.0000  6.0000 16.0000  10.0000 2485.1582 
 2 16.0000  7.0000 16.0000  11.0000 2136.0483 
 2 16.0000  8.0000 16.0000  12.0000 2732.8760 
 2 16.0000  9.0000 16.0000  13.0000 1823.8134 
 2 16.0000  10.0000 16.0000  14.0000 1153.2635 
 2 16.0000  11.0000 16.0000  15.0000 978.9445 
 2 16.0000  12.0000 16.0000  16.0000 609.5932 
 2 -14.0000  17.0000 -14.0000  14.0000 841.8515 
 2 -14.0000  16.0000 -14.0000  13.0000 1007.0936 
 2 -14.0000  15.0000 -14.0000  12.0000 1093.4891 
 2 -14.0000  14.0000 -14.0000  11.0000 1288.1497 
 2 -14.0000  13.0000 -14.0000  10.0000 1764.9491 
 2 -14.0000  12.0000 -14.0000  9.0000 2353.6746
 2 -14.0000  11.0000 -14.0000  8.0000 3156.7891 
 2 -14.0000  10.0000 -14.0000  7.0000 4067.1611
 2 -14.0000  9.0000 -14.0000  6.0000 3443.3115 
 2 -14.0000  8.0000 -14.0000  5.0000 3032.6455 
 2 -14.0000  7.0000 -14.0000  4.0000 3668.9419 
 2 -14.0000  6.0000 -14.0000  3.0000 4491.5073 
 2 -14.0000  5.0000 -14.0000  2.0000 4897.9727 
 2 -14.0000  4.0000 -14.0000  1.0000 4544.0068 
 2 -14.0000  3.0000 -14.0000  0.0000 4401.8574 
 2 -14.0000  2.0000 -13.0000  0.0000 4726.4331 
 2 -14.0000  1.0000 -12.0000  0.0000 6168.5313 
 2 -14.0000  0.0000 -11.0000  0.0000 9808.4336 
 2 -13.0000  0.0000 -10.0000  0.0000 8202.6182 
 2 -12.0000  0.0000 -9.0000  0.0000 6718.1113 
 2 -11.0000  0.0000 -8.0000  0.0000 6206.1338 
 2 -10.0000  0.0000 -7.0000  0.0000 6064.7490 
 2 -9.0000  0.0000 -6.0000  0.0000 6520.3784 
 2 -8.0000  0.0000 -5.0000  0.0000 5822.6152 
 2 -7.0000  0.0000 -4.0000  0.0000 6260.3354 
 2 -6.0000  0.0000 -3.0000  0.0000 5898.8105 
 2 -5.0000  0.0000 -2.0000  0.0000 6539.4331 
 2 -4.0000  0.0000 -1.0000  0.0000 6416.5244 
 2 -3.0000  0.0000 0.0000  0.0000 6453.0000 
 2 -2.0000  0.0000 1.0000  0.0000 6034.4951 
 2 -1.0000  0.0000 2.0000  0.0000 6068.5078 
 2 0.0000  0.0000 3.0000  0.0000 6146.3203 
 2 1.0000  0.0000 4.0000  0.0000 7164.4502 
 2 2.0000  0.0000 5.0000  0.0000 6635.6714 
 2 3.0000  0.0000 6.0000  0.0000 5643.9971 
 2 4.0000  0.0000 7.0000  0.0000 5825.8589 
 2 5.0000  0.0000 8.0000  0.0000 5996.0083 
 2 6.0000  0.0000 9.0000  0.0000 7475.1074 
 2 7.0000  0.0000 10.0000  0.0000 8518.8643 
 2 8.0000  0.0000 11.0000  0.0000 6839.4180 
 2 9.0000  0.0000 12.0000  0.0000 6373.9189 
 2 10.0000  0.0000 13.0000  0.0000 7362.3887 
 2 11.0000  0.0000 14.0000  0.0000 6864.7930 
 2 12.0000  0.0000 15.0000  0.0000 7682.1563 
 2 13.0000  0.0000 16.0000  0.0000 9296.4326 
 2 14.0000  0.0000 16.0000  1.0000 8653.7617 
 2 15.0000  0.0000 16.0000  2.0000 3840.7383 
 2 16.0000  0.0000 16.0000  3.0000 3551.4229 
 2 16.0000  1.0000 16.0000  4.0000 3454.5808
 2 16.0000  3.0000 16.0000  6.0000 3969.3823 
 2 16.0000  4.0000 16.0000  7.0000 3823.9233 
 2 16.0000  5.0000 16.0000  8.0000 3315.1270 
 2 16.0000  6.0000 16.0000  9.0000 2600.1965 
 2 16.0000  7.0000 16.0000  10.0000 2660.9429 
 2 16.0000  8.0000 16.0000  11.0000 2772.8059 
 2 16.0000  9.0000 16.0000  12.0000 3017.4050 
 2 16.0000  10.0000 16.0000  13.0000 1884.5371 
 2 16.0000  11.0000 16.0000  14.0000 1378.9617 
 2 16.0000  12.0000 16.0000  15.0000 1063.0129 
 2 16.0000  13.0000 16.0000  16.0000 671.0436 
 2 -14.0000  17.0000 -14.0000  15.0000 863.6492 
 2 -14.0000  16.0000 -14.0000  14.0000 960.8195 
 2 -14.0000  15.0000 -14.0000  13.0000 1168.3488 
 2 -14.0000  14.0000 -14.0000  12.0000 1222.8713 
 2 -14.0000  13.0000 -14.0000  11.0000 2200.3362 
 2 -14.0000  12.0000 -14.0000  10.0000 2525.5535 
 2 -14.0000  11.0000 -14.0000  9.0000 3220.2988 
 2 -14.0000  10.0000 -14.0000  8.0000 5027.4663
 2 -14.0000  9.0000 -14.0000  7.0000 4080.7495 
 2 -14.0000  8.0000 -14.0000  6.0000 3254.7112 
 2 -14.0000  7.0000 -14.0000  5.0000 3848.2942 
 2 -14.0000  6.0000 -14.0000  4.0000 4775.2583 
 2 -14.0000  5.0000 -14.0000  3.0000 4754.9194 
 2 -14.0000  4.0000 -14.0000  2.0000 4787.9580 
 2 -14.0000  3.0000 -14.0000  1.0000 5112.8345 
 2 -14.0000  2.0000 -14.0000  0.0000 4914.5718 
 2 -14.0000  1.0000 -13.0000  0.0000 5886.4502 
 2 -14.0000  0.0000 -12.0000  0.0000 9492.7529 
 2 -13.0000  0.0000 -11.0000  0.0000 9972.4336 
 2 -12.0000  0.0000 -10.0000  0.0000 8324.4453 
 2 -11.0000  0.0000 -9.0000  0.0000 7139.6201 
 2 -10.0000  0.0000 -8.0000  0.0000 7860.4551 
 2 -9.0000  0.0000 -7.0000  0.0000 7828.6299 
 2 -8.0000  0.0000 -6.0000  0.0000 8143.8027 
 2 -7.0000  0.0000 -5.0000  0.0000 6817.7578 
 2 -6.0000  0.0000 -4.0000  0.0000 8046.5454 
 2 -5.0000  0.0000 -3.0000  0.0000 7996.8076 
 2 -4.0000  0.0000 -2.0000  0.0000 7326.4219 
 2 -3.0000  0.0000 -1.0000  0.0000 8583.9141 
 2 -2.0000  0.0000 0.0000  0.0000 7663.5547 
 2 -1.0000  0.0000 1.0000  0.0000 6484.1772 
 2 0.0000  0.0000 2.0000  0.0000 8318.1660
 2 1.0000  0.0000 3.0000  0.0000 7482.8389 
 2 2.0000  0.0000 4.0000  0.0000 8762.4590 
 2 3.0000  0.0000 5.0000  0.0000 7145.7773 
 2 4.0000  0.0000 6.0000  0.0000 9527.4014 
 2 5.0000  0.0000 7.0000  0.0000 8085.6924 
 2 6.0000  0.0000 8.0000  0.0000 7660.0146 
 2 7.0000  0.0000 9.0000  0.0000 15219.6455 
 2 8.0000  0.0000 10.0000  0.0000 11101.4053 
 2 9.0000  0.0000 11.0000  0.0000 6866.0293 
 2 10.0000  0.0000 12.0000  0.0000 8863.9951 
 2 11.0000  0.0000 13.0000  0.0000 9307.3613 
 2 12.0000  0.0000 14.0000  0.0000 7441.8721 
 2 13.0000  0.0000 15.0000  0.0000 9064.5352 
 2 14.0000  0.0000 16.0000  0.0000 12234.8926 
 2 15.0000  0.0000 16.0000  1.0000 8312.5547 
 2 16.0000  0.0000 16.0000  2.0000 3519.3032 
 2 16.0000  1.0000 16.0000  3.0000 3795.0459 
 2 16.0000  3.0000 16.0000  5.0000 3972.1941 
 2 16.0000  4.0000 16.0000  6.0000 3912.7876 
 2 16.0000  5.0000 16.0000  7.0000 3685.0271 
 2 16.0000  6.0000 16.0000  8.0000 3664.0322 
 2 16.0000  7.0000 16.0000  9.0000 2973.6299 
 2 16.0000  8.0000 16.0000  10.0000 3352.2495 
 2 16.0000  9.0000 16.0000  11.0000 3676.6292 
 2 16.0000  10.0000 16.0000  12.0000 3079.8855 
 2 16.0000  11.0000 16.0000  13.0000 2478.7922 
 2 16.0000  12.0000 16.0000  14.0000 1544.7987 
 2 16.0000  13.0000 16.0000  15.0000 1486.8787 
 2 16.0000  14.0000 16.0000  16.0000 623.5460 
 2 -14.0000  17.0000 -14.0000  16.0000 1008.8342 
 2 -14.0000  16.0000 -14.0000  15.0000 1073.8829 
 2 -14.0000  15.0000 -14.0000  14.0000 1110.7052 
 2 -14.0000  14.0000 -14.0000  13.0000 1488.6073 
 2 -14.0000  13.0000 -14.0000  12.0000 2459.2888 
 2 -14.0000  12.0000 -14.0000  11.0000 3245.3364 
 2 -14.0000  11.0000 -14.0000  10.0000 3744.7009 
 2 -14.0000  10.0000 -14.0000  9.0000 5182.1641 
 2 -14.0000  9.0000 -14.0000  8.0000 4673.6953 
 2 -14.0000  8.0000 -14.0000  7.0000 3738.8438 
 2 -14.0000  7.0000 -14.0000  6.0000 4693.0117 
 2 -14.0000  6.0000 -14.0000  5.0000 5642.4604 
 2 -14.0000  5.0000 -14.0000  4.0000 5195.8604 
 2 -14.0000  4.0000 -14.0000  3.0000 5418.0654
 2 -14.0000  3.0000 -14.0000  2.0000 6338.7939 
 2 -14.0000  2.0000 -14.0000  1.0000 6957.9990 
 2 -14.0000  1.0000 -14.0000  0.0000 7195.8555 
 2 -13.0000  0.0000 -12.0000  0.0000 8604.8467 
 2 -11.0000  0.0000 -10.0000  0.0000 8505.1445 
 2 -10.0000  0.0000 -9.0000  0.0000 9054.0879 
 2 -9.0000  0.0000 -8.0000  0.0000 12151.1797 
 2 -8.0000  0.0000 -7.0000  0.0000 9678.4844 
 2 -7.0000  0.0000 -6.0000  0.0000 9665.8438 
 2 -6.0000  0.0000 -5.0000  0.0000 9161.7881 
 2 -5.0000  0.0000 -4.0000  0.0000 13802.7832 
 2 -4.0000  0.0000 -3.0000  0.0000 9130.7051 
 2 -3.0000  0.0000 -2.0000  0.0000 12442.0352 
 2 -2.0000  0.0000 -1.0000  0.0000 11734.9570 
 2 -1.0000  0.0000 0.0000  0.0000 8199.3301 
 2 0.0000  0.0000 1.0000  0.0000 10014.7412 
 2 1.0000  0.0000 2.0000  0.0000 10583.8027 
 2 2.0000  0.0000 3.0000  0.0000 8809.2822 
 2 3.0000  0.0000 4.0000  0.0000 11952.6885 
 2 4.0000  0.0000 5.0000  0.0000 14699.5752 
 2 5.0000  0.0000 6.0000  0.0000 16214.4746 
 2 6.0000  0.0000 7.0000  0.0000 10926.2490 
 2 7.0000  0.0000 8.0000  0.0000 14761.1123 
 2 8.0000  0.0000 9.0000  0.0000 19244.1738 
 2 9.0000  0.0000 10.0000  0.0000 11670.7305 
 2 10.0000  0.0000 11.0000  0.0000 9511.0693 
 2 11.0000  0.0000 12.0000  0.0000 11747.8564 
 2 12.0000  0.0000 13.0000  0.0000 10687.3750 
 2 13.0000  0.0000 14.0000  0.0000 8172.2681 
 2 14.0000  0.0000 15.0000  0.0000 11059.7412 
 2 16.0000  1.0000 16.0000  2.0000 4257.7690 
 2 16.0000  2.0000 16.0000  3.0000 4512.3325 
 2 16.0000  3.0000 16.0000  4.0000 4692.0601 
 2 16.0000  4.0000 16.0000  5.0000 4128.2061 
 2 16.0000  5.0000 16.0000  6.0000 3782.5581 
 2 16.0000  6.0000 16.0000  7.0000 4595.5439 
 2 16.0000  7.0000 16.0000  8.0000 4921.6279 
 2 16.0000  8.0000 16.0000  9.0000 4199.3125 
 2 16.0000  9.0000 16.0000  10.0000 4671.6758 
 2 16.0000  10.0000 16.0000  11.0000 3783.7910 
 2 16.0000  11.0000 16.0000  12.0000 4250.3516 
 2 16.0000  12.0000 16.0000  13.0000 3267.7710 
 2 16.0000  13.0000 16.0000  14.0000 2815.5701
 2 16.0000  14.0000 16.0000  15.0000 2135.2710 
 2 16.0000  15.0000 16.0000  16.0000 687.9850 
0,0,0,0,0

Courtesy of Michel Ritz, IRD, France
