X_Coord_m,Z_Coord_m,Std_Wenner_Apparent_Resistivity_Ohmm,PseudoDiode_Apparent_Resistivity_Ohmm,Relative_Error
-110,-2.5,219.056,208.002,0.050462
-107.5,-2.5,218.787,205.737,0.059647
-105,-2.5,220.841,205.886,0.067718
-102.5,-2.5,223.185,219.468,0.016654
-100,-2.5,225.37,225.786,0.001846
-97.5,-2.5,218.145,215.647,0.011451
-95,-2.5,215.578,202.556,0.060405
-92.5,-2.5,222.212,226.453,0.019085
-90,-2.5,224.148,227.648,0.015615
-87.5,-2.5,219.495,224.867,0.024474
-85,-2.5,217.899,220.143,0.010298
-82.5,-2.5,220.079,227.4,0.033265
-80,-2.5,222.638,222.407,0.001038
-77.5,-2.5,221.486,223.707,0.010028
-75,-2.5,217.531,219.37,0.008454
-72.5,-2.5,221.99,228.562,0.029605
-70,-2.5,222.176,237.938,0.070944
-67.5,-2.5,216.599,193.07,0.108629
-65,-2.5,218.255,214.332,0.017974
-62.5,-2.5,220.202,211.749,0.038387
-60,-2.5,218.978,216.86,0.009672
-57.5,-2.5,221.083,234.859,0.062311
-55,-2.5,223.288,219.299,0.017865
-52.5,-2.5,215.917,223.91,0.037019
-50,-2.5,213.3,215.065,0.008275
-47.5,-2.5,219.906,240.667,0.094409
-45,-2.5,221.837,231.4,0.043108
-42.5,-2.5,217.153,223.211,0.027897
-40,-2.5,215.429,218.198,0.012853
-37.5,-2.5,217.358,227.128,0.044949
-35,-2.5,219.536,210.355,0.04182
-32.5,-2.5,217.865,206.571,0.051839
-30,-2.5,213.288,202.274,0.051639
-27.5,-2.5,217.078,208.966,0.037369
-25,-2.5,217.215,211.978,0.02411
-22.5,-2.5,208.43,211.64,0.015401
-20,-2.5,208.972,194.684,0.068373
-17.5,-2.5,216.476,205.179,0.052186
-15,-2.5,212.703,207.517,0.024381
-12.5,-2.5,205.49,190.805,0.071463
-10,-2.5,205.094,198.543,0.031941
-7.5,-2.5,205.78,191.922,0.067344
-5,-2.5,203.554,196.126,0.036492
-2.5,-2.5,197.805,197.571,0.001183
0,-2.5,199.036,205.386,0.031904
2.5,-2.5,207.421,206.643,0.003751
5,-2.5,207.917,201.532,0.030709
7.5,-2.5,196.586,198.156,0.007986
10,-2.5,192.223,196.712,0.023353
12.5,-2.5,200.471,197.917,0.01274
15,-2.5,208.941,212.703,0.018005
17.5,-2.5,198.483,196.126,0.011875
20,-2.5,193.359,201.508,0.042144
22.5,-2.5,202.97,210.848,0.038814
25,-2.5,201.516,202.846,0.0066
27.5,-2.5,194.489,208.125,0.070112
30,-2.5,200.629,200.463,0.000827
32.5,-2.5,204.431,204.376,0.000269
35,-2.5,198.443,193.284,0.025997
37.5,-2.5,192.58,199.029,0.033487
40,-2.5,195.016,200.815,0.029736
42.5,-2.5,202.673,206.912,0.020915
45,-2.5,202.062,200.298,0.00873
47.5,-2.5,197.493,200.935,0.017428
50,-2.5,191.523,187.987,0.018463
52.5,-2.5,191.19,195.132,0.020618
55,-2.5,199.238,209.733,0.052676
57.5,-2.5,197.504,202.278,0.024172
60,-2.5,193.565,197.18,0.018676
62.5,-2.5,201.41,204.264,0.01417
65,-2.5,194.869,187.961,0.035449
67.5,-2.5,189.716,189.359,0.001882
70,-2.5,201.309,196.413,0.024321
72.5,-2.5,206.541,197.663,0.042984
75,-2.5,197.508,193.102,0.022308
77.5,-2.5,194.683,190.631,0.020813
80,-2.5,198.883,196.915,0.009895
82.5,-2.5,199.648,192.39,0.036354
85,-2.5,199.87,193.618,0.03128
87.5,-2.5,203.66,196.389,0.035702
90,-2.5,200.651,194.487,0.03072
92.5,-2.5,196.05,196.396,0.001765
95,-2.5,198.726,198.052,0.003392
97.5,-2.5,200.197,191.107,0.045405
100,-2.5,200.545,197.026,0.017547
102.5,-2.5,202.605,211.345,0.043138
105,-2.5,203.064,203.311,0.001216
107.5,-2.5,198.605,204.321,0.028781
110,-2.5,194.38,187.521,0.035287
112.5,-2.5,200.945,211.1,0.050536
115,-2.5,206.153,200.928,0.025345
117.5,-2.5,201.012,206.791,0.02875
120,-2.5,194.391,201.75,0.037857
122.5,-2.5,201.172,207.84,0.033146
125,-2.5,207.663,213.834,0.029716
127.5,-2.5,200.168,185.631,0.072624
130,-2.5,195.84,197.789,0.009952
132.5,-2.5,201.308,207.492,0.030719
135,-2.5,202.93,199.044,0.019149
137.5,-2.5,200.869,192.631,0.041012
140,-2.5,204.191,189.655,0.071188
142.5,-2.5,200.426,200.68,0.001267
145,-2.5,196.078,205.706,0.049103
147.5,-2.5,199.638,198.835,0.004022
-146.25,-3.75,246.99,240.556,0.02605
-143.75,-3.75,248.845,249.477,0.00254
-141.25,-3.75,246.499,244.526,0.008004
-138.75,-3.75,247.312,244.139,0.01283
-136.25,-3.75,248.126,249.665,0.006202
-133.75,-3.75,250.242,252.394,0.0086
-131.25,-3.75,249.535,242.609,0.027756
-128.75,-3.75,247.958,250.812,0.01151
-126.25,-3.75,247.006,253.534,0.026429
-123.75,-3.75,248.005,255.303,0.029427
-121.25,-3.75,250.078,249.083,0.003979
-118.75,-3.75,248.964,234.537,0.057948
-116.25,-3.75,248.372,254.709,0.025514
-113.75,-3.75,246.71,247.671,0.003895
-111.25,-3.75,246.819,249.32,0.010133
-108.75,-3.75,246.927,266.65,0.079874
-106.25,-3.75,248.226,240.603,0.03071
-103.75,-3.75,250.139,236.684,0.05379
-101.25,-3.75,249.457,270.506,0.084379
-98.75,-3.75,247.745,234.018,0.055408
-96.25,-3.75,244.512,239.378,0.020997
-93.75,-3.75,245.134,238.92,0.025349
-91.25,-3.75,245.456,239.151,0.025687
-88.75,-3.75,247.142,251.466,0.017496
-86.25,-3.75,246.383,261.435,0.061092
-83.75,-3.75,246.784,250.343,0.014422
-81.25,-3.75,246.443,245.717,0.002946
-78.75,-3.75,245.818,244.826,0.004036
-76.25,-3.75,245.71,233.983,0.047727
-73.75,-3.75,245.09,259.201,0.057575
-71.25,-3.75,244.873,251.191,0.025801
-68.75,-3.75,243.398,239.622,0.015514
-66.25,-3.75,242.244,233.177,0.037429
-63.75,-3.75,241.801,249.305,0.031034
-61.25,-3.75,243.348,232.637,0.044015
-58.75,-3.75,245.098,239.171,0.024182
-56.25,-3.75,243.402,255.404,0.049309
-53.75,-3.75,241.445,232.99,0.035018
-51.25,-3.75,238.114,235.298,0.011826
-48.75,-3.75,238.525,238.531,2.5e-05
-46.25,-3.75,238.655,221.16,0.073307
-43.75,-3.75,240.087,232.534,0.031459
-41.25,-3.75,238.895,231.481,0.031035
-38.75,-3.75,238.568,248.153,0.040177
-36.25,-3.75,237.159,245.623,0.035689
-33.75,-3.75,235.171,245.94,0.045792
-31.25,-3.75,233.623,235.594,0.008437
-28.75,-3.75,232.129,230.317,0.007806
-26.25,-3.75,230.409,224.459,0.025824
-23.75,-3.75,227.685,246.705,0.083536
-21.25,-3.75,225.93,216.22,0.042978
-18.75,-3.75,224.737,230.478,0.025545
-16.25,-3.75,223.909,229.714,0.025926
-13.75,-3.75,221.859,220.878,0.004422
-11.25,-3.75,218.333,223.18,0.0222
-8.75,-3.75,212.902,225.151,0.057534
-6.25,-3.75,209.521,209.034,0.002324
-3.75,-3.75,205.681,214.996,0.045289
-1.25,-3.75,205.199,203.799,0.006823
1.25,-3.75,205.978,204.963,0.004928
3.75,-3.75,207.289,207.078,0.001018
6.25,-3.75,203.17,204.003,0.0041
8.75,-3.75,201.494,199.779,0.008511
11.25,-3.75,200.514,196.598,0.01953
13.75,-3.75,200.902,200.203,0.003479
16.25,-3.75,199.27,190.879,0.042109
18.75,-3.75,197.826,211.859,0.070936
21.25,-3.75,195.495,205.688,0.052139
23.75,-3.75,195.899,189.312,0.033624
26.25,-3.75,196.502,185.271,0.057155
28.75,-3.75,196.576,184.684,0.060496
31.25,-3.75,195.887,190.377,0.028128
33.75,-3.75,194.665,200.604,0.030509
36.25,-3.75,192.251,198.209,0.030991
38.75,-3.75,191.13,197.654,0.034134
41.25,-3.75,192.674,192.777,0.000535
43.75,-3.75,194.138,194.534,0.00204
46.25,-3.75,191.777,194.149,0.012369
48.75,-3.75,186.639,179.854,0.036354
51.25,-3.75,182.888,197.317,0.078895
53.75,-3.75,183.184,188.772,0.030505
56.25,-3.75,187.035,182.305,0.025289
58.75,-3.75,190.894,190.815,0.000414
61.25,-3.75,190.046,195.794,0.030245
63.75,-3.75,186.486,178.889,0.040738
66.25,-3.75,186.298,197.07,0.057821
68.75,-3.75,190.469,185.696,0.025059
71.25,-3.75,195.293,185.252,0.051415
73.75,-3.75,196.793,186.973,0.0499
76.25,-3.75,194.523,191.138,0.017402
78.75,-3.75,191.524,178.025,0.070482
81.25,-3.75,193.456,192.133,0.006839
83.75,-3.75,195.131,192.855,0.011664
86.25,-3.75,196.238,188.436,0.039758
88.75,-3.75,194.794,201.252,0.033153
91.25,-3.75,195.108,198.27,0.016206
93.75,-3.75,195.235,189.055,0.031654
96.25,-3.75,197.369,194.195,0.016082
98.75,-3.75,198.54,200.029,0.0075
101.25,-3.75,200.522,191.104,0.046967
103.75,-3.75,199.849,204.57,0.023623
106.25,-3.75,198.914,200.87,0.009833
108.75,-3.75,197.25,191.225,0.030545
111.25,-3.75,199.002,188.158,0.054492
113.75,-3.75,198.665,205.996,0.036901
116.25,-3.75,201.414,204.256,0.01411
118.75,-3.75,200.104,206.503,0.031978
121.25,-3.75,201.496,204.885,0.016819
123.75,-3.75,201.888,202.274,0.001912
126.25,-3.75,201.99,198.048,0.019516
128.75,-3.75,200.228,199.876,0.001758
131.25,-3.75,198.885,203.035,0.020866
133.75,-3.75,200.505,202.372,0.009311
136.25,-3.75,201.715,200.702,0.005022
138.75,-3.75,203.471,201.99,0.007279
141.25,-3.75,201.063,188.751,0.061235
143.75,-3.75,199.913,195.833,0.020409
-142.5,-5,279.08,282.625,0.012702
-140,-5,279.379,285.997,0.023688
-137.5,-5,280.856,289.617,0.031194
-135,-5,280.134,292.934,0.045692
-132.5,-5,281.305,287.492,0.021994
-130,-5,281.388,270.694,0.038004
-127.5,-5,281.159,279.726,0.005097
-125,-5,281.833,274.448,0.026203
-122.5,-5,280.736,288.52,0.027727
-120,-5,281.23,284.511,0.011667
-117.5,-5,280.947,289.872,0.031768
-115,-5,279.781,286.952,0.025631
-112.5,-5,279.591,282.135,0.009099
-110,-5,279.576,268.991,0.037861
-107.5,-5,280.658,289.355,0.030988
-105,-5,281.259,268.58,0.045079
-102.5,-5,280.542,280.348,0.000692
-100,-5,279.643,263.086,0.059208
-97.5,-5,278.029,275.524,0.00901
-95,-5,276.994,274.424,0.009278
-92.5,-5,275.954,278.78,0.010241
-90,-5,276.032,269.855,0.022378
-87.5,-5,277.171,281.42,0.01533
-85,-5,277.073,262.998,0.050799
-82.5,-5,277.195,267.876,0.033619
-80,-5,276.707,282.317,0.020274
-77.5,-5,276.102,261.84,0.051655
-75,-5,275.645,279.095,0.012516
-72.5,-5,274.444,265.101,0.034043
-70,-5,272.965,264.664,0.03041
-67.5,-5,272.064,273.646,0.005815
-65,-5,271.495,272.303,0.002976
-62.5,-5,271.509,270.582,0.003414
-60,-5,270.856,278.868,0.02958
-57.5,-5,269.463,273.493,0.014956
-55,-5,267.792,269.899,0.007868
-52.5,-5,265.335,257.285,0.030339
-50,-5,263.853,260.328,0.01336
-47.5,-5,262.345,250.594,0.044792
-45,-5,261.645,265.013,0.012872
-42.5,-5,261.656,269.46,0.029825
-40,-5,259.956,273.362,0.05157
-37.5,-5,258.004,263.181,0.020066
-35,-5,255.208,243.197,0.047064
-32.5,-5,252.718,246.792,0.023449
-30,-5,250.473,258.143,0.030622
-27.5,-5,247.837,236.364,0.046293
-25,-5,245.771,254.209,0.034333
-22.5,-5,244.464,260.75,0.066619
-20,-5,243.022,246.809,0.015583
-17.5,-5,240.602,233.243,0.030586
-15,-5,237.919,239.362,0.006065
-12.5,-5,233.182,215.604,0.075383
-10,-5,227.814,238.227,0.045708
-7.5,-5,223.345,211.812,0.051638
-5,-5,217.101,227.653,0.048604
-2.5,-5,213.802,214.965,0.00544
0,-5,211.845,217.572,0.027034
2.5,-5,208.727,209.399,0.00322
5,-5,207.236,213.378,0.029638
7.5,-5,205.293,204.304,0.004818
10,-5,202.13,206.422,0.021234
12.5,-5,200.616,206.682,0.030237
15,-5,197.531,186.844,0.054103
17.5,-5,194.831,196.688,0.009531
20,-5,193.481,199.373,0.030453
22.5,-5,191.453,191.959,0.002643
25,-5,190.652,187.989,0.013968
27.5,-5,190.299,191.04,0.003894
30,-5,189.389,197.676,0.043757
32.5,-5,189.289,188.523,0.004047
35,-5,187.578,183.673,0.020818
37.5,-5,187.83,196.885,0.048208
40,-5,187.8,184.589,0.017098
42.5,-5,185.201,190.846,0.03048
45,-5,183.366,183.192,0.000949
47.5,-5,178.721,173.04,0.031787
50,-5,174.701,175.144,0.002536
52.5,-5,173.953,172.747,0.006933
55,-5,173.332,170.364,0.017123
57.5,-5,175.757,177.935,0.012392
60,-5,177.699,170.268,0.041818
62.5,-5,176.917,174.5,0.013662
65,-5,179.472,183.264,0.021129
67.5,-5,181.15,177.206,0.021772
70,-5,183.671,185.076,0.00765
72.5,-5,187.951,189.482,0.008146
75,-5,187.771,186.987,0.004175
77.5,-5,188.05,181.759,0.033454
80,-5,187.451,189.292,0.009821
82.5,-5,186.018,185.039,0.005263
85,-5,187.888,186.954,0.004971
87.5,-5,187.999,186.759,0.006596
90,-5,189.227,187.527,0.008984
92.5,-5,190.215,195.1,0.025681
95,-5,191.125,184.882,0.032664
97.5,-5,194.224,181.874,0.063586
100,-5,195.376,199.161,0.019373
102.5,-5,196.662,193.786,0.014624
105,-5,197.185,194.967,0.011248
107.5,-5,195.987,189.412,0.033548
110,-5,196.117,182.784,0.067985
112.5,-5,196.275,195.684,0.003011
115,-5,198.197,191.769,0.032432
117.5,-5,199.149,188.354,0.054206
120,-5,199.792,190.334,0.047339
122.5,-5,200.421,203.895,0.017334
125,-5,198.376,192.391,0.03017
127.5,-5,199.157,200.527,0.006879
130,-5,198.892,191.431,0.037513
132.5,-5,199.116,192.528,0.033086
135,-5,201.129,194.765,0.031641
137.5,-5,200.383,194.324,0.030237
140,-5,200.837,194.03,0.033893
-138.75,-6.25,313.228,322.153,0.028494
-136.25,-6.25,313.882,320.697,0.021712
